gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Jackie,Dixon,240,Valley View Ln,Hampton,Rhode Island,United States,72963,-23.6468,31.0638,-3:30,Newfoundland,jackie.dixon@example.com,1948-09-01T18:01:23.938Z,73,2005-11-15T04:18:05.052Z,16,(179)-763-1326,(679)-432-6148,SSN,271-30-2194,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,Stanley,Murray,1936,Harrison Ct,Woodbridge,Georgia,United States,62028,81.0388,-142.2791,-2:00,Mid-Atlantic,stanley.murray@example.com,1960-07-06T18:42:55.922Z,61,2011-03-25T22:12:58.904Z,10,(748)-201-0918,(671)-393-6204,SSN,437-95-1752,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Miss,Teresa,Wagner,1497,Samaritan Dr,Caldwell,Rhode Island,United States,66057,-52.4410,27.2164,-3:30,Newfoundland,teresa.wagner@example.com,1952-03-17T20:27:22.369Z,69,2009-10-16T17:31:04.368Z,12,(045)-021-2715,(178)-599-5268,SSN,535-53-4252,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Miss,Leona,Chapman,5417,Spring St,Fort Worth,Iowa,United States,68712,-25.7712,13.2482,+5:45,Kathmandu,leona.chapman@example.com,1996-11-19T05:25:16.745Z,25,2010-07-26T17:00:05.109Z,11,(292)-904-2609,(456)-378-0761,SSN,108-97-2624,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Hector,Steeves ,7965,E Little York Rd,York,Nebraska,United States,21777,-45.5447,156.7182,-10:00,Hawaii,hector.steeves@example.com,1961-12-08T23:00:27.452Z,60,2012-07-14T07:23:20.255Z,9,(208)-621-1996,(261)-778-7488,SSN,254-65-3977,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
male,Mr,Gabriel,Cox,5205,Hillcrest Rd,Henderson,New Jersey,United States,53431,-35.9021,155.1707,-9:00,Alaska,gabriel.cox@example.com,1997-08-25T19:26:19.747Z,24,2012-01-22T08:51:55.160Z,9,(215)-025-4974,(760)-223-6581,SSN,068-68-3656,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
female,Ms,Tina,Miles,87,Lakeshore Rd,Knoxville,New Hampshire,United States,93519,79.7048,-12.1601,-3:30,Newfoundland,tina.miles@example.com,1985-12-14T23:37:36.747Z,36,2010-09-06T02:54:55.034Z,11,(219)-550-7180,(601)-143-8669,SSN,026-91-8390,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Chris,Baker,2213,Lovers Ln,Clarksville,Illinois,United States,98664,-37.3362,-86.9789,-3:30,Newfoundland,chris.baker@example.com,1979-12-19T06:40:37.679Z,42,2010-12-08T06:12:11.096Z,11,(323)-850-9194,(712)-412-1957,SSN,437-22-4645,https://randomuser.me/api/portraits/men/88.jpg,https://randomuser.me/api/portraits/med/men/88.jpg,https://randomuser.me/api/portraits/thumb/men/88.jpg,US
male,Mr,Roger,Herrera,2968,Robinson Rd,Sunnyvale,Minnesota,United States,37763,11.9371,101.6114,+5:45,Kathmandu,roger.herrera@example.com,1974-07-10T22:28:05.520Z,47,2009-11-23T10:33:01.749Z,12,(883)-131-3626,(331)-919-7685,SSN,108-86-2931,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
female,Miss,Ellen,Riley,7063,Sunset St,North Valley,Mississippi,United States,67998,0.6906,172.6920,-2:00,Mid-Atlantic,ellen.riley@example.com,1983-09-02T00:53:59.135Z,38,2007-10-10T17:56:43.123Z,14,(762)-625-3074,(365)-693-2539,SSN,130-93-4633,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
