gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Hunter,Rodriquez,4546,Crockett St,Bernalillo,Montana,United States,74572,61.6758,156.0342,-10:00,Hawaii,hunter.rodriquez@example.com,1951-04-25T17:43:55.560Z,70,2011-03-10T01:03:20.368Z,10,(926)-245-3452,(027)-181-4738,SSN,034-69-1234,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Mrs,Lesa,Jacobs,9618,First Street,Caldwell,Illinois,United States,85293,55.8777,161.3108,-2:00,Mid-Atlantic,lesa.jacobs@example.com,1949-06-14T02:53:07.574Z,72,2002-07-07T00:57:26.603Z,19,(001)-818-9626,(815)-421-1145,SSN,625-33-1163,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Carl,Wade,6253,Stevens Creek Blvd,Gilbert,Hawaii,United States,60613,-2.0288,-57.8480,+4:30,Kabul,carl.wade@example.com,1988-04-22T16:08:21.141Z,33,2004-11-15T16:31:48.610Z,17,(945)-899-0428,(247)-168-6799,SSN,988-74-2116,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Theodore,Campbell,2211,Miller Ave,Berkeley,Mississippi,United States,59029,49.2426,166.1178,-9:00,Alaska,theodore.campbell@example.com,1970-07-23T21:29:43.519Z,51,2014-09-22T12:23:13.106Z,7,(755)-836-8386,(244)-490-4973,SSN,677-07-6038,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Mrs,Christine,Fox,9054,Valwood Pkwy,Des Moines,Arkansas,United States,46405,-62.9496,-36.4183,-9:00,Alaska,christine.fox@example.com,1992-11-10T06:25:36.832Z,29,2013-06-05T01:10:17.660Z,8,(984)-271-3355,(956)-481-8981,SSN,560-13-9617,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Mrs,Renee,Ryan,6485,White Oak Dr,Pembroke Pines,Kansas,United States,31617,17.2460,172.1897,-7:00,Mountain Time (US & Canada),renee.ryan@example.com,1972-07-24T21:24:24.401Z,49,2013-04-11T22:21:20.839Z,8,(226)-328-1555,(623)-406-3792,SSN,479-23-9227,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Arthur,Wheeler,6765,W Campbell Ave,Carlsbad,Maine,United States,33981,22.4358,123.0544,-3:30,Newfoundland,arthur.wheeler@example.com,1958-03-22T18:43:40.303Z,63,2003-01-26T05:22:49.165Z,18,(033)-477-8427,(206)-599-0010,SSN,113-17-2824,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Dan,Fernandez,294,E Little York Rd,Hialeah,Colorado,United States,42814,-13.5077,56.0691,-2:00,Mid-Atlantic,dan.fernandez@example.com,1948-08-04T18:52:00.957Z,73,2003-01-09T03:09:10.569Z,18,(840)-814-5813,(002)-950-9657,SSN,080-67-0197,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Ms,Wanda,Brooks,4608,Railroad St,Garden Grove,Michigan,United States,68154,86.3598,-129.8233,+3:30,Tehran,wanda.brooks@example.com,1947-08-02T10:50:56.915Z,74,2002-10-04T03:17:23.939Z,19,(249)-328-3735,(787)-825-5594,SSN,809-00-1869,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
male,Mr,Logan,Bates,1826,Harrison Ct,Modesto,Michigan,United States,97883,-68.6277,-46.7631,-3:30,Newfoundland,logan.bates@example.com,1992-03-23T07:34:35.635Z,29,2011-12-29T04:12:26.370Z,10,(221)-960-4409,(412)-496-4484,SSN,094-81-6469,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
