gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Benjamin,Hopkins,6231,N Stelling Rd,Tacoma,Wyoming,United States,72162,-49.4592,-112.3177,+4:30,Kabul,benjamin.hopkins@example.com,1992-09-04T13:34:23.776Z,29,2008-10-26T13:52:45.271Z,13,(279)-402-3884,(594)-753-8058,SSN,705-22-8832,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
male,Mr,Clinton,West,8289,E Little York Rd,Lexington,Oregon,United States,36689,69.8474,-4.1736,+3:30,Tehran,clinton.west@example.com,1955-07-01T11:46:16.913Z,66,2019-08-31T03:06:53.592Z,2,(490)-889-3963,(569)-097-9095,SSN,570-98-5212,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Alex,Stephens,8718,Groveland Terrace,Frisco,Arkansas,United States,39587,8.2208,161.2121,+3:30,Tehran,alex.stephens@example.com,1967-10-06T10:24:27.875Z,54,2004-01-02T11:01:25.682Z,17,(122)-103-2125,(810)-578-5603,SSN,918-81-6579,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Mrs,Lily,Garrett,301,Lakeview St,Fargo,Oregon,United States,58999,87.9734,-111.1460,-10:00,Hawaii,lily.garrett@example.com,1989-02-04T17:02:41.517Z,32,2009-10-22T00:50:07.746Z,12,(737)-933-6186,(971)-479-6528,SSN,768-45-7672,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Miss,Nora,Wade,4790,N Stelling Rd,Killeen,Nevada,United States,70148,70.8885,168.5593,-2:00,Mid-Atlantic,nora.wade@example.com,1997-03-23T11:50:46.619Z,24,2010-06-07T02:04:05.750Z,11,(203)-196-5511,(174)-676-5042,SSN,933-95-5755,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
male,Mr,Tim,Hunt,5335,Mockingbird Ln,Richmond,Alaska,United States,36771,-76.7108,-48.2663,-3:30,Newfoundland,tim.hunt@example.com,1958-07-01T09:06:58.543Z,63,2015-11-14T02:19:09.008Z,6,(623)-682-5059,(426)-719-4859,SSN,299-30-6704,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
female,Ms,Erin,Henderson,1335,Spring Hill Rd,St. Louis,Delaware,United States,34727,82.2566,8.8960,-7:00,Mountain Time (US & Canada),erin.henderson@example.com,1958-08-10T13:33:22.259Z,63,2018-10-14T10:30:25.096Z,3,(582)-069-8299,(653)-025-8731,SSN,777-36-9313,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
male,Mr,Jeff,George,4577,Spring Hill Rd,Round Rock,Alaska,United States,94141,-9.0572,173.5955,-3:30,Newfoundland,jeff.george@example.com,1979-06-05T14:34:51.180Z,42,2016-02-04T00:19:29.275Z,5,(674)-873-9363,(708)-676-3550,SSN,122-43-2516,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Floyd,Newman,4859,Lakeshore Rd,Louisville,Florida,United States,61276,57.1835,-102.0194,-10:00,Hawaii,floyd.newman@example.com,1975-10-22T16:52:29.235Z,46,2015-06-14T22:12:10.447Z,6,(787)-676-4470,(677)-181-1343,SSN,624-22-5617,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
male,Mr,Byron,Green,9879,Forest Ln,Nashville,Maine,United States,99603,11.5002,-153.0087,-7:00,Mountain Time (US & Canada),byron.green@example.com,1967-11-14T01:34:49.014Z,54,2003-04-15T23:07:07.644Z,18,(967)-920-0484,(703)-111-2991,SSN,601-48-2988,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Ms,Christine,Bowman,4490,Ranchview Dr,Fort Wayne,Rhode Island,United States,83548,26.4117,-30.9713,+4:30,Kabul,christine.bowman@example.com,1964-09-02T19:27:21.012Z,57,2002-07-20T10:08:48.566Z,19,(707)-875-3032,(973)-053-8192,SSN,541-32-9508,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
female,Miss,Naomi,Terry,825,W Pecan St,Antioch,West Virginia,United States,95251,-75.4148,-46.7604,+3:30,Tehran,naomi.terry@example.com,1989-10-30T20:13:06.489Z,32,2003-02-23T16:31:00.012Z,18,(769)-593-7536,(133)-947-7237,SSN,652-12-4952,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
