gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Glen,Grant,4508,Crockett St,Farmers Branch,Nevada,United States,80062,-45.2532,166.8598,-3:30,Newfoundland,glen.grant@example.com,1963-09-29T17:18:22.137Z,58,2017-04-15T00:34:54.865Z,4,(282)-213-3434,(431)-688-4794,SSN,867-13-1148,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
male,Mr,Clifton,Banks,4579,Poplar Dr,Pompano Beach,Missouri,United States,59365,68.9279,-96.3801,-3:30,Newfoundland,clifton.banks@example.com,1957-12-09T18:40:11.051Z,64,2017-02-05T20:37:41.989Z,4,(488)-579-8173,(344)-544-0549,SSN,291-47-9724,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Mrs,Gabriella,Diaz,6123,Marsh Ln,Norwalk,California,United States,18029,-53.0057,-75.0173,-8:00,Pacific Time (US & Canada),gabriella.diaz@example.com,1946-01-04T07:08:03.238Z,75,2015-01-04T06:36:26.448Z,6,(999)-957-1438,(366)-402-2408,SSN,908-22-6585,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
male,Mr,Stephen,Woods,2360,E Little York Rd,Salt Lake City,North Dakota,United States,65136,-0.2153,-18.1302,-3:30,Newfoundland,stephen.woods@example.com,1953-04-07T06:07:32.158Z,68,2010-02-14T03:00:08.486Z,11,(978)-562-0764,(070)-866-6759,SSN,836-70-7065,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Ms,Janice,James,620,Saddle Dr,Everett,Virginia,United States,18494,-82.4717,114.2273,+3:30,Tehran,janice.james@example.com,1950-06-28T16:02:07.647Z,71,2005-01-07T11:28:51.530Z,16,(700)-595-1480,(965)-155-2048,SSN,775-27-7510,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Mrs,Kim,Holmes,1915,Stevens Creek Blvd,Elgin,New Mexico,United States,99604,7.3825,-149.3976,+4:30,Kabul,kim.holmes@example.com,1975-07-05T10:49:49.339Z,46,2018-07-28T14:10:14.332Z,3,(396)-207-0341,(901)-767-3563,SSN,045-05-5737,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Mrs,Irene,Warren,5393,Edwards Rd,North Valley,Massachusetts,United States,79788,-73.9411,-178.7574,+5:45,Kathmandu,irene.warren@example.com,1949-02-24T06:34:33.953Z,72,2019-03-18T05:39:46.654Z,2,(042)-871-5231,(935)-512-8358,SSN,766-33-5733,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
female,Miss,Nellie,Allen,5848,Wheeler Ridge Dr,Lexington,Tennessee,United States,28272,-9.5760,-7.4553,-2:00,Mid-Atlantic,nellie.allen@example.com,1980-02-25T04:12:38.764Z,41,2002-05-08T21:13:50.291Z,19,(352)-635-8091,(879)-554-0274,SSN,613-31-1645,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Mrs,Lynn,Elliott,6563,Paddock Way,Davenport,Ohio,United States,15406,-7.7158,-58.6428,-2:00,Mid-Atlantic,lynn.elliott@example.com,1983-09-16T11:50:52.441Z,38,2010-02-25T21:50:06.228Z,11,(630)-946-5253,(799)-497-5752,SSN,098-65-9210,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Leroy,Simmmons,6264,Lovers Ln,Lousville,Wyoming,United States,41870,55.7546,-157.8292,-8:00,Pacific Time (US & Canada),leroy.simmmons@example.com,1985-05-27T19:36:07.152Z,36,2002-04-29T18:20:49.795Z,19,(485)-702-9119,(542)-816-5955,SSN,038-96-8363,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
male,Mr,Austin,Butler,2254,Karen Dr,Fayetteville,Nebraska,United States,63599,17.4220,11.6077,-9:00,Alaska,austin.butler@example.com,1991-08-12T22:02:43.282Z,30,2006-02-16T20:38:06.078Z,15,(371)-771-3030,(191)-910-3599,SSN,205-31-7098,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
male,Mr,George,Wallace,8854,Thornridge Cir,Grapevine,Indiana,United States,59364,-17.7857,-70.1755,-10:00,Hawaii,george.wallace@example.com,1984-10-17T22:03:45.210Z,37,2003-10-08T09:36:06.487Z,18,(129)-483-4806,(104)-443-6801,SSN,409-68-3891,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
male,Mr,Daryl,Gomez,8268,Depaul Dr,Odessa,New Mexico,United States,11528,12.2756,-18.5242,-9:00,Alaska,daryl.gomez@example.com,1991-01-17T22:07:16.258Z,30,2016-01-11T19:01:08.928Z,5,(736)-599-5528,(762)-983-4735,SSN,439-71-3204,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Rick,Dixon,7755,Groveland Terrace,Hampton,Tennessee,United States,58370,-32.0599,-170.8067,+5:45,Kathmandu,rick.dixon@example.com,1955-04-29T18:50:26.210Z,66,2016-03-05T06:37:54.272Z,5,(018)-967-0355,(395)-511-1173,SSN,664-43-8184,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Ms,Peyton,Cruz,7770,Spring Hill Rd,Clarksville,Mississippi,United States,28893,74.9957,126.9811,-8:00,Pacific Time (US & Canada),peyton.cruz@example.com,1949-05-16T10:42:41.122Z,72,2014-05-25T02:58:46.335Z,7,(058)-266-4427,(421)-881-0575,SSN,966-94-8290,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
