gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Logan,Knight,2825,First Street,Great Falls,South Dakota,United States,74868,-32.7885,-61.4679,-7:00,Mountain Time (US & Canada),logan.knight@example.com,1996-12-28T08:29:50.554Z,25,2005-04-26T13:31:55.349Z,16,(563)-087-7040,(868)-459-3575,SSN,598-06-7792,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Ms,Jeanette,Jimenez,7400,Railroad St,Gainesville,New Jersey,United States,30014,0.7670,160.3407,+4:30,Kabul,jeanette.jimenez@example.com,1947-06-24T09:20:17.881Z,74,2018-09-04T11:26:15.678Z,3,(870)-227-7210,(299)-839-4853,SSN,326-55-5396,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
male,Mr,Jared,Meyer,2999,Nowlin Rd,Allentown,Alabama,United States,74781,67.1504,-16.2951,-9:00,Alaska,jared.meyer@example.com,1963-08-14T21:40:52.094Z,58,2007-12-02T23:08:36.266Z,14,(244)-949-5591,(858)-019-3961,SSN,671-71-3037,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
female,Mrs,Shelly,Hicks,3545,Fairview St,Port St. Lucie,Arkansas,United States,56111,-3.9888,152.7601,+3:30,Tehran,shelly.hicks@example.com,1993-03-08T12:35:18.605Z,28,2009-12-15T22:24:00.351Z,12,(541)-168-1190,(703)-835-8767,SSN,163-98-2281,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
male,Mr,Julian,Moore,9773,Walnut Hill Ln,Boston,Illinois,United States,99303,18.3486,72.6168,+5:45,Kathmandu,julian.moore@example.com,1957-03-10T21:42:56.027Z,64,2010-11-04T06:09:14.595Z,11,(161)-752-6309,(708)-372-6151,SSN,893-83-5319,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
male,Mr,Dylan,Palmer,1389,Saddle Dr,Newport News,Arkansas,United States,84544,52.6784,-57.8750,-10:00,Hawaii,dylan.palmer@example.com,1977-07-28T23:36:07.597Z,44,2014-11-12T01:52:19.837Z,7,(689)-566-7699,(006)-051-0892,SSN,758-40-9710,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Ms,Sally,Matthews,9622,Camden Ave,Fountain Valley,Kentucky,United States,55355,1.3180,-150.8424,-9:00,Alaska,sally.matthews@example.com,1992-05-29T16:16:25.285Z,29,2019-07-09T16:14:06.559Z,2,(361)-762-6792,(952)-339-6970,SSN,512-58-5621,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
male,Mr,Steven,Barrett,7147,Poplar Dr,Hayward,Hawaii,United States,30915,-53.6160,177.1334,+5:45,Kathmandu,steven.barrett@example.com,1985-08-30T11:35:55.490Z,36,2010-05-11T23:08:57.236Z,11,(419)-689-4006,(251)-611-0380,SSN,016-75-3993,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
female,Miss,Addison,Cunningham,4360,Brown Terrace,Stockton,Iowa,United States,97223,59.4912,-167.5929,+3:30,Tehran,addison.cunningham@example.com,1974-07-05T16:33:25.712Z,47,2006-01-11T13:59:42.824Z,15,(511)-527-9430,(581)-212-0898,SSN,273-34-5676,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Ms,Lily,Thompson,2936,Timber Wolf Trail,Fargo,Oregon,United States,64255,-37.9929,127.4541,-9:00,Alaska,lily.thompson@example.com,1995-11-10T20:43:44.360Z,26,2002-08-01T14:14:09.105Z,19,(750)-095-0543,(755)-866-2281,SSN,821-66-2497,https://randomuser.me/api/portraits/women/12.jpg,https://randomuser.me/api/portraits/med/women/12.jpg,https://randomuser.me/api/portraits/thumb/women/12.jpg,US
