gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Amber,Garrett,1817,College St,Frederick,North Dakota,United States,70062,88.2024,110.1953,+4:30,Kabul,amber.garrett@example.com,1949-04-29T04:20:10.884Z,72,2014-08-28T11:51:22.471Z,7,(111)-393-5437,(912)-262-0793,SSN,286-56-9132,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
male,Mr,Randall,Tucker,8057,N Stelling Rd,Elizabeth,Indiana,United States,78248,-49.7711,1.7453,-9:00,Alaska,randall.tucker@example.com,1985-12-05T16:57:53.434Z,36,2003-08-31T16:53:21.354Z,18,(921)-933-0080,(759)-595-9071,SSN,489-14-2952,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
male,Mr,Mathew,Dunn,2056,Saddle Dr,Springfield,Georgia,United States,47840,55.2972,69.8217,+4:30,Kabul,mathew.dunn@example.com,1991-04-27T22:40:54.822Z,30,2016-02-28T13:11:24.555Z,5,(686)-110-9424,(414)-557-6898,SSN,374-13-5303,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
male,Mr,Ruben,Franklin,5340,Wheeler Ridge Dr,Houston,Nebraska,United States,88923,-86.4351,25.8110,-8:00,Pacific Time (US & Canada),ruben.franklin@example.com,1961-11-16T04:10:57.831Z,60,2006-08-25T03:17:36.559Z,15,(711)-841-8488,(453)-113-8149,SSN,325-14-7727,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
female,Miss,Tammy,Butler,7537,Homestead Rd,Iowa Park,Tennessee,United States,36678,15.8562,-38.2277,-10:00,Hawaii,tammy.butler@example.com,1959-12-17T11:11:00.005Z,62,2014-10-09T12:27:17.469Z,7,(966)-997-0124,(138)-618-3054,SSN,556-04-1408,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Jamie,Thompson,2363,Mcclellan Rd,Boulder,Vermont,United States,90382,20.8288,119.2950,-9:00,Alaska,jamie.thompson@example.com,1968-03-05T18:11:12.560Z,53,2003-05-30T10:49:47.333Z,18,(298)-248-0416,(347)-783-7745,SSN,969-45-1334,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
male,Mr,Nathan,Sutton,7292,Spring St,Fullerton,New Mexico,United States,45097,27.3315,-156.2641,+3:30,Tehran,nathan.sutton@example.com,1956-01-22T14:38:37.735Z,65,2015-06-16T15:53:54.962Z,6,(702)-265-7309,(022)-544-0126,SSN,625-82-2032,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Miss,Robin,Castillo,8836,Country Club Rd,Salt Lake City,Oregon,United States,74096,66.9209,83.2646,-9:00,Alaska,robin.castillo@example.com,1982-03-14T20:58:49.533Z,39,2005-02-12T06:42:44.652Z,16,(313)-317-3772,(890)-188-8538,SSN,930-18-1681,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Mrs,Doris,Hopkins,6213,Mockingbird Hill,Elgin,Mississippi,United States,81671,26.5986,94.4859,-3:30,Newfoundland,doris.hopkins@example.com,1966-09-20T13:47:27.202Z,55,2007-03-05T21:12:38.852Z,14,(997)-466-9316,(302)-221-6922,SSN,907-36-1186,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Ms,Sally,Lowe,2024,Hogan St,Greeley,Hawaii,United States,63260,-39.0611,78.0155,-3:30,Newfoundland,sally.lowe@example.com,1954-06-07T03:18:10.393Z,67,2006-08-28T12:22:06.750Z,15,(874)-795-2238,(816)-024-7180,SSN,965-49-3349,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
