gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Anna,Bennett,2135,Camden Ave,San Mateo,Arkansas,United States,17979,26.2077,-154.9527,+5:45,Kathmandu,anna.bennett@example.com,1990-12-13T14:34:52.644Z,31,2019-02-27T12:45:53.338Z,2,(239)-604-2278,(098)-640-0980,SSN,356-63-7746,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
female,Miss,Glenda,Wade,9776,Country Club Rd,Scurry,Kentucky,United States,27050,8.6493,31.9941,+3:30,Tehran,glenda.wade@example.com,1964-10-28T12:09:55.703Z,57,2010-01-02T02:27:13.185Z,11,(382)-020-4012,(965)-647-6675,SSN,485-66-3388,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Miss,Naomi,Bailey,5264,Parker Rd,Berkeley,Massachusetts,United States,42853,-75.8132,-141.7813,-2:00,Mid-Atlantic,naomi.bailey@example.com,1970-04-01T06:58:42.663Z,51,2012-06-01T20:31:13.953Z,9,(985)-470-6080,(198)-014-3173,SSN,979-16-1330,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Mrs,Dolores,Watson,6367,College St,Shiloh,Texas,United States,18501,-88.8695,-64.3115,-7:00,Mountain Time (US & Canada),dolores.watson@example.com,1988-06-09T19:07:46.245Z,33,2007-02-06T14:38:22.666Z,14,(223)-236-5342,(340)-061-1003,SSN,357-37-0149,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
female,Ms,Brooklyn,Lucas,7348,Mcgowen St,Bridgeport,New Jersey,United States,14349,-53.5550,-133.8278,+3:30,Tehran,brooklyn.lucas@example.com,1975-02-13T03:08:43.058Z,46,2018-06-26T10:48:33.225Z,3,(246)-326-9879,(485)-207-3797,SSN,861-19-5500,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
male,Mr,Sebastian,Silva,9608,Timber Wolf Trail,Montgomery,North Dakota,United States,94101,53.5545,-169.5870,+5:45,Kathmandu,sebastian.silva@example.com,1957-07-04T10:41:22.697Z,64,2017-03-25T15:55:26.251Z,4,(052)-054-5850,(545)-310-5738,SSN,140-08-6987,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
female,Mrs,Violet,Mccoy,8023,Eason Rd,Everett,North Dakota,United States,67269,-65.0596,89.1382,+4:30,Kabul,violet.mccoy@example.com,1988-11-18T07:37:24.708Z,33,2003-06-15T14:33:44.735Z,18,(512)-420-1925,(616)-153-3436,SSN,502-30-4101,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Miss,Gwendolyn,Barrett,6476,Robinson Rd,Odessa,Mississippi,United States,21450,-8.3653,-46.3908,-3:30,Newfoundland,gwendolyn.barrett@example.com,1990-03-07T10:32:27.062Z,31,2009-08-17T12:53:18.421Z,12,(652)-973-3093,(168)-569-5086,SSN,769-45-9608,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Mrs,Sonia,Rivera,1919,Smokey Ln,Moscow,Florida,United States,13071,6.0402,171.8487,-7:00,Mountain Time (US & Canada),sonia.rivera@example.com,1955-06-27T01:25:30.600Z,66,2016-06-02T07:55:48.454Z,5,(225)-096-1802,(818)-515-6938,SSN,365-23-7606,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Ms,Tara,Hernandez,2192,E North St,Greeley,Minnesota,United States,87079,12.3868,150.9870,+4:30,Kabul,tara.hernandez@example.com,1948-09-21T10:02:15.879Z,73,2016-01-13T02:45:12.431Z,5,(680)-718-9298,(766)-312-0572,SSN,454-16-5158,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
