gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Allison,James,5461,Oak Lawn Ave,Denton,Vermont,United States,11201,86.0734,89.2869,-8:00,Pacific Time (US & Canada),allison.james@example.com,1983-02-12T01:28:10.017Z,38,2006-05-08T09:49:18.093Z,15,(521)-811-2134,(291)-944-9030,SSN,031-23-0137,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
female,Miss,Florence,Adams,683,W Dallas St,Las Cruces,Vermont,United States,30754,33.4795,64.0380,-2:00,Mid-Atlantic,florence.adams@example.com,1986-07-23T13:47:08.922Z,35,2006-07-29T17:59:41.197Z,15,(779)-733-3758,(687)-055-5002,SSN,661-12-3770,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Howard,Vargas,8388,Poplar Dr,Minneapolis,Montana,United States,17751,-21.7075,135.7090,+5:45,Kathmandu,howard.vargas@example.com,1983-10-16T23:34:00.591Z,38,2009-08-29T19:55:35.526Z,12,(831)-609-2225,(447)-549-8045,SSN,684-85-3165,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Alfred,Nichols,7154,First Street,Edison,Illinois,United States,13079,32.0213,-66.9126,+4:30,Kabul,alfred.nichols@example.com,1991-03-17T03:56:25.666Z,30,2009-01-02T14:09:24.215Z,12,(450)-055-2197,(036)-635-8869,SSN,606-59-4758,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
female,Miss,Jane,Reynolds,95,Locust Rd,San Mateo,Minnesota,United States,97091,-33.4450,-38.9542,-8:00,Pacific Time (US & Canada),jane.reynolds@example.com,1991-06-14T00:13:54.561Z,30,2018-12-03T23:09:01.980Z,3,(361)-539-8994,(052)-627-1701,SSN,652-12-2995,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
male,Mr,Donald,Pierce,4909,Marsh Ln,Hialeah,Utah,United States,71403,-76.0352,80.3391,+5:45,Kathmandu,donald.pierce@example.com,1970-03-04T12:18:10.497Z,51,2011-03-15T08:18:43.541Z,10,(831)-485-1381,(818)-790-4730,SSN,560-81-0931,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
male,Mr,Dean,Lee,1821,Crockett St,Memphis,Washington,United States,22679,7.4499,-146.7029,-10:00,Hawaii,dean.lee@example.com,1987-04-25T14:50:12.996Z,34,2015-09-26T16:07:53.600Z,6,(126)-660-3603,(824)-321-2118,SSN,088-62-1151,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Ms,Stella,Fisher,1351,Brown Terrace,Evansville,West Virginia,United States,45529,64.1951,70.7168,-3:30,Newfoundland,stella.fisher@example.com,1949-02-12T01:37:42.771Z,72,2006-02-24T21:31:04.572Z,15,(320)-331-3985,(032)-364-3900,SSN,766-54-4533,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Mrs,Jessie,Kuhn,8402,Wheeler Ridge Dr,Plano,South Dakota,United States,37437,6.9439,-158.9227,+3:30,Tehran,jessie.kuhn@example.com,1989-12-18T10:17:28.550Z,32,2002-06-23T22:02:17.795Z,19,(134)-693-3436,(182)-285-6486,SSN,473-21-3722,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
male,Mr,Claude,Harrison,9067,Prospect Rd,Tulsa,New Mexico,United States,24408,-36.2753,36.0322,+4:30,Kabul,claude.harrison@example.com,1956-12-19T09:04:10.166Z,65,2018-05-01T05:45:13.562Z,3,(875)-638-4331,(095)-753-8044,SSN,331-89-0012,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
