gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Melinda,Harper,5936,Mcclellan Rd,Houston,Idaho,United States,63130,-82.4411,-134.5417,+3:30,Tehran,melinda.harper@example.com,1968-10-08T08:56:16.262Z,53,2002-09-23T22:47:54.177Z,19,(201)-438-7818,(260)-580-4853,SSN,306-64-4836,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Mrs,Julie,Sims,9406,Depaul Dr,Medford,Kansas,United States,78182,-18.4025,-179.6959,+4:30,Kabul,julie.sims@example.com,1984-01-29T08:45:11.429Z,37,2015-09-03T00:25:23.958Z,6,(232)-675-0533,(148)-653-1385,SSN,504-07-0397,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
male,Mr,Jeffery,Marshall,7857,College St,Gresham,Ohio,United States,51870,-7.9232,-0.6220,+4:30,Kabul,jeffery.marshall@example.com,1994-09-06T03:44:20.871Z,27,2008-08-14T07:23:32.124Z,13,(247)-115-7746,(369)-382-2580,SSN,653-27-9936,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Miguel,Carpenter,3542,Miller Ave,Downey,North Carolina,United States,73984,83.2720,-169.7726,-9:00,Alaska,miguel.carpenter@example.com,1974-12-31T09:58:43.756Z,47,2016-04-22T19:55:45.266Z,5,(995)-203-6360,(172)-404-7644,SSN,824-95-2085,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Duane,Gibson,8858,Groveland Terrace,Cupertino,Illinois,United States,63319,84.0166,-54.3423,-7:00,Mountain Time (US & Canada),duane.gibson@example.com,1945-05-15T21:32:14.090Z,76,2016-04-11T09:30:22.455Z,5,(105)-351-2800,(107)-366-1995,SSN,143-43-1843,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Mrs,Danielle,Graham,7871,E North St,Thousand Oaks,Pennsylvania,United States,86986,-36.1509,-155.0531,+3:30,Tehran,danielle.graham@example.com,1951-12-13T05:43:46.971Z,70,2003-04-05T01:08:30.860Z,18,(314)-887-2621,(396)-227-5631,SSN,144-60-9381,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Mrs,Lucy,Coleman,9772,Frances Ct,South Valley,Washington,United States,25994,61.9125,19.0481,+4:30,Kabul,lucy.coleman@example.com,1964-05-12T10:43:16.150Z,57,2012-08-06T08:33:55.915Z,9,(444)-566-0329,(423)-454-3567,SSN,490-70-4475,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Miss,Darlene,Hopkins,3819,Karen Dr,El Paso,Nebraska,United States,80945,21.6101,-71.8342,-8:00,Pacific Time (US & Canada),darlene.hopkins@example.com,1987-02-12T08:46:17.103Z,34,2010-02-18T13:59:23.049Z,11,(474)-078-0288,(770)-860-4980,SSN,052-33-1579,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
female,Miss,Leta,Martinez,9507,Frances Ct,Mesa,Maryland,United States,28157,-30.0872,-155.9104,-3:30,Newfoundland,leta.martinez@example.com,1982-02-07T05:32:46.398Z,39,2015-02-14T00:38:17.800Z,6,(793)-219-9127,(641)-355-3978,SSN,900-37-0953,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Mrs,Sophie,Jones,6287,Northaven Rd,San Mateo,Utah,United States,60910,75.5325,60.8965,-9:00,Alaska,sophie.jones@example.com,1983-12-25T09:17:02.522Z,38,2012-05-23T20:30:22.765Z,9,(887)-511-9091,(206)-413-3748,SSN,426-94-1995,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
