gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Sarah,Matthews,2426,W Campbell Ave,Aubrey,Michigan,United States,80047,-0.3426,-105.9424,+5:45,Kathmandu,sarah.matthews@example.com,1976-01-12T19:24:26.632Z,45,2014-06-26T07:46:32.419Z,7,(688)-571-0031,(456)-196-4827,SSN,625-68-0660,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Miss,Denise,Daniels,3846,E Pecan St,Provo,Hawaii,United States,68228,7.6357,-55.4596,+3:30,Tehran,denise.daniels@example.com,1990-04-27T14:51:10.530Z,31,2004-06-11T18:59:45.886Z,17,(658)-977-1789,(492)-429-7571,SSN,950-76-2605,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Carter,Reid,9864,Camden Ave,Kansas City,Arkansas,United States,99973,40.5160,68.2744,-7:00,Mountain Time (US & Canada),carter.reid@example.com,1946-02-18T16:41:05.777Z,75,2006-04-29T06:01:32.408Z,15,(073)-400-6213,(174)-750-1178,SSN,483-37-0975,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Mrs,Kelly,James,6523,Poplar Dr,Independence,Arkansas,United States,80415,64.8926,99.6118,-9:00,Alaska,kelly.james@example.com,1980-02-22T17:56:50.863Z,41,2006-05-28T20:29:41.638Z,15,(594)-710-7693,(637)-245-0336,SSN,414-85-9306,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
female,Ms,Isabella,Steward,5882,Mcgowen St,Los Lunas,New Hampshire,United States,74795,33.1154,21.8518,+4:30,Kabul,isabella.steward@example.com,1945-02-02T13:02:43.343Z,76,2011-12-24T07:59:44.968Z,10,(800)-516-9926,(913)-986-5357,SSN,042-86-5948,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
female,Ms,Elizabeth,Caldwell,1724,Washington Ave,Salem,Washington,United States,73179,41.2568,67.5276,-3:30,Newfoundland,elizabeth.caldwell@example.com,1964-11-09T00:42:15.555Z,57,2008-06-22T16:15:29.699Z,13,(776)-908-8653,(101)-277-8669,SSN,139-39-8759,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Arron,Elliott,981,Harrison Ct,Pittsburgh,Georgia,United States,96107,-34.0781,-118.7003,-7:00,Mountain Time (US & Canada),arron.elliott@example.com,1974-06-24T15:09:40.242Z,47,2010-08-17T02:53:32.544Z,11,(509)-249-9678,(445)-757-6243,SSN,561-93-9268,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
female,Ms,Naomi,Hill,7093,Samaritan Dr,Palm Bay,Florida,United States,60200,54.5858,-92.7790,-9:00,Alaska,naomi.hill@example.com,1995-11-28T14:36:19.621Z,26,2008-11-06T22:29:30.214Z,13,(377)-612-0169,(171)-708-5198,SSN,293-48-3246,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Mrs,Natalie,Meyer,2543,Valley View Ln,Tallahassee,New Hampshire,United States,28819,-78.1872,1.9250,-3:30,Newfoundland,natalie.meyer@example.com,1987-06-28T07:09:05.473Z,34,2017-08-25T16:15:39.291Z,4,(178)-625-9779,(478)-908-4225,SSN,664-25-1067,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
male,Mr,Rafael,Gonzalez,5981,Shady Ln Dr,Los Lunas,Rhode Island,United States,41009,30.5169,148.6377,-8:00,Pacific Time (US & Canada),rafael.gonzalez@example.com,1962-03-31T14:53:22.688Z,59,2003-06-16T04:36:06.521Z,18,(832)-628-9998,(467)-797-1330,SSN,230-39-3686,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
