gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Rafael,Lawrence,2544,Mockingbird Ln,Utica,Arizona,United States,53288,-37.2981,-59.5569,+4:30,Kabul,rafael.lawrence@example.com,1947-11-06T12:42:34.103Z,74,2003-02-19T16:25:42.640Z,18,(876)-323-2770,(868)-579-6688,SSN,707-15-7979,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
male,Mr,Jesus,Porter,2288,Marsh Ln,Lexington,Alabama,United States,47812,59.1268,-156.1668,-7:00,Mountain Time (US & Canada),jesus.porter@example.com,1989-08-26T23:36:23.274Z,32,2004-06-23T19:40:34.136Z,17,(323)-577-0186,(593)-639-2791,SSN,710-66-7287,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
male,Mr,Logan,Vargas,6709,Karen Dr,Wilmington,Wisconsin,United States,85611,-81.9650,-86.7405,-3:30,Newfoundland,logan.vargas@example.com,1957-05-08T21:18:04.663Z,64,2017-11-09T14:09:03.281Z,4,(572)-261-3283,(968)-232-4564,SSN,553-40-2600,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
male,Mr,Terry,Evans,9057,Green Rd,Lakeland,Delaware,United States,10955,-87.9727,-120.3833,-8:00,Pacific Time (US & Canada),terry.evans@example.com,1980-12-21T12:25:14.285Z,41,2009-05-05T22:42:55.171Z,12,(334)-750-7960,(423)-137-5647,SSN,414-03-8823,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Bill,Obrien,2868,Woodland St,Waxahachie,Arkansas,United States,46642,-50.3774,-92.8742,+5:45,Kathmandu,bill.obrien@example.com,1961-04-02T16:46:36.749Z,60,2004-08-04T07:20:11.813Z,17,(274)-211-8083,(979)-122-1929,SSN,094-35-6219,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Mrs,Celina,Watkins,6699,Stevens Creek Blvd,Glendale,Ohio,United States,61341,7.1949,101.3193,+5:45,Kathmandu,celina.watkins@example.com,1976-01-13T05:38:14.593Z,45,2009-04-15T00:59:58.992Z,12,(107)-189-6003,(359)-936-0297,SSN,872-49-0784,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
female,Mrs,Isabella,Hart,1795,Photinia Ave,Aurora,Kentucky,United States,88420,86.6836,171.0012,-3:30,Newfoundland,isabella.hart@example.com,1993-04-13T19:54:44.087Z,28,2017-06-13T09:39:39.582Z,4,(328)-608-4137,(931)-122-1290,SSN,797-99-3225,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
male,Mr,Brent,Mcdonalid,5804,White Oak Dr,San Francisco,Colorado,United States,91159,-47.9684,-103.7305,-8:00,Pacific Time (US & Canada),brent.mcdonalid@example.com,1952-08-30T11:33:07.411Z,69,2017-08-15T06:14:04.113Z,4,(382)-996-6579,(078)-788-0311,SSN,656-89-3306,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
female,Mrs,Georgia,Lewis,6819,E Center St,Norfolk,Florida,United States,56999,-19.2922,-67.8519,-3:30,Newfoundland,georgia.lewis@example.com,1975-06-03T09:55:05.722Z,46,2019-08-12T18:51:25.705Z,2,(622)-979-3099,(342)-614-2001,SSN,673-62-4316,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
female,Miss,Jane,Morgan,2388,Blossom Hill Rd,Centennial,New Jersey,United States,95851,-81.6369,-125.1905,+4:30,Kabul,jane.morgan@example.com,1967-04-24T23:42:56.749Z,54,2006-06-01T10:37:53.519Z,15,(988)-029-9894,(226)-665-9076,SSN,384-26-4288,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Lonnie,Moore,9207,Royal Ln,Waterbury,Arizona,United States,10948,45.3400,10.7022,+3:30,Tehran,lonnie.moore@example.com,1968-03-24T03:50:09.627Z,53,2002-12-31T12:16:40.300Z,19,(341)-326-5101,(425)-798-2114,SSN,940-70-4875,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,US
female,Miss,Pamela,Duncan,498,Ash Dr,Madison,Maryland,United States,48816,38.7279,-41.7275,-9:00,Alaska,pamela.duncan@example.com,1948-12-03T13:59:19.250Z,73,2006-08-31T21:53:05.096Z,15,(502)-128-6515,(834)-531-6730,SSN,932-10-5968,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
male,Mr,Warren,Daniels,6614,Depaul Dr,Wichita,Florida,United States,29041,-15.6602,-44.8307,+4:30,Kabul,warren.daniels@example.com,1961-06-26T19:47:45.521Z,60,2012-12-05T16:59:12.343Z,9,(010)-083-4645,(505)-137-7661,SSN,150-37-6588,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
male,Mr,Ethan,Howell,2056,W Pecan St,San Jose,Utah,United States,50225,83.2095,20.3306,-10:00,Hawaii,ethan.howell@example.com,1970-01-19T22:18:14.698Z,51,2015-07-08T02:43:07.688Z,6,(267)-429-5816,(660)-438-6309,SSN,480-29-8411,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Miss,Hilda,Castro,6591,Plum St,Fresno,Maine,United States,57225,-15.4670,115.9982,-7:00,Mountain Time (US & Canada),hilda.castro@example.com,1973-04-30T18:37:42.234Z,48,2014-02-08T14:48:57.361Z,7,(821)-167-5264,(741)-104-8813,SSN,950-69-3054,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Stanley,Williamson,67,White Oak Dr,St. Petersburg,Maine,United States,66855,-65.4788,-88.5100,+5:45,Kathmandu,stanley.williamson@example.com,1953-05-25T23:59:28.294Z,68,2017-02-01T19:55:56.979Z,4,(728)-040-7498,(536)-211-5209,SSN,201-17-0712,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
