gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Melanie,Carroll,1853,Forest Ln,Shreveport,Missouri,United States,12471,-44.4460,41.8276,+3:30,Tehran,melanie.carroll@example.com,1976-09-19T07:29:10.629Z,45,2016-03-19T16:00:14.630Z,5,(855)-348-5704,(103)-009-9545,SSN,607-53-4116,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Brian,Rodriguez,1623,Preston Rd,Fort Lauderdale,Arizona,United States,32939,-46.7629,104.9601,-2:00,Mid-Atlantic,brian.rodriguez@example.com,1970-10-10T08:48:14.970Z,51,2006-06-11T04:01:40.944Z,15,(434)-268-8207,(199)-602-3041,SSN,895-66-4182,https://randomuser.me/api/portraits/men/66.jpg,https://randomuser.me/api/portraits/med/men/66.jpg,https://randomuser.me/api/portraits/thumb/men/66.jpg,US
male,Mr,Jorge,Craig,5008,E Center St,Billings,Tennessee,United States,69564,69.4963,168.3695,-7:00,Mountain Time (US & Canada),jorge.craig@example.com,1967-06-10T17:04:26.534Z,54,2018-12-10T17:53:14.197Z,3,(121)-358-6626,(723)-292-3472,SSN,877-85-6734,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
male,Mr,Caleb,Johnston,3734,Locust Rd,Baton Rouge,South Dakota,United States,25147,38.6291,78.8341,-2:00,Mid-Atlantic,caleb.johnston@example.com,1981-07-26T01:16:52.216Z,40,2012-04-24T01:53:14.461Z,9,(901)-264-2883,(828)-922-3934,SSN,763-06-8905,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Lonnie,Cunningham,2858,Oak Ridge Ln,Medford,Maine,United States,51754,59.0271,34.4510,+3:30,Tehran,lonnie.cunningham@example.com,1955-03-17T17:25:16.894Z,66,2017-05-21T14:54:34.346Z,4,(935)-367-9098,(553)-391-3773,SSN,083-89-5061,https://randomuser.me/api/portraits/men/61.jpg,https://randomuser.me/api/portraits/med/men/61.jpg,https://randomuser.me/api/portraits/thumb/men/61.jpg,US
female,Mrs,Sara,Green,5223,Walnut Hill Ln,Nampa,Washington,United States,17641,43.7979,-116.6293,-3:30,Newfoundland,sara.green@example.com,1990-02-02T09:06:02.515Z,31,2009-06-22T21:47:38.950Z,12,(847)-610-5769,(104)-965-6606,SSN,620-21-9081,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Miss,Tracey,Butler,7286,E Pecan St,Boston,Arkansas,United States,31501,-22.3078,38.2659,-7:00,Mountain Time (US & Canada),tracey.butler@example.com,1954-04-22T11:35:05.823Z,67,2010-01-31T22:58:27.413Z,11,(033)-175-7874,(213)-739-2828,SSN,348-07-0867,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Arthur,Nguyen,9302,E Sandy Lake Rd,Honolulu,Kentucky,United States,18737,69.4067,120.2872,+3:30,Tehran,arthur.nguyen@example.com,1993-09-26T17:59:48.462Z,28,2012-11-21T17:17:47.338Z,9,(681)-444-6913,(545)-146-4461,SSN,784-05-3189,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
male,Mr,Gordon,Gonzales,7580,Elgin St,Wichita Falls,California,United States,16011,56.5288,-54.1286,-9:00,Alaska,gordon.gonzales@example.com,1963-04-24T21:50:27.339Z,58,2018-08-07T20:34:08.292Z,3,(857)-549-7872,(515)-896-0887,SSN,903-02-2175,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
female,Mrs,Lauren,Lawson,8467,Edwards Rd,Little Rock,South Carolina,United States,36162,77.2528,-136.3668,-8:00,Pacific Time (US & Canada),lauren.lawson@example.com,1987-06-26T08:19:28.078Z,34,2013-06-02T22:41:09.235Z,8,(229)-014-9854,(083)-341-8318,SSN,481-87-9788,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
