gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Ann,Hansen,4421,Bruce St,Flint,South Carolina,United States,81608,19.3992,-38.8673,-7:00,Mountain Time (US & Canada),ann.hansen@example.com,1954-01-14T01:01:28.752Z,67,2016-03-27T04:31:36.877Z,5,(571)-635-4314,(236)-185-9547,SSN,297-39-6428,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Sue,Peters,2051,Spring St,Mckinney,Idaho,United States,79053,74.2666,-78.5387,-10:00,Hawaii,sue.peters@example.com,1964-01-08T16:43:55.082Z,57,2003-01-30T19:16:20.965Z,18,(405)-642-8111,(013)-173-3178,SSN,539-12-8733,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Ms,Nevaeh,Reed,4636,Plum St,Joliet,North Carolina,United States,52378,-51.7981,60.3594,+3:30,Tehran,nevaeh.reed@example.com,1964-11-05T19:39:04.915Z,57,2019-07-19T02:59:05.879Z,2,(600)-111-4667,(571)-661-3276,SSN,909-77-7436,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Ms,Letitia,Owens,8307,Royal Ln,Greeley,Indiana,United States,36194,-47.5336,-172.9571,-2:00,Mid-Atlantic,letitia.owens@example.com,1973-02-22T19:34:58.508Z,48,2006-06-29T01:03:13.831Z,15,(807)-053-0511,(199)-702-3896,SSN,640-26-7000,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Corey,Simmmons,5425,White Oak Dr,Farmers Branch,Utah,United States,98879,34.0875,-165.1349,-2:00,Mid-Atlantic,corey.simmmons@example.com,1988-05-28T19:14:46.199Z,33,2010-07-01T15:24:52.428Z,11,(069)-812-7427,(588)-234-2080,SSN,478-99-4223,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
male,Mr,Pat,Hunter,8996,W 6th St,Worcester,Arizona,United States,56304,-74.6369,15.2848,-10:00,Hawaii,pat.hunter@example.com,1983-02-20T20:31:19.961Z,38,2014-11-28T08:37:08.425Z,7,(359)-108-3360,(547)-085-2529,SSN,943-60-3097,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
female,Miss,Cindy,Burns,2848,Hunters Creek Dr,West Valley City,Tennessee,United States,55540,29.0825,47.2129,+5:45,Kathmandu,cindy.burns@example.com,1981-10-13T14:12:56.015Z,40,2002-06-06T02:40:34.849Z,19,(141)-492-7916,(311)-550-5538,SSN,165-55-5365,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
male,Mr,Bryan,Arnold,7723,Dane St,Mesquite,Alaska,United States,66830,-88.8110,-145.0803,-3:30,Newfoundland,bryan.arnold@example.com,1990-11-24T11:03:46.289Z,31,2016-01-31T14:37:30.184Z,5,(755)-002-5795,(780)-183-7964,SSN,997-44-1347,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Armando,Gibson,7604,E Little York Rd,Vernon,Massachusetts,United States,86797,41.2987,89.4323,-7:00,Mountain Time (US & Canada),armando.gibson@example.com,1970-07-02T12:40:47.431Z,51,2013-08-13T23:56:27.471Z,8,(600)-365-2368,(171)-698-7931,SSN,487-64-9591,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Lonnie,Cruz,6761,Sunset St,Baltimore,Georgia,United States,86286,18.4073,-84.1498,-8:00,Pacific Time (US & Canada),lonnie.cruz@example.com,1977-06-19T20:32:10.357Z,44,2008-05-18T13:08:20.758Z,13,(430)-586-2562,(580)-366-2763,SSN,936-10-3513,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg,US
