gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Brad,Baker,8214,Wycliff Ave,Baltimore,Iowa,United States,61604,-3.6281,-5.2545,-9:00,Alaska,brad.baker@example.com,1953-06-23T08:58:39.538Z,68,2014-01-24T09:06:11.765Z,7,(940)-468-4984,(514)-655-0535,SSN,382-59-7432,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Ms,Caroline,Elliott,3536,First Street,Tacoma,Idaho,United States,62232,19.2999,73.0535,-2:00,Mid-Atlantic,caroline.elliott@example.com,1969-01-20T01:26:30.797Z,52,2011-08-09T15:42:48.737Z,10,(998)-246-3959,(242)-529-1543,SSN,821-30-5688,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Lucas,Pena,8374,Fairview St,Lexington,Minnesota,United States,58678,-16.5792,-134.3501,-8:00,Pacific Time (US & Canada),lucas.pena@example.com,1945-08-13T01:04:35.221Z,76,2014-11-13T18:10:26.352Z,7,(185)-759-1574,(672)-807-3412,SSN,883-35-8796,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
male,Mr,Nathan,Schmidt,352,Pecan Acres Ln,Honolulu,Texas,United States,91323,-50.6124,100.1131,+4:30,Kabul,nathan.schmidt@example.com,1949-04-26T15:48:29.333Z,72,2012-12-14T14:34:09.634Z,9,(450)-526-5546,(518)-695-4703,SSN,674-08-8626,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
male,Mr,Derrick,Holmes,9640,Bollinger Rd,Rancho Cucamonga,Ohio,United States,99799,-42.9746,-6.0842,-3:30,Newfoundland,derrick.holmes@example.com,1945-01-13T09:12:34.860Z,76,2014-07-25T07:04:48.009Z,7,(024)-290-6957,(028)-163-0287,SSN,272-88-0078,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
male,Mr,Anthony,Murphy,3055,Shady Ln Dr,Great Falls,Arkansas,United States,32829,-87.9941,121.2710,-9:00,Alaska,anthony.murphy@example.com,1945-02-22T02:27:17.374Z,76,2012-11-30T16:39:49.961Z,9,(462)-801-7968,(092)-231-3744,SSN,107-94-8800,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Miss,Rita,Baker,9557,Paddock Way,Jacksonville,Indiana,United States,36669,37.5409,-53.5077,+3:30,Tehran,rita.baker@example.com,1959-10-10T08:04:58.422Z,62,2006-10-19T03:01:04.684Z,15,(118)-733-8018,(166)-729-4169,SSN,955-26-2506,https://randomuser.me/api/portraits/women/62.jpg,https://randomuser.me/api/portraits/med/women/62.jpg,https://randomuser.me/api/portraits/thumb/women/62.jpg,US
female,Ms,Claudia,Bowman,6787,Frances Ct,Indianapolis,West Virginia,United States,34652,-35.6278,-156.5098,-3:30,Newfoundland,claudia.bowman@example.com,1972-11-30T22:33:36.605Z,49,2008-08-02T07:29:37.506Z,13,(657)-207-9859,(600)-817-6535,SSN,608-30-9422,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Miss,Christine,Stanley,6226,Saddle Dr,San Diego,Louisiana,United States,67775,-54.0851,-150.2917,+3:30,Tehran,christine.stanley@example.com,1960-03-10T12:47:56.172Z,61,2019-04-26T06:00:25.022Z,2,(620)-217-3565,(902)-006-2561,SSN,402-92-6234,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Gilbert,Rhodes,3063,Smokey Ln,Centennial,Arkansas,United States,48581,-20.3871,-81.7405,+4:30,Kabul,gilbert.rhodes@example.com,1970-08-16T10:28:50.998Z,51,2012-09-29T07:25:56.825Z,9,(026)-686-4371,(029)-806-4046,SSN,478-65-0830,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
