gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Noelle,Moreno,6430,Wycliff Ave,Desoto,Wisconsin,United States,47250,15.1420,100.4774,-9:00,Alaska,noelle.moreno@example.com,1952-06-13T13:00:31.811Z,69,2014-04-17T13:07:21.605Z,7,(130)-521-2291,(555)-173-1998,SSN,771-03-0863,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,US
female,Mrs,Marilyn,Castro,3296,Bollinger Rd,Fort Lauderdale,South Carolina,United States,63666,-22.3522,73.2067,-10:00,Hawaii,marilyn.castro@example.com,1990-08-21T09:38:20.118Z,31,2002-04-08T18:18:01.495Z,19,(188)-887-2089,(203)-736-6057,SSN,828-96-7627,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
male,Mr,Gabriel,Harvey,5403,W Campbell Ave,Cambridge,New Mexico,United States,82817,25.7263,15.4277,-8:00,Pacific Time (US & Canada),gabriel.harvey@example.com,1946-08-04T19:23:13.602Z,75,2003-05-26T06:47:23.368Z,18,(447)-904-5276,(188)-865-4795,SSN,392-97-3332,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
female,Miss,Jennifer,Carroll,6918,College St,Reno,Wisconsin,United States,31659,64.9499,65.8244,+3:30,Tehran,jennifer.carroll@example.com,1956-04-19T02:23:35.301Z,65,2018-04-09T04:18:11.901Z,3,(220)-742-8255,(045)-742-8347,SSN,261-37-3504,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Ronnie,Turner,3087,Paddock Way,Vallejo,Idaho,United States,89664,-39.7428,-161.2445,-8:00,Pacific Time (US & Canada),ronnie.turner@example.com,1993-09-13T13:11:19.952Z,28,2014-05-31T21:21:05.429Z,7,(067)-313-8217,(252)-623-7568,SSN,936-44-3530,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
male,Mr,Herbert,Fernandez,8087,W Pecan St,Denver,Michigan,United States,64991,76.1071,-79.2575,+4:30,Kabul,herbert.fernandez@example.com,1982-06-06T16:22:18.168Z,39,2011-10-11T12:04:34.455Z,10,(797)-438-9556,(600)-990-7802,SSN,213-62-0428,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Miss,Emma,Ward,616,Hillcrest Rd,Oxnard,Vermont,United States,33589,4.0412,179.3115,-2:00,Mid-Atlantic,emma.ward@example.com,1998-01-28T02:07:07.644Z,23,2016-12-14T01:35:48.369Z,5,(875)-774-1547,(109)-497-1525,SSN,498-48-5455,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Lawrence,Sullivan,497,W Pecan St,Knoxville,Alaska,United States,68636,17.4457,117.7564,+5:45,Kathmandu,lawrence.sullivan@example.com,1982-05-09T08:20:39.893Z,39,2015-10-26T11:38:48.020Z,6,(833)-100-7448,(171)-727-9881,SSN,716-54-7896,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
male,Mr,Hugh,Peters,5891,Green Rd,Round Rock,Hawaii,United States,63261,-17.1304,-4.6900,-3:30,Newfoundland,hugh.peters@example.com,1986-09-03T06:31:20.511Z,35,2010-06-20T09:54:10.124Z,11,(615)-869-1179,(534)-507-8178,SSN,685-39-3397,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Gregory,Moore,8334,Wheeler Ridge Dr,Edison,Kentucky,United States,24071,-59.5378,-143.7232,+3:30,Tehran,gregory.moore@example.com,1970-12-27T05:26:07.686Z,51,2012-03-31T04:59:10.544Z,9,(371)-165-9338,(204)-786-7924,SSN,535-34-0851,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Ms,Michele,Torres,3217,Paddock Way,Hollywood,New Mexico,United States,13841,16.0479,132.0578,+3:30,Tehran,michele.torres@example.com,1989-01-04T16:13:36.708Z,32,2008-12-13T11:07:46.961Z,13,(667)-000-4926,(515)-723-0359,SSN,758-66-8200,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
male,Mr,Wade,Castro,3442,Lakeshore Rd,Virginia Beach,Massachusetts,United States,24830,-55.7066,-129.8305,-8:00,Pacific Time (US & Canada),wade.castro@example.com,1986-03-31T12:43:22.497Z,35,2017-06-19T18:49:12.635Z,4,(082)-167-6676,(058)-120-1813,SSN,070-08-8135,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
female,Mrs,Ramona,Obrien,7565,Camden Ave,Shelby,Oklahoma,United States,68296,-5.5719,176.1546,-8:00,Pacific Time (US & Canada),ramona.obrien@example.com,1948-06-12T09:07:47.864Z,73,2005-04-04T23:27:50.256Z,16,(705)-092-8790,(186)-810-9160,SSN,460-73-4040,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
male,Mr,Tommy,Hernandez,1382,Camden Ave,Torrance,New Jersey,United States,15623,-30.5515,25.6201,-8:00,Pacific Time (US & Canada),tommy.hernandez@example.com,1996-03-09T13:51:20.710Z,25,2004-04-16T17:08:07.729Z,17,(092)-779-3033,(631)-607-1244,SSN,095-19-3870,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Benjamin,Nguyen,7825,Homestead Rd,Eugene,South Carolina,United States,31185,-44.9257,-20.2737,-8:00,Pacific Time (US & Canada),benjamin.nguyen@example.com,1967-02-23T21:04:52.158Z,54,2007-10-30T22:45:52.736Z,14,(907)-928-7370,(229)-273-5167,SSN,262-44-9771,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg,US
male,Mr,James,Johnson,2770,Mcclellan Rd,Albuquerque,Michigan,United States,51161,-19.1321,-149.9057,-7:00,Mountain Time (US & Canada),james.johnson@example.com,1987-08-06T00:43:39.107Z,34,2010-01-18T19:02:25.463Z,11,(861)-213-7263,(938)-030-0894,SSN,466-07-5965,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
