gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Mitchell,Ferguson,8468,Royal Ln,Grand Prairie,Arizona,United States,52591,-46.8029,150.6758,-2:00,Mid-Atlantic,mitchell.ferguson@example.com,1969-02-15T22:49:04.153Z,52,2013-09-26T03:00:21.429Z,8,(120)-244-9798,(785)-370-5812,SSN,402-73-0731,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
male,Mr,Corey,Wallace,8054,Westheimer Rd,Flint,New Mexico,United States,20337,21.2259,-114.2710,-2:00,Mid-Atlantic,corey.wallace@example.com,1975-05-31T11:27:01.999Z,46,2014-06-18T09:11:28.672Z,7,(545)-968-8777,(348)-428-5310,SSN,438-99-9277,https://randomuser.me/api/portraits/men/74.jpg,https://randomuser.me/api/portraits/med/men/74.jpg,https://randomuser.me/api/portraits/thumb/men/74.jpg,US
female,Miss,Lena,Beck,7033,Preston Rd,St. Louis,South Carolina,United States,90798,-89.1636,131.6645,-8:00,Pacific Time (US & Canada),lena.beck@example.com,1961-06-01T18:02:19.385Z,60,2011-05-06T17:47:31.852Z,10,(895)-196-4762,(991)-574-5663,SSN,245-04-3620,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
male,Mr,Caleb,Willis,6655,Royal Ln,Jacksonville,Kentucky,United States,90639,9.6406,-103.9989,-2:00,Mid-Atlantic,caleb.willis@example.com,1973-01-26T01:30:44.571Z,48,2005-03-20T01:17:11.501Z,16,(094)-343-2238,(746)-179-6328,SSN,192-86-9952,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
female,Mrs,Yolanda,Shaw,3626,Forest Ln,Spokane,California,United States,42107,-60.6805,-82.0362,-9:00,Alaska,yolanda.shaw@example.com,1992-11-11T10:05:33.150Z,29,2016-05-29T02:18:46.516Z,5,(697)-918-9168,(571)-467-5988,SSN,411-23-6414,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
male,Mr,Roland,Davidson,3735,Hogan St,New Orleans,Illinois,United States,10745,80.2170,-80.5523,-2:00,Mid-Atlantic,roland.davidson@example.com,1981-12-26T17:46:21.699Z,40,2017-01-26T23:02:18.604Z,4,(683)-837-4695,(140)-331-4167,SSN,162-41-6240,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Mrs,Mabel,Morrison,7355,Royal Ln,Fountain Valley,Oregon,United States,21779,-29.1717,133.6642,-2:00,Mid-Atlantic,mabel.morrison@example.com,1976-09-11T08:25:11.387Z,45,2010-04-28T20:06:10.900Z,11,(182)-757-4870,(402)-706-9576,SSN,378-27-4144,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Ms,Kelly,Morales,7866,Pecan Acres Ln,Tulsa,Rhode Island,United States,54185,22.2400,-74.8082,-10:00,Hawaii,kelly.morales@example.com,1979-09-30T08:38:56.059Z,42,2002-09-02T13:18:33.198Z,19,(023)-710-0237,(128)-140-8954,SSN,802-75-8007,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
female,Mrs,Gladys,Woods,5070,Spring St,Duncanville,New Mexico,United States,19827,-32.4261,134.0813,+4:30,Kabul,gladys.woods@example.com,1976-11-27T23:17:10.514Z,45,2010-08-02T16:19:33.487Z,11,(489)-810-0837,(646)-089-6167,SSN,082-77-2066,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
male,Mr,Nathan,Porter,2015,Prospect Rd,Cape Fear,Alabama,United States,43392,-64.3265,-130.7792,-9:00,Alaska,nathan.porter@example.com,1956-10-24T04:15:13.814Z,65,2016-10-18T03:44:41.341Z,5,(769)-621-9084,(119)-986-1549,SSN,609-55-8100,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
