gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Nelson,Rice,3048,Elgin St,Fort Lauderdale,Maine,United States,20965,-37.2967,43.0787,+4:30,Kabul,nelson.rice@example.com,1960-09-09T21:38:20.683Z,61,2007-07-05T03:56:17.488Z,14,(729)-531-4849,(899)-907-2914,SSN,421-77-3133,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
male,Mr,Corey,Foster,9670,Rolling Green Rd,Akron,South Dakota,United States,51000,-9.2312,115.0199,+3:30,Tehran,corey.foster@example.com,1980-09-23T22:19:14.868Z,41,2013-07-10T23:50:56.531Z,8,(028)-690-4919,(646)-504-9570,SSN,396-55-4523,https://randomuser.me/api/portraits/men/75.jpg,https://randomuser.me/api/portraits/med/men/75.jpg,https://randomuser.me/api/portraits/thumb/men/75.jpg,US
male,Mr,Jason,Reid,2145,N Stelling Rd,Hampton,Illinois,United States,21525,-35.7278,74.8366,+5:45,Kathmandu,jason.reid@example.com,1960-03-14T04:43:38.879Z,61,2006-09-10T22:10:03.816Z,15,(756)-441-0842,(311)-969-0320,SSN,107-75-4261,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Miss,Debra,Griffin,4483,E Sandy Lake Rd,Elgin,New Jersey,United States,61818,47.7987,101.2401,-2:00,Mid-Atlantic,debra.griffin@example.com,1980-09-26T21:49:57.626Z,41,2003-12-07T17:08:36.440Z,18,(971)-004-1572,(614)-985-9544,SSN,794-39-9589,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
female,Miss,Priscilla,Evans,1729,W Gray St,Plano,Utah,United States,32156,49.2523,0.9709,-8:00,Pacific Time (US & Canada),priscilla.evans@example.com,1993-09-21T16:26:21.962Z,28,2013-05-20T07:38:01.294Z,8,(220)-919-0866,(001)-737-5785,SSN,960-05-5800,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Kyle,Lawson,5034,Westheimer Rd,Santa Clarita,Utah,United States,17579,84.4756,67.7050,-8:00,Pacific Time (US & Canada),kyle.lawson@example.com,1970-08-12T09:03:16.066Z,51,2012-08-10T04:26:22.939Z,9,(571)-183-4548,(195)-921-8699,SSN,577-00-5485,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Arnold,Russell,5994,E North St,Lancaster,Maine,United States,63948,-21.6713,39.4020,-8:00,Pacific Time (US & Canada),arnold.russell@example.com,1955-03-15T17:35:31.907Z,66,2006-12-01T17:24:33.151Z,15,(550)-303-2981,(896)-512-9549,SSN,173-52-4887,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Ms,Naomi,Carlson,6105,Spring St,Elgin,West Virginia,United States,96033,73.3696,-87.1039,+4:30,Kabul,naomi.carlson@example.com,1973-12-29T09:30:33.262Z,48,2013-05-24T03:22:11.408Z,8,(766)-135-0961,(535)-201-4591,SSN,769-24-7228,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Ms,Denise,Young,4635,W Campbell Ave,Eureka,Rhode Island,United States,39648,80.9194,-18.1563,+3:30,Tehran,denise.young@example.com,1971-05-08T08:06:05.508Z,50,2009-10-01T22:05:21.428Z,12,(637)-611-4037,(233)-059-7000,SSN,392-14-3440,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Cameron,Willis,3725,Pecan Acres Ln,Jersey City,Wisconsin,United States,30319,-58.9231,-26.8896,-8:00,Pacific Time (US & Canada),cameron.willis@example.com,1994-06-25T17:15:14.370Z,27,2013-10-26T04:18:18.945Z,8,(536)-528-0086,(951)-480-7150,SSN,757-01-5989,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
