gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Gabriel,Hart,218,Cherry St,Des Moines,Hawaii,United States,61335,5.3922,-160.3253,+4:30,Kabul,gabriel.hart@example.com,1963-08-28T23:47:22.594Z,58,2009-01-28T08:02:27.613Z,12,(112)-124-8018,(088)-137-1189,SSN,747-23-7937,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
female,Miss,Vera,Moreno,9097,Northaven Rd,Portland,New Mexico,United States,43925,41.7175,77.3577,-9:00,Alaska,vera.moreno@example.com,1966-11-07T11:22:56.387Z,55,2014-12-28T00:51:20.053Z,7,(576)-267-0965,(780)-633-7556,SSN,185-13-5908,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Clifford,Perez,9849,Marsh Ln,Centennial,Nevada,United States,91778,-43.7285,-92.7040,-9:00,Alaska,clifford.perez@example.com,1984-02-05T07:02:35.792Z,37,2014-05-05T23:27:36.725Z,7,(577)-913-6410,(030)-617-2134,SSN,971-56-3786,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Daniel,Montgomery,7464,Woodland St,Greensboro,Washington,United States,72714,-58.6558,-98.5335,-8:00,Pacific Time (US & Canada),daniel.montgomery@example.com,1988-09-19T20:12:03.881Z,33,2015-08-06T12:40:54.321Z,6,(475)-983-6854,(928)-363-6682,SSN,575-59-7806,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
male,Mr,Morris,Warren,7115,Valley View Ln,Orange,Colorado,United States,17456,47.9837,-57.1207,-9:00,Alaska,morris.warren@example.com,1965-12-07T16:07:18.906Z,56,2004-07-28T00:12:11.045Z,17,(467)-041-4088,(503)-175-5510,SSN,442-53-7471,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
male,Mr,Rick,Wells,6271,E Pecan St,Ironville,New Jersey,United States,75994,-8.1983,75.3399,-10:00,Hawaii,rick.wells@example.com,1982-07-14T20:54:43.698Z,39,2016-12-24T16:59:41.449Z,5,(066)-471-0978,(220)-608-7540,SSN,495-10-5780,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Mrs,Erika,Sanchez,649,W Campbell Ave,Denton,South Dakota,United States,93111,62.0410,-87.7833,-7:00,Mountain Time (US & Canada),erika.sanchez@example.com,1992-12-08T19:28:24.863Z,29,2012-09-28T04:38:00.057Z,9,(143)-766-2453,(260)-496-5465,SSN,463-10-2746,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Mrs,Felicia,Fields,7786,Eason Rd,Lakewood,Kentucky,United States,49605,-46.9711,151.6829,-7:00,Mountain Time (US & Canada),felicia.fields@example.com,1966-02-05T09:40:54.840Z,55,2004-03-03T16:33:07.750Z,17,(540)-662-5254,(161)-184-3993,SSN,155-49-6427,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
female,Miss,Celina,Cook,8159,Valwood Pkwy,New Haven,Maine,United States,27912,-80.7788,165.0968,+5:45,Kathmandu,celina.cook@example.com,1974-09-16T22:51:50.660Z,47,2018-01-16T11:32:33.585Z,3,(667)-985-7065,(609)-760-2911,SSN,391-02-4803,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Mrs,Ramona,Ford,6558,Lone Wolf Trail,Scottsdale,Oklahoma,United States,34240,62.3017,-87.8291,-3:30,Newfoundland,ramona.ford@example.com,1976-02-17T05:50:10.491Z,45,2005-08-16T07:08:46.714Z,16,(467)-583-9463,(924)-448-2942,SSN,552-73-5861,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Gene,Berry,6912,Spring Hill Rd,Roseville,Virginia,United States,37468,15.0185,-63.4437,-8:00,Pacific Time (US & Canada),gene.berry@example.com,1966-12-02T18:24:33.780Z,55,2006-08-20T12:58:35.549Z,15,(305)-017-0130,(932)-072-1164,SSN,518-91-1140,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
