gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Isobel,Warren,9677,Crockett St,Visalia,Tennessee,United States,65612,-23.9855,101.5150,-10:00,Hawaii,isobel.warren@example.com,1987-11-12T20:48:03.654Z,34,2003-08-26T04:42:59.784Z,18,(936)-759-0920,(098)-509-0261,SSN,183-02-5494,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
female,Mrs,Cassandra,Nguyen,6893,Royal Ln,Augusta,Wisconsin,United States,68699,-63.7707,-101.4374,-3:30,Newfoundland,cassandra.nguyen@example.com,1971-01-31T07:09:35.264Z,50,2017-05-23T17:46:42.045Z,4,(323)-267-5767,(597)-545-3532,SSN,819-24-6931,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
male,Mr,Roger,Bailey,7810,Rolling Green Rd,Frisco,Illinois,United States,30344,65.9393,39.0873,-9:00,Alaska,roger.bailey@example.com,1982-07-06T00:40:35.476Z,39,2006-12-01T06:00:19.620Z,15,(284)-327-3257,(550)-229-4102,SSN,153-80-6228,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
male,Mr,Dwayne,Wheeler,4196,W Sherman Dr,Norman,South Carolina,United States,69475,71.0549,123.5235,-7:00,Mountain Time (US & Canada),dwayne.wheeler@example.com,1945-01-23T06:50:39.788Z,76,2009-12-27T06:06:38.458Z,12,(594)-219-3601,(306)-292-5001,SSN,880-25-2740,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Ms,Tamara,Lynch,6958,Hillcrest Rd,Lubbock,Wisconsin,United States,41131,84.7402,87.6223,-7:00,Mountain Time (US & Canada),tamara.lynch@example.com,1984-08-30T08:41:29.576Z,37,2003-02-06T10:37:29.053Z,18,(242)-340-0810,(842)-976-3513,SSN,092-93-5512,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Mrs,Debra,Taylor,1000,Hickory Creek Dr,Waco,Mississippi,United States,72155,-10.7787,146.1116,-2:00,Mid-Atlantic,debra.taylor@example.com,1975-03-30T05:24:43.383Z,46,2005-07-29T16:25:29.890Z,16,(543)-401-5657,(354)-909-6309,SSN,211-63-4844,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Eduardo,Riley,1363,Ash Dr,Syracuse,Arkansas,United States,92504,-5.4456,-27.9697,-2:00,Mid-Atlantic,eduardo.riley@example.com,1948-06-12T08:27:06.499Z,73,2010-11-21T01:51:51.623Z,11,(313)-391-8399,(671)-380-7158,SSN,194-33-4683,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Tyrone,Nguyen,6283,Taylor St,Inglewood,Indiana,United States,59044,-68.1885,-50.4444,-9:00,Alaska,tyrone.nguyen@example.com,1972-09-12T12:31:42.340Z,49,2007-01-14T21:21:38.313Z,14,(863)-055-1016,(933)-101-0812,SSN,249-00-4075,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
male,Mr,Freddie,Carr,4724,White Oak Dr,Tacoma,California,United States,20514,12.0085,120.2386,-10:00,Hawaii,freddie.carr@example.com,1959-01-16T14:38:22.534Z,62,2006-09-18T06:58:22.323Z,15,(713)-491-0390,(898)-465-7192,SSN,860-65-8665,https://randomuser.me/api/portraits/men/72.jpg,https://randomuser.me/api/portraits/med/men/72.jpg,https://randomuser.me/api/portraits/thumb/men/72.jpg,US
male,Mr,Noah,Nichols,1718,Woodland St,Seymour,Oklahoma,United States,70240,33.5899,68.8241,+4:30,Kabul,noah.nichols@example.com,1997-11-28T13:38:43.388Z,24,2015-03-19T22:34:29.821Z,6,(421)-965-3067,(590)-806-3591,SSN,337-59-4527,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Glen,Lawson,9063,Railroad St,Seattle,Kentucky,United States,44977,-85.0510,105.4003,-8:00,Pacific Time (US & Canada),glen.lawson@example.com,1998-07-02T01:39:21.316Z,23,2011-12-27T06:23:01.287Z,10,(953)-867-3366,(164)-587-6481,SSN,889-38-5081,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,Jeremiah,Shaw,4049,Stevens Creek Blvd,Norwalk,Ohio,United States,73310,36.3572,-132.7946,+4:30,Kabul,jeremiah.shaw@example.com,1987-10-30T20:39:24.198Z,34,2014-09-04T00:07:21.844Z,7,(139)-204-5588,(769)-284-3708,SSN,659-43-8319,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Chad,Mitchell,8848,Sunset St,Frisco,Louisiana,United States,78784,65.7798,-109.1912,-3:30,Newfoundland,chad.mitchell@example.com,1962-03-05T12:48:03.943Z,59,2015-03-17T15:33:43.253Z,6,(077)-401-3456,(443)-246-2274,SSN,098-25-6247,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
male,Mr,Ryan,Webb,4705,Mockingbird Hill,Edgewood,Tennessee,United States,59191,88.8051,-82.2458,-3:30,Newfoundland,ryan.webb@example.com,1983-06-22T00:57:52.513Z,38,2004-10-24T07:41:15.842Z,17,(841)-659-0169,(493)-886-6268,SSN,147-45-8829,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
