gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Claudia,Hughes,2069,Timber Wolf Trail,Tacoma,North Carolina,United States,55876,-52.5694,9.4016,+5:45,Kathmandu,claudia.hughes@example.com,1973-12-24T19:35:02.013Z,48,2002-09-28T09:39:35.846Z,19,(576)-539-0923,(876)-931-4929,SSN,132-65-4680,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Ms,Edith,Kelly,1852,White Oak Dr,Murfreesboro,Iowa,United States,75692,7.2065,41.5637,+4:30,Kabul,edith.kelly@example.com,1965-12-21T11:38:48.452Z,56,2009-01-22T07:31:09.823Z,12,(154)-818-3103,(367)-309-8937,SSN,451-48-0611,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Ralph,Austin,6775,E Sandy Lake Rd,Hayward,Florida,United States,30402,-88.3393,-101.9536,+3:30,Tehran,ralph.austin@example.com,1946-07-15T00:11:01.693Z,75,2008-05-05T18:57:01.574Z,13,(543)-508-6968,(321)-838-4875,SSN,871-74-4927,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Miss,Tanya,Frazier,6484,Railroad St,Richardson,New Jersey,United States,48350,89.6705,-111.0036,-2:00,Mid-Atlantic,tanya.frazier@example.com,1993-08-12T19:57:52.159Z,28,2010-05-09T22:18:11.880Z,11,(851)-682-8037,(187)-106-7069,SSN,213-29-0132,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Miss,Gail,Garrett,2079,Miller Ave,Worcester,New Jersey,United States,49659,-4.9345,138.5934,-7:00,Mountain Time (US & Canada),gail.garrett@example.com,1952-11-07T23:06:17.563Z,69,2014-05-15T06:58:24.476Z,7,(347)-753-6463,(729)-100-1201,SSN,441-06-0336,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
male,Mr,Ethan,Andrews,493,Smokey Ln,Arlington,New Hampshire,United States,33445,-0.4983,-67.6305,-3:30,Newfoundland,ethan.andrews@example.com,1950-11-04T01:20:28.946Z,71,2015-03-28T22:00:15.353Z,6,(677)-822-3308,(116)-819-5910,SSN,924-37-3651,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Ms,Lydia,Long,8106,Spring St,Edison,Maryland,United States,65286,23.3355,136.3617,-8:00,Pacific Time (US & Canada),lydia.long@example.com,1957-10-24T08:41:38.436Z,64,2012-08-23T17:25:07.456Z,9,(791)-688-8036,(993)-900-9087,SSN,941-76-4565,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Ms,Kristin,Herrera,160,White Oak Dr,Stamford,West Virginia,United States,90824,22.2123,-94.7985,-3:30,Newfoundland,kristin.herrera@example.com,1962-04-20T08:40:33.499Z,59,2015-07-29T09:29:52.458Z,6,(305)-201-3239,(445)-883-8549,SSN,920-24-0465,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
female,Miss,Felecia,Ruiz,3162,Homestead Rd,Red Bluff,Illinois,United States,13566,37.6491,49.2502,-10:00,Hawaii,felecia.ruiz@example.com,1965-12-13T19:40:26.157Z,56,2007-11-01T23:41:58.683Z,14,(816)-138-4890,(397)-213-9455,SSN,563-15-3588,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Miss,Louise,Alvarez,8303,Lakeview St,Cleveland,Oregon,United States,25370,52.6926,-154.9924,-10:00,Hawaii,louise.alvarez@example.com,1997-09-21T10:06:11.858Z,24,2018-06-22T21:37:59.247Z,3,(931)-664-9821,(838)-935-2378,SSN,462-44-5027,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Mrs,Diana,Green,4539,Pecan Acres Ln,Atlanta,Alabama,United States,32815,-55.0052,133.0248,-9:00,Alaska,diana.green@example.com,1989-07-10T22:31:05.826Z,32,2004-06-04T14:18:33.454Z,17,(635)-214-0271,(634)-707-3004,SSN,422-57-3418,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
