gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Alexander,Reid,5835,Frances Ct,Las Vegas,Nevada,United States,57960,12.6198,-77.2094,-7:00,Mountain Time (US & Canada),alexander.reid@example.com,1979-09-01T10:22:08.976Z,42,2005-10-12T13:29:26.098Z,16,(480)-628-9539,(192)-641-6001,SSN,976-36-0847,https://randomuser.me/api/portraits/men/89.jpg,https://randomuser.me/api/portraits/med/men/89.jpg,https://randomuser.me/api/portraits/thumb/men/89.jpg,US
male,Mr,Dean,Peterson,4944,Eason Rd,Roseville,Ohio,United States,11924,-42.4343,-25.5299,-8:00,Pacific Time (US & Canada),dean.peterson@example.com,1946-05-27T10:06:03.062Z,75,2014-12-25T10:08:32.085Z,7,(358)-375-5821,(407)-453-3609,SSN,987-60-8719,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
male,Mr,Wade,Mills,1615,Country Club Rd,Philadelphia,Rhode Island,United States,70040,-30.6075,7.5600,-10:00,Hawaii,wade.mills@example.com,1984-03-16T01:46:40.008Z,37,2008-04-11T17:22:35.578Z,13,(626)-189-0786,(640)-578-6062,SSN,462-81-4099,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
male,Mr,Francisco,Chambers,1752,College St,Evansville,Nebraska,United States,76302,85.8182,154.9996,-3:30,Newfoundland,francisco.chambers@example.com,1966-07-04T00:58:14.949Z,55,2012-12-11T05:51:34.239Z,9,(702)-442-2343,(788)-208-1216,SSN,869-31-9970,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
male,Mr,Andre,Rice,9421,Forest Ln,Allen,Arizona,United States,23524,77.4394,122.3092,+3:30,Tehran,andre.rice@example.com,1969-02-20T18:11:38.141Z,52,2015-11-01T06:19:51.982Z,6,(636)-058-6794,(802)-007-8750,SSN,805-49-5618,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
male,Mr,Edward,Lambert,7686,W Sherman Dr,Yakima,Michigan,United States,31564,-40.2154,-136.9004,-3:30,Newfoundland,edward.lambert@example.com,1986-07-01T04:43:48.947Z,35,2015-07-29T19:03:21.351Z,6,(377)-110-9719,(204)-468-9835,SSN,805-33-2551,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
female,Ms,Brandie,Lowe,6727,Forest Ln,Henderson,Minnesota,United States,76131,-52.8255,-76.1023,+5:45,Kathmandu,brandie.lowe@example.com,1998-04-23T23:00:21.729Z,23,2017-08-30T23:03:52.997Z,4,(599)-064-3290,(471)-732-3931,SSN,850-57-3514,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Sean,Harris,5326,Eason Rd,Fargo,Hawaii,United States,82741,-5.9671,-12.4662,-3:30,Newfoundland,sean.harris@example.com,1964-12-30T11:55:54.028Z,57,2007-02-06T12:32:10.362Z,14,(362)-425-3888,(164)-589-9997,SSN,929-16-0589,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Ms,Amy,Washington,3866,Parker Rd,Pearland,Georgia,United States,61658,-6.9560,-66.4209,-9:00,Alaska,amy.washington@example.com,1958-04-25T18:13:08.559Z,63,2018-01-04T16:30:45.936Z,3,(752)-096-2466,(399)-806-4076,SSN,088-37-6265,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
female,Mrs,Alexa,Long,3315,Photinia Ave,Chattanooga,South Dakota,United States,15316,-78.3607,127.4524,-2:00,Mid-Atlantic,alexa.long@example.com,1951-04-15T02:16:34.251Z,70,2015-01-18T03:45:23.608Z,6,(808)-341-2633,(080)-917-7850,SSN,256-24-2866,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
female,Miss,Diane,Steward,9926,Taylor St,North Valley,Iowa,United States,50819,-42.6634,-29.5989,+5:45,Kathmandu,diane.steward@example.com,1947-02-06T01:03:28.149Z,74,2013-06-02T08:02:36.928Z,8,(576)-305-3822,(915)-991-4713,SSN,480-34-4756,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Ms,Paula,Herrera,626,Country Club Rd,Corpus Christi,Oklahoma,United States,10872,70.3096,168.2420,+4:30,Kabul,paula.herrera@example.com,1983-03-23T03:34:22.761Z,38,2003-03-26T08:35:36.835Z,18,(633)-198-3900,(983)-655-1361,SSN,673-68-6140,https://randomuser.me/api/portraits/women/84.jpg,https://randomuser.me/api/portraits/med/women/84.jpg,https://randomuser.me/api/portraits/thumb/women/84.jpg,US
