gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Margie,Bowman,3374,Thornridge Cir,Woodbridge,New Hampshire,United States,82516,-4.5789,-25.5702,-10:00,Hawaii,margie.bowman@example.com,1972-12-17T14:02:28.637Z,49,2018-12-21T06:58:40.483Z,3,(774)-079-4624,(216)-363-1296,SSN,803-01-8088,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg,US
male,Mr,Alfred,Sanders,2194,Shady Ln Dr,Akron,Montana,United States,50963,33.7228,131.0397,-2:00,Mid-Atlantic,alfred.sanders@example.com,1959-03-04T06:43:05.047Z,62,2013-03-16T18:22:45.645Z,8,(253)-684-9874,(504)-833-1541,SSN,583-18-1372,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
female,Miss,Emily,Rhodes,7629,Mockingbird Ln,Van Alstyne,Idaho,United States,15223,-29.1594,-162.9024,-3:30,Newfoundland,emily.rhodes@example.com,1993-04-20T06:42:54.305Z,28,2008-07-04T23:32:41.009Z,13,(947)-831-2571,(285)-417-2053,SSN,311-59-6330,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg,US
female,Ms,Sylvia,Chapman,5574,White Oak Dr,Peoria,Vermont,United States,76012,-5.0885,119.6440,-8:00,Pacific Time (US & Canada),sylvia.chapman@example.com,1955-12-05T15:10:30.874Z,66,2007-10-06T21:21:42.954Z,14,(700)-292-1182,(781)-375-9963,SSN,612-41-4893,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
female,Ms,Tamara,Stewart,2911,Railroad St,Chula Vista,Virginia,United States,23782,7.0216,-157.0180,-8:00,Pacific Time (US & Canada),tamara.stewart@example.com,1946-01-02T17:35:45.227Z,75,2005-03-03T14:25:26.489Z,16,(020)-204-5481,(915)-130-9488,SSN,328-26-8745,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Elmer,Reid,7078,Plum St,Fort Lauderdale,Montana,United States,50823,-63.7288,127.4678,+4:30,Kabul,elmer.reid@example.com,1957-12-07T15:45:40.948Z,64,2013-03-10T08:40:15.250Z,8,(221)-644-0630,(177)-126-4063,SSN,838-54-0150,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
male,Mr,George,Hall,6056,Country Club Rd,Escondido,Iowa,United States,20446,-51.9271,138.4813,-10:00,Hawaii,george.hall@example.com,1977-05-17T13:03:41.955Z,44,2015-05-21T16:44:21.666Z,6,(688)-119-7908,(267)-097-8957,SSN,175-25-8115,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Vernon,Jenkins,6008,Paddock Way,Jersey City,Florida,United States,46542,55.9879,-119.4121,-9:00,Alaska,vernon.jenkins@example.com,1962-06-12T02:38:38.699Z,59,2016-04-17T22:02:57.964Z,5,(599)-159-7592,(623)-847-3997,SSN,839-70-9824,https://randomuser.me/api/portraits/men/23.jpg,https://randomuser.me/api/portraits/med/men/23.jpg,https://randomuser.me/api/portraits/thumb/men/23.jpg,US
male,Mr,Isaiah,Diaz,8207,Cackson St,Great Falls,Oklahoma,United States,51907,82.5160,122.0684,-3:30,Newfoundland,isaiah.diaz@example.com,1983-08-20T03:31:10.765Z,38,2013-08-02T00:24:10.404Z,8,(301)-070-0683,(875)-738-5752,SSN,076-01-1716,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Tracy,Kelley,5994,Oak Ridge Ln,Scurry,Florida,United States,46404,58.5168,-37.6252,+3:30,Tehran,tracy.kelley@example.com,1958-03-15T02:40:27.842Z,63,2005-06-23T14:56:35.171Z,16,(240)-266-8304,(308)-494-1065,SSN,809-10-4168,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
