gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Leslie,Stanley,760,Lone Wolf Trail,San Mateo,Rhode Island,United States,75543,86.0442,-95.1141,-7:00,Mountain Time (US & Canada),leslie.stanley@example.com,1979-05-17T18:52:45.708Z,42,2015-07-21T04:36:06.136Z,6,(395)-898-6741,(776)-686-9912,SSN,734-28-2656,https://randomuser.me/api/portraits/men/59.jpg,https://randomuser.me/api/portraits/med/men/59.jpg,https://randomuser.me/api/portraits/thumb/men/59.jpg,US
female,Ms,Daisy,Lee,4422,Mockingbird Hill,Chattanooga,Illinois,United States,70237,-44.0114,-173.6359,+4:30,Kabul,daisy.lee@example.com,1994-01-17T07:20:40.976Z,27,2008-06-04T02:42:59.353Z,13,(044)-012-0192,(474)-777-6699,SSN,582-56-5807,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
female,Ms,Jill,Gardner,6034,Green Rd,Corona,Colorado,United States,75804,7.4711,-176.8072,-9:00,Alaska,jill.gardner@example.com,1967-02-16T14:54:03.378Z,54,2005-01-07T19:29:08.551Z,16,(128)-283-4029,(900)-560-6170,SSN,120-04-3983,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Jeffrey,Taylor,4877,Fairview St,Westminster,South Dakota,United States,42012,-26.2209,-41.2369,-3:30,Newfoundland,jeffrey.taylor@example.com,1997-11-02T00:48:13.787Z,24,2010-09-08T05:22:54.347Z,11,(685)-023-4049,(588)-141-9620,SSN,007-58-0334,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
male,Mr,Julio,Peters,899,Crockett St,San Francisco,Arkansas,United States,13352,-80.4404,92.8595,-8:00,Pacific Time (US & Canada),julio.peters@example.com,1959-05-27T19:41:04.860Z,62,2011-11-13T12:10:50.472Z,10,(157)-784-0188,(658)-521-6044,SSN,219-47-1407,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
female,Ms,Isobel,Baker,5271,White Oak Dr,Red Bluff,Iowa,United States,67158,-67.4521,-41.1062,-2:00,Mid-Atlantic,isobel.baker@example.com,1948-02-20T03:09:04.276Z,73,2015-01-30T00:16:46.786Z,6,(722)-811-7614,(961)-207-8477,SSN,942-94-9689,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
female,Ms,Marie,Evans,5104,W Dallas St,Boulder,Oklahoma,United States,88981,-6.2512,105.0381,-2:00,Mid-Atlantic,marie.evans@example.com,1979-03-23T16:34:57.374Z,42,2016-02-26T06:24:40.197Z,5,(447)-422-4093,(673)-391-3377,SSN,494-24-4019,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Mrs,Lorraine,Miller,264,Sunset St,Savannah,South Carolina,United States,75533,-35.5325,122.2914,+5:45,Kathmandu,lorraine.miller@example.com,1980-07-21T06:39:17.081Z,41,2010-01-14T15:39:43.858Z,11,(021)-267-7064,(064)-149-1283,SSN,073-74-7936,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Ms,Kaylee,Long,4233,W Dallas St,New Haven,North Dakota,United States,62332,58.8972,-124.1129,-10:00,Hawaii,kaylee.long@example.com,1954-02-10T18:11:15.346Z,67,2007-01-13T23:47:49.874Z,14,(049)-305-6959,(641)-056-6745,SSN,988-05-2235,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Mrs,Clara,Gonzales,7412,Karen Dr,Oxnard,Ohio,United States,19051,-66.4635,-71.7664,-8:00,Pacific Time (US & Canada),clara.gonzales@example.com,1985-06-23T21:44:08.617Z,36,2012-12-22T17:59:40.865Z,9,(313)-762-3327,(104)-032-7830,SSN,000-25-6805,https://randomuser.me/api/portraits/women/65.jpg,https://randomuser.me/api/portraits/med/women/65.jpg,https://randomuser.me/api/portraits/thumb/women/65.jpg,US
female,Ms,Courtney,Snyder,316,E Center St,Philadelphia,South Dakota,United States,60213,-72.4667,99.1711,-9:00,Alaska,courtney.snyder@example.com,1990-07-14T19:00:46.689Z,31,2002-04-19T03:42:37.890Z,19,(168)-468-7411,(154)-031-8043,SSN,292-02-5132,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
