gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Tanya,Foster,4183,Green Rd,Fountain Valley,Maryland,United States,62775,18.7020,-55.4637,-9:00,Alaska,tanya.foster@example.com,1996-05-28T19:38:50.035Z,25,2015-12-19T09:17:02.946Z,6,(283)-868-5729,(316)-333-6542,SSN,030-00-0782,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
female,Miss,Hailey,Wells,5306,First Street,Mcallen,Hawaii,United States,64438,87.1377,164.4206,-10:00,Hawaii,hailey.wells@example.com,1961-09-17T11:43:37.561Z,60,2010-02-15T03:26:38.409Z,11,(222)-415-6001,(448)-532-2704,SSN,154-06-3103,https://randomuser.me/api/portraits/women/64.jpg,https://randomuser.me/api/portraits/med/women/64.jpg,https://randomuser.me/api/portraits/thumb/women/64.jpg,US
female,Ms,Marilyn,Torres,4275,Homestead Rd,Philadelphia,Mississippi,United States,73758,-26.7435,144.8999,+3:30,Tehran,marilyn.torres@example.com,1961-07-29T13:11:30.361Z,60,2018-01-14T07:57:33.436Z,3,(254)-261-4319,(772)-084-1699,SSN,478-03-4314,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Jesus,Stephens,7488,James St,Rockford,Oregon,United States,25496,-29.0004,150.0067,+4:30,Kabul,jesus.stephens@example.com,1948-11-27T08:16:10.126Z,73,2009-09-27T15:42:21.841Z,12,(605)-670-9717,(401)-390-2712,SSN,153-21-1644,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Mrs,Isabella,Jacobs,7675,Saddle Dr,Jackson,Delaware,United States,41960,-1.5046,41.0550,+3:30,Tehran,isabella.jacobs@example.com,1972-10-06T03:36:23.390Z,49,2015-05-01T06:36:13.893Z,6,(528)-331-8732,(622)-210-3451,SSN,707-38-5354,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg,US
male,Mr,Jackson,Davis,7279,Hogan St,Cape Coral,North Carolina,United States,50136,-60.3758,50.8308,-8:00,Pacific Time (US & Canada),jackson.davis@example.com,1951-01-20T07:12:41.234Z,70,2013-02-16T10:01:54.661Z,8,(756)-078-8624,(201)-787-9358,SSN,152-02-8290,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
male,Mr,Joshua,Grant,3930,Marsh Ln,Minneapolis,Missouri,United States,72587,-29.9416,-176.7302,-2:00,Mid-Atlantic,joshua.grant@example.com,1955-09-21T08:34:09.632Z,66,2010-10-15T19:17:43.967Z,11,(307)-089-5725,(504)-478-6101,SSN,316-24-4805,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Carter,Jenkins,967,Oak Ridge Ln,Pearland,South Dakota,United States,90261,84.3285,106.9329,-3:30,Newfoundland,carter.jenkins@example.com,1956-07-24T12:59:08.142Z,65,2011-11-10T19:06:53.677Z,10,(452)-852-0755,(783)-404-4804,SSN,782-44-3471,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Tracy,Williamson,5022,Royal Ln,Steilacoom,Washington,United States,42104,9.1393,152.2073,-10:00,Hawaii,tracy.williamson@example.com,1982-01-30T08:47:49.214Z,39,2012-11-12T01:35:11.964Z,9,(296)-158-0655,(356)-517-8309,SSN,363-85-1753,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
male,Mr,Duane,Moreno,110,Hillcrest Rd,Killeen,Washington,United States,89448,69.0065,-11.7922,+3:30,Tehran,duane.moreno@example.com,1989-03-17T18:39:09.444Z,32,2003-10-29T04:24:33.847Z,18,(188)-374-6034,(483)-504-2176,SSN,446-36-9556,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
