gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Kathy,Long,1155,Brown Terrace,Downey,Massachusetts,United States,47513,-72.1590,-16.4212,-7:00,Mountain Time (US & Canada),kathy.long@example.com,1991-06-12T15:14:25.858Z,30,2015-05-31T19:21:46.097Z,6,(439)-781-7168,(718)-862-9380,SSN,404-09-7457,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
male,Mr,Rene,Meyer,1687,Daisy Dr,Ironville,Mississippi,United States,30002,-36.3102,99.6333,-9:00,Alaska,rene.meyer@example.com,1962-05-03T16:42:34.591Z,59,2016-12-11T05:37:46.564Z,5,(036)-222-0847,(297)-653-7951,SSN,467-24-0399,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
male,Mr,Francisco,Jenkins,6499,Thornridge Cir,Bridgeport,Wisconsin,United States,28277,65.2330,-156.8950,+5:45,Kathmandu,francisco.jenkins@example.com,1988-02-21T23:10:10.819Z,33,2012-05-10T09:55:24.603Z,9,(526)-769-5665,(339)-473-8868,SSN,539-61-1504,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
male,Mr,Samuel,Matthews,7543,Northaven Rd,Medford,Minnesota,United States,32753,1.1371,-69.8894,-10:00,Hawaii,samuel.matthews@example.com,1971-12-26T12:27:09.108Z,50,2012-03-26T18:04:29.082Z,9,(688)-434-9047,(828)-432-5316,SSN,041-42-2753,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
male,Mr,Jesse,Olson,87,Daisy Dr,Richardson,Georgia,United States,90385,-65.4061,112.5622,-8:00,Pacific Time (US & Canada),jesse.olson@example.com,1952-07-11T04:34:23.986Z,69,2008-10-18T09:22:40.051Z,13,(811)-794-7959,(126)-838-1662,SSN,972-70-6875,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
male,Mr,Christian,Gregory,2187,Central St,Desoto,Kansas,United States,19118,64.8073,21.6800,-9:00,Alaska,christian.gregory@example.com,1951-01-22T07:30:16.064Z,70,2010-08-03T23:43:26.313Z,11,(247)-028-6737,(966)-991-0369,SSN,943-29-0640,https://randomuser.me/api/portraits/men/31.jpg,https://randomuser.me/api/portraits/med/men/31.jpg,https://randomuser.me/api/portraits/thumb/men/31.jpg,US
female,Mrs,Zoe,Holmes,802,Bruce St,Grapevine,California,United States,82501,23.2467,-178.4497,+4:30,Kabul,zoe.holmes@example.com,1978-06-19T09:00:41.149Z,43,2004-04-17T00:12:12.431Z,17,(346)-845-9791,(313)-319-5218,SSN,197-79-1955,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg,US
male,Mr,Clifton,Gonzalez,1635,Green Rd,Daly City,Ohio,United States,64835,68.3800,-136.5592,-8:00,Pacific Time (US & Canada),clifton.gonzalez@example.com,1996-05-21T18:15:30.996Z,25,2004-10-12T10:27:40.883Z,17,(848)-835-0370,(318)-290-9432,SSN,766-52-5827,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Mrs,Jeanette,Washington,2132,Daisy Dr,Odessa,Alabama,United States,34126,-52.5939,-25.4807,+4:30,Kabul,jeanette.washington@example.com,1978-02-17T22:43:13.715Z,43,2002-04-15T17:03:21.359Z,19,(920)-504-0041,(546)-595-7862,SSN,502-74-1249,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
male,Mr,Terrence,Williams,6315,W Belt Line Rd,Jackson,Colorado,United States,36218,-51.2974,155.6223,-7:00,Mountain Time (US & Canada),terrence.williams@example.com,1963-06-17T04:57:36.812Z,58,2014-11-24T13:20:17.172Z,7,(225)-936-5320,(280)-213-2098,SSN,674-55-7534,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
