gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Stephen,Day,745,Fincher Rd,Everett,Tennessee,United States,35518,-59.1353,139.0766,-10:00,Hawaii,stephen.day@example.com,1994-10-14T00:14:16.234Z,27,2010-07-01T00:53:47.224Z,11,(892)-469-7780,(757)-427-7084,SSN,674-21-4814,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Aiden,Silva,1626,Eason Rd,Tacoma,Idaho,United States,42506,88.2656,-103.9964,-2:00,Mid-Atlantic,aiden.silva@example.com,1988-12-22T11:47:37.666Z,33,2013-05-24T20:36:31.818Z,8,(679)-184-3267,(257)-574-2343,SSN,555-17-6755,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
male,Mr,George,Watts,5341,Northaven Rd,Lubbock,New Hampshire,United States,95802,40.6360,165.5320,+4:30,Kabul,george.watts@example.com,1988-03-08T15:31:35.568Z,33,2019-04-18T18:00:00.941Z,2,(722)-380-7281,(251)-273-8543,SSN,067-65-3739,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
female,Ms,Erin,West,5981,Valwood Pkwy,Ventura,South Dakota,United States,72157,-68.3279,82.5595,-7:00,Mountain Time (US & Canada),erin.west@example.com,1984-10-12T09:39:25.617Z,37,2011-01-30T03:55:54.110Z,10,(578)-687-1582,(599)-914-1160,SSN,263-98-5598,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Jim,Kuhn,9572,Dane St,Grand Prairie,California,United States,83541,27.0831,-138.2642,-10:00,Hawaii,jim.kuhn@example.com,1987-11-02T15:56:36.720Z,34,2002-08-09T12:47:43.406Z,19,(631)-328-8914,(342)-621-8321,SSN,723-41-0259,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
male,Mr,Lawrence,Lynch,8877,Walnut Hill Ln,Altoona,Kentucky,United States,25677,66.0195,-63.6034,+5:45,Kathmandu,lawrence.lynch@example.com,1998-06-26T15:58:10.237Z,23,2005-02-20T22:29:39.001Z,16,(670)-776-2014,(036)-265-0384,SSN,436-64-8175,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
male,Mr,Enrique,Johnson,245,Ranchview Dr,Palm Bay,Arkansas,United States,30968,-14.4554,120.4722,-9:00,Alaska,enrique.johnson@example.com,1969-01-22T01:00:22.213Z,52,2011-10-04T06:37:52.689Z,10,(818)-966-6837,(929)-516-6055,SSN,722-21-9045,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
female,Miss,Sandra,Wagner,2822,Smokey Ln,Surprise,Rhode Island,United States,75688,65.9974,-28.0002,-8:00,Pacific Time (US & Canada),sandra.wagner@example.com,1983-07-03T23:02:45.174Z,38,2017-05-04T00:33:16.307Z,4,(870)-237-3877,(047)-919-6595,SSN,942-96-0911,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
female,Ms,Terry,Jenkins,6392,Plum St,Albuquerque,Arkansas,United States,11854,-11.0134,-108.3002,-10:00,Hawaii,terry.jenkins@example.com,1946-09-23T11:29:00.158Z,75,2018-10-29T00:51:31.263Z,3,(426)-476-4995,(973)-815-0640,SSN,476-72-7531,https://randomuser.me/api/portraits/women/66.jpg,https://randomuser.me/api/portraits/med/women/66.jpg,https://randomuser.me/api/portraits/thumb/women/66.jpg,US
female,Mrs,Nora,Jacobs,3205,Groveland Terrace,Green Bay,Minnesota,United States,69490,-39.8330,142.2252,-3:30,Newfoundland,nora.jacobs@example.com,1966-03-06T12:02:03.229Z,55,2012-06-13T16:00:24.968Z,9,(929)-113-8428,(692)-306-5636,SSN,166-72-7009,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
