gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Leta,Roberts,6673,Forest Ln,Athens,Mississippi,United States,86669,72.0148,-14.5293,-7:00,Mountain Time (US & Canada),leta.roberts@example.com,1996-05-24T04:35:53.163Z,25,2007-09-01T07:36:17.617Z,14,(593)-249-0331,(598)-595-5278,SSN,033-04-9835,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Jar,Bates,374,Taylor St,Arlington,Michigan,United States,98970,41.6542,132.6409,+3:30,Tehran,jar.bates@example.com,1961-12-30T19:28:06.488Z,60,2009-01-27T23:43:15.076Z,12,(030)-925-3410,(700)-643-2689,SSN,635-85-1869,https://randomuser.me/api/portraits/men/8.jpg,https://randomuser.me/api/portraits/med/men/8.jpg,https://randomuser.me/api/portraits/thumb/men/8.jpg,US
female,Mrs,Emily,Porter,2880,Spring Hill Rd,Corpus Christi,Hawaii,United States,90048,6.5957,58.4014,-7:00,Mountain Time (US & Canada),emily.porter@example.com,1996-02-16T11:24:02.902Z,25,2004-06-30T04:14:03.361Z,17,(392)-336-4089,(075)-904-9945,SSN,539-57-8629,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
female,Mrs,Louella,Wells,8422,Prospect Rd,Palm Bay,West Virginia,United States,29437,68.0258,-166.5623,-8:00,Pacific Time (US & Canada),louella.wells@example.com,1993-01-06T03:27:42.030Z,28,2011-05-19T03:48:11.881Z,10,(696)-306-4223,(653)-886-0946,SSN,292-40-5210,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
male,Mr,Adrian,Hunter,6193,Poplar Dr,Naperville,Maine,United States,77043,10.5408,-69.3596,+4:30,Kabul,adrian.hunter@example.com,1951-06-29T05:59:38.825Z,70,2003-08-06T13:49:48.947Z,18,(003)-160-4659,(125)-487-2105,SSN,776-90-2838,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Ms,Jeanne,Carpenter,3241,Royal Ln,Altoona,Kentucky,United States,83959,-6.0220,141.2624,+4:30,Kabul,jeanne.carpenter@example.com,1977-04-03T06:54:46.933Z,44,2002-07-11T12:27:18.226Z,19,(408)-892-0498,(080)-539-0288,SSN,850-37-2714,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Violet,Roberts,4617,White Oak Dr,Naperville,Colorado,United States,74236,-48.2598,113.8380,-10:00,Hawaii,violet.roberts@example.com,1949-04-10T17:19:00.606Z,72,2003-02-25T11:07:27.271Z,18,(817)-105-3053,(948)-920-9852,SSN,277-77-5342,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
male,Mr,Manuel,Dunn,6410,Green Rd,Clearwater,Oregon,United States,31547,-14.6087,0.2355,-7:00,Mountain Time (US & Canada),manuel.dunn@example.com,1957-06-22T01:58:32.439Z,64,2008-06-28T01:28:37.584Z,13,(269)-710-8950,(472)-360-7141,SSN,126-19-1397,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
male,Mr,Micheal,Montgomery,2130,E Little York Rd,Sacramento,Nebraska,United States,16461,-68.3426,-93.1954,-7:00,Mountain Time (US & Canada),micheal.montgomery@example.com,1966-04-04T10:00:12.181Z,55,2008-08-29T00:34:20.239Z,13,(229)-017-9764,(664)-116-6869,SSN,655-36-5908,https://randomuser.me/api/portraits/men/37.jpg,https://randomuser.me/api/portraits/med/men/37.jpg,https://randomuser.me/api/portraits/thumb/men/37.jpg,US
female,Mrs,Aubree,Fleming,16,Rolling Green Rd,Carlsbad,Maine,United States,64535,-40.6470,117.0475,+3:30,Tehran,aubree.fleming@example.com,1987-05-09T13:32:49.643Z,34,2002-10-22T12:26:30.476Z,19,(227)-754-2072,(596)-505-4936,SSN,025-94-8224,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
