gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Hector,Snyder,2355,White Oak Dr,Waco,Connecticut,United States,30782,47.0235,119.6859,+3:30,Tehran,hector.snyder@example.com,1976-12-22T19:57:10.911Z,45,2008-03-14T21:04:30.858Z,13,(215)-150-9666,(675)-012-3808,SSN,101-36-0186,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Enrique,Smith,2497,W Pecan St,Lincoln,Minnesota,United States,29309,11.8829,-69.9985,-10:00,Hawaii,enrique.smith@example.com,1983-10-10T12:21:24.838Z,38,2011-10-01T21:25:30.137Z,10,(268)-655-0623,(329)-803-0329,SSN,257-03-2941,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
male,Mr,Victor,Riley,5891,E Little York Rd,Altoona,Illinois,United States,53201,-40.4926,24.4333,-8:00,Pacific Time (US & Canada),victor.riley@example.com,1952-12-17T04:29:46.673Z,69,2014-08-27T08:28:35.620Z,7,(014)-874-4749,(000)-770-0339,SSN,132-22-0619,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
male,Mr,Ray,Russell,7868,W 6th St,South Bend,Idaho,United States,15121,0.8862,91.4436,-3:30,Newfoundland,ray.russell@example.com,1986-04-11T07:05:55.349Z,35,2007-03-02T02:00:22.631Z,14,(975)-027-2075,(626)-270-3535,SSN,364-86-5136,https://randomuser.me/api/portraits/men/1.jpg,https://randomuser.me/api/portraits/med/men/1.jpg,https://randomuser.me/api/portraits/thumb/men/1.jpg,US
male,Mr,Howard,Johnson,3436,Forest Ln,Pembroke Pines,Arizona,United States,34600,-66.5248,-15.7287,-3:30,Newfoundland,howard.johnson@example.com,1958-04-01T13:32:55.276Z,63,2009-02-04T23:28:53.171Z,12,(994)-157-3191,(585)-875-9086,SSN,490-65-0487,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Leonard,Johnson,8658,Forest Ln,Huntsville,Michigan,United States,80498,50.6242,-87.3372,+5:45,Kathmandu,leonard.johnson@example.com,1972-07-13T05:03:30.852Z,49,2004-01-23T21:42:50.069Z,17,(553)-837-7452,(015)-936-6394,SSN,340-66-4427,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg,US
male,Mr,Julian,Carr,1376,Camden Ave,Sacramento,Vermont,United States,57725,77.1780,22.2952,-8:00,Pacific Time (US & Canada),julian.carr@example.com,1979-03-17T08:16:34.733Z,42,2018-02-24T21:26:23.729Z,3,(311)-712-0807,(489)-479-7404,SSN,359-00-3290,https://randomuser.me/api/portraits/men/36.jpg,https://randomuser.me/api/portraits/med/men/36.jpg,https://randomuser.me/api/portraits/thumb/men/36.jpg,US
male,Mr,Julio,Fowler,1150,Brown Terrace,High Point,North Carolina,United States,29968,-39.9585,-86.9625,-8:00,Pacific Time (US & Canada),julio.fowler@example.com,1974-09-03T08:59:24.496Z,47,2013-08-03T06:09:42.992Z,8,(726)-824-3628,(801)-380-0895,SSN,741-08-5000,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
female,Mrs,Darlene,Snyder,5703,Country Club Rd,Philadelphia,Utah,United States,33924,-64.9288,178.9072,-8:00,Pacific Time (US & Canada),darlene.snyder@example.com,1983-12-07T04:44:58.243Z,38,2005-09-04T15:31:51.452Z,16,(507)-700-8333,(242)-649-4198,SSN,247-06-3689,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
male,Mr,Bradley,Mitchelle,79,Railroad St,Flint,Missouri,United States,56029,34.0829,123.2046,-9:00,Alaska,bradley.mitchelle@example.com,1996-11-19T10:44:41.976Z,25,2015-07-14T19:51:21.881Z,6,(126)-067-6083,(710)-070-9260,SSN,429-55-7004,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
