gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Daisy,Griffin,129,Wheeler Ridge Dr,Pueblo,Utah,United States,72737,25.7896,127.0691,-8:00,Pacific Time (US & Canada),daisy.griffin@example.com,1953-06-27T19:03:05.251Z,68,2011-02-02T00:27:01.365Z,10,(205)-189-1962,(096)-203-5561,SSN,525-41-4754,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Alfredo,Wood,4336,Lakeshore Rd,Fargo,Tennessee,United States,12353,34.7949,-58.0846,-10:00,Hawaii,alfredo.wood@example.com,1980-12-27T18:27:23.402Z,41,2007-08-01T09:20:55.953Z,14,(138)-239-2804,(126)-706-0313,SSN,219-20-9525,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
female,Ms,Katie,Mason,3761,Parker Rd,Providence,Washington,United States,87832,73.7991,104.4718,-8:00,Pacific Time (US & Canada),katie.mason@example.com,1988-05-12T12:40:03.540Z,33,2007-07-23T15:12:43.639Z,14,(989)-676-8834,(065)-359-0119,SSN,856-07-8617,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
female,Ms,Jennifer,Mason,5100,Mockingbird Hill,Rio Rancho,Idaho,United States,22593,-54.3212,-66.7575,-9:00,Alaska,jennifer.mason@example.com,1995-05-20T08:55:19.915Z,26,2006-02-10T18:14:48.747Z,15,(266)-173-2947,(004)-939-5925,SSN,052-94-4589,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
male,Mr,Jessie,Fletcher,8508,Marsh Ln,Jersey City,Minnesota,United States,33366,-48.3983,-149.5080,-2:00,Mid-Atlantic,jessie.fletcher@example.com,1960-04-21T04:52:43.906Z,61,2006-05-18T02:43:14.533Z,15,(206)-085-6078,(456)-896-3011,SSN,981-70-1302,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
female,Miss,Caroline,West,8106,White Oak Dr,Charleston,Delaware,United States,67541,3.4778,-50.7924,+4:30,Kabul,caroline.west@example.com,1946-08-05T02:40:36.883Z,75,2009-07-15T18:55:02.896Z,12,(151)-406-0504,(139)-298-0755,SSN,513-65-4125,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Mrs,Gertrude,Boyd,314,W Belt Line Rd,Philadelphia,Illinois,United States,62867,-17.6829,-20.8331,-9:00,Alaska,gertrude.boyd@example.com,1956-06-24T12:15:25.048Z,65,2005-11-10T08:01:37.396Z,16,(850)-615-1987,(905)-574-3214,SSN,965-00-2159,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Ms,Victoria,Mitchelle,4790,Green Rd,Aurora,Kentucky,United States,33485,-19.3824,-24.5183,-2:00,Mid-Atlantic,victoria.mitchelle@example.com,1969-11-19T01:50:06.277Z,52,2010-11-04T16:57:54.928Z,11,(074)-675-5481,(531)-580-4488,SSN,094-95-5931,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Hector,Ramos,186,Parker Rd,Lincoln,Utah,United States,13987,71.2889,160.5165,+5:45,Kathmandu,hector.ramos@example.com,1972-05-08T18:09:17.721Z,49,2011-10-16T09:02:39.400Z,10,(136)-849-9202,(910)-759-1762,SSN,084-90-3010,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Ms,Charlotte,Armstrong,4507,Walnut Hill Ln,Milwaukee,Kansas,United States,36927,22.8138,-115.5107,+4:30,Kabul,charlotte.armstrong@example.com,1971-06-20T07:21:23.683Z,50,2004-05-19T23:32:20.761Z,17,(189)-804-6646,(013)-574-8412,SSN,617-11-3584,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
