gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Rosa,Stephens,7988,W Gray St,Bueblo,Wyoming,United States,59679,32.2768,-31.6922,-7:00,Mountain Time (US & Canada),rosa.stephens@example.com,1990-03-06T17:48:40.634Z,31,2011-03-08T06:36:47.959Z,10,(641)-641-3254,(397)-089-8289,SSN,085-86-2461,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Gilbert,Lane,6464,Lakeshore Rd,Belen,Iowa,United States,32879,23.5101,-73.1156,-10:00,Hawaii,gilbert.lane@example.com,1997-02-07T03:41:14.552Z,24,2003-01-24T14:38:33.134Z,18,(082)-777-1665,(329)-765-9873,SSN,707-28-7187,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
male,Mr,Erik,Jackson,8307,Green Rd,Plano,Mississippi,United States,16613,88.6905,-155.8976,+5:45,Kathmandu,erik.jackson@example.com,1997-03-25T00:02:29.599Z,24,2016-08-26T05:17:14.397Z,5,(746)-714-1840,(371)-729-2267,SSN,041-20-3565,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
male,Mr,Lance,Martin,7875,Nowlin Rd,Colorado Springs,Connecticut,United States,54862,-8.9274,-15.4735,+5:45,Kathmandu,lance.martin@example.com,1979-02-06T01:51:13.889Z,42,2007-10-17T19:38:28.924Z,14,(480)-447-8799,(668)-972-6532,SSN,805-72-7713,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Mrs,Evelyn,Carlson,9971,Parker Rd,Duncanville,North Carolina,United States,70985,-48.1853,99.7365,-3:30,Newfoundland,evelyn.carlson@example.com,1960-05-11T10:33:46.718Z,61,2006-07-02T16:54:40.672Z,15,(053)-506-3942,(016)-368-1621,SSN,307-95-9486,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
male,Mr,Jorge,White,541,W Campbell Ave,Rancho Cucamonga,Connecticut,United States,99154,14.9097,-65.4120,-3:30,Newfoundland,jorge.white@example.com,1959-11-21T04:24:19.195Z,62,2006-12-31T03:17:52.732Z,15,(189)-270-9993,(697)-175-9170,SSN,126-65-2415,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Jimmy,Perry,1771,Spring St,Escondido,Oregon,United States,65006,8.8893,78.9704,+3:30,Tehran,jimmy.perry@example.com,1949-03-24T21:49:50.929Z,72,2009-05-03T22:22:19.204Z,12,(619)-453-0564,(980)-323-4901,SSN,317-34-8394,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
female,Miss,Elizabeth,White,7314,Saddle Dr,Edgewood,Wyoming,United States,21816,82.9718,-118.1976,-10:00,Hawaii,elizabeth.white@example.com,1974-02-03T20:07:31.010Z,47,2008-03-29T03:06:54.345Z,13,(415)-248-5531,(069)-798-3660,SSN,213-18-4593,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
male,Mr,Travis,Foster,9406,Sunset St,Grants Pass,New Jersey,United States,43442,84.7780,-118.3775,-7:00,Mountain Time (US & Canada),travis.foster@example.com,1990-04-09T07:09:46.471Z,31,2012-06-21T15:39:15.729Z,9,(141)-247-9550,(242)-272-3457,SSN,002-08-4874,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
male,Mr,Billy,Crawford,5282,Hogan St,Allen,Illinois,United States,72314,-29.3966,94.6590,-2:00,Mid-Atlantic,billy.crawford@example.com,1993-06-27T22:18:31.139Z,28,2004-12-17T21:29:30.573Z,17,(147)-937-3031,(538)-279-3205,SSN,552-39-8170,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,US
