gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Sheila,Rose,2015,W Sherman Dr,Peoria,West Virginia,United States,40995,-10.8907,-84.2056,+4:30,Kabul,sheila.rose@example.com,1971-11-06T08:21:32.813Z,50,2005-04-10T21:23:00.768Z,16,(364)-400-6789,(593)-212-4253,SSN,748-01-3079,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Mrs,Heather,Shaw,7413,Dane St,Stockton,New Hampshire,United States,44431,20.7915,147.0396,+5:45,Kathmandu,heather.shaw@example.com,1978-01-26T08:23:13.863Z,43,2007-08-26T19:41:21.528Z,14,(591)-012-7165,(967)-141-9744,SSN,832-08-2272,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Mrs,Jacqueline,Lawson,1554,First Street,Red Oak,North Dakota,United States,97377,89.6735,-65.0684,-9:00,Alaska,jacqueline.lawson@example.com,1985-03-06T03:25:21.163Z,36,2008-09-11T06:42:25.842Z,13,(204)-345-6949,(060)-114-0999,SSN,964-51-8953,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
female,Miss,Shannon,Ross,4859,Royal Ln,San Antonio,Wisconsin,United States,77018,-82.3906,-91.4163,+4:30,Kabul,shannon.ross@example.com,1968-08-28T19:22:07.927Z,53,2008-01-30T04:13:21.321Z,13,(354)-949-1175,(162)-017-2800,SSN,945-84-5576,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
male,Mr,Felix,Dixon,7746,N Stelling Rd,Red Oak,Texas,United States,93350,-13.7812,-35.4517,-7:00,Mountain Time (US & Canada),felix.dixon@example.com,1946-09-10T23:33:00.374Z,75,2012-03-11T18:17:12.501Z,9,(999)-172-4155,(353)-103-9789,SSN,661-70-8938,https://randomuser.me/api/portraits/men/69.jpg,https://randomuser.me/api/portraits/med/men/69.jpg,https://randomuser.me/api/portraits/thumb/men/69.jpg,US
female,Ms,Stephanie,Diaz,6553,Harrison Ct,Murfreesboro,Indiana,United States,13610,7.9022,-4.0572,-10:00,Hawaii,stephanie.diaz@example.com,1983-01-21T06:45:08.889Z,38,2018-05-06T11:39:18.502Z,3,(038)-501-5282,(128)-579-2823,SSN,377-09-3811,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
male,Mr,Isaiah,Wallace,2637,Westheimer Rd,Modesto,Rhode Island,United States,57647,37.9974,100.3408,-3:30,Newfoundland,isaiah.wallace@example.com,1983-09-14T19:52:05.596Z,38,2004-06-19T11:51:57.114Z,17,(478)-082-5109,(503)-857-3101,SSN,970-36-8257,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Ms,Leah,Marshall,9375,Samaritan Dr,Sunnyvale,New Mexico,United States,67142,-79.0636,-125.3024,-2:00,Mid-Atlantic,leah.marshall@example.com,1976-12-08T14:23:47.689Z,45,2014-05-21T12:21:52.195Z,7,(278)-959-1492,(992)-396-8950,SSN,008-81-5984,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Mrs,Arianna,Mason,8871,Harrison Ct,Sioux Falls,New York,United States,99752,32.8822,54.0239,-2:00,Mid-Atlantic,arianna.mason@example.com,1990-09-17T07:04:42.029Z,31,2014-11-20T06:55:15.707Z,7,(548)-852-7222,(562)-595-5521,SSN,774-33-9147,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Alfred,Gardner,1319,E North St,Miami Gardens,Washington,United States,18233,-26.5861,154.6900,-10:00,Hawaii,alfred.gardner@example.com,1953-10-24T00:54:53.014Z,68,2017-05-31T01:43:39.354Z,4,(804)-736-0339,(961)-462-3599,SSN,733-94-0392,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Miss,Ava,Fletcher,2701,Wycliff Ave,Anna,Iowa,United States,85987,8.0507,-41.0252,-2:00,Mid-Atlantic,ava.fletcher@example.com,1951-10-28T10:40:05.701Z,70,2007-06-17T10:12:43.197Z,14,(071)-802-5167,(091)-011-2961,SSN,863-21-7971,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
female,Mrs,Joyce,Freeman,6776,Smokey Ln,Lewiston,Colorado,United States,13082,17.4293,70.0812,-8:00,Pacific Time (US & Canada),joyce.freeman@example.com,1988-05-04T04:39:12.751Z,33,2007-03-18T18:54:16.012Z,14,(629)-785-0306,(874)-762-2534,SSN,024-87-5402,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Louis,James,4006,Smokey Ln,Chesapeake,Wisconsin,United States,79735,62.6230,-155.6253,-7:00,Mountain Time (US & Canada),louis.james@example.com,1985-05-28T04:29:42.341Z,36,2016-08-01T18:40:18.575Z,5,(500)-610-6074,(147)-207-7997,SSN,341-02-9102,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Mrs,Darlene,Gregory,657,Hunters Creek Dr,Santa Rosa,Massachusetts,United States,73287,-41.9753,-73.6048,-2:00,Mid-Atlantic,darlene.gregory@example.com,1998-01-09T17:37:43.793Z,23,2006-04-03T04:28:48.150Z,15,(522)-459-0576,(929)-174-5190,SSN,381-83-9977,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
