gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Sherri,Chapman,9492,Mcclellan Rd,Lancaster,Georgia,United States,88149,29.7172,59.5831,-2:00,Mid-Atlantic,sherri.chapman@example.com,1989-06-05T08:53:16.037Z,32,2002-05-22T02:52:55.231Z,19,(709)-457-3076,(091)-328-7857,SSN,803-36-0423,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
male,Mr,Bernard,Garrett,6188,Nowlin Rd,Sunnyvale,Massachusetts,United States,38590,-76.4053,95.9846,-9:00,Alaska,bernard.garrett@example.com,1976-01-26T15:15:12.865Z,45,2008-11-09T10:41:07.042Z,13,(401)-826-4057,(300)-629-9843,SSN,955-24-0647,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Miss,Elsie,Butler,1400,Oak Ridge Ln,Dayton,Minnesota,United States,84818,-25.1687,22.7019,-2:00,Mid-Atlantic,elsie.butler@example.com,1966-08-08T14:02:14.772Z,55,2013-12-23T04:41:25.085Z,8,(930)-252-4165,(998)-951-5543,SSN,021-87-0931,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Miss,Olivia,Snyder,8343,Camden Ave,Albuquerque,Illinois,United States,63337,-21.7605,-152.9620,-8:00,Pacific Time (US & Canada),olivia.snyder@example.com,1958-09-01T04:01:09.805Z,63,2016-10-19T17:56:57.045Z,5,(355)-226-9706,(785)-809-7948,SSN,675-18-9445,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
female,Miss,Dawn,Harris,4358,First Street,Colorado Springs,Pennsylvania,United States,19569,31.9491,-117.6107,-2:00,Mid-Atlantic,dawn.harris@example.com,1980-02-29T19:59:08.318Z,41,2009-09-20T17:30:43.592Z,12,(243)-223-3851,(548)-263-1309,SSN,929-82-1852,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Lucas,Sutton,9498,Forest Ln,Los Lunas,Utah,United States,27568,-63.9506,-134.1877,+5:45,Kathmandu,lucas.sutton@example.com,1968-04-30T14:47:43.310Z,53,2011-11-20T14:36:37.705Z,10,(022)-880-9513,(996)-868-2166,SSN,773-50-6990,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Miss,Marjorie,Gordon,7785,Ranchview Dr,Clarksville,Washington,United States,77896,-28.5319,25.8464,+3:30,Tehran,marjorie.gordon@example.com,1984-01-25T19:58:46.117Z,37,2016-01-23T16:52:11.627Z,5,(061)-537-3304,(485)-500-8128,SSN,955-79-4944,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Ms,Ellen,Lewis,5152,Lone Wolf Trail,Escondido,Idaho,United States,36818,-25.2328,28.0300,-8:00,Pacific Time (US & Canada),ellen.lewis@example.com,1967-12-14T19:27:21.434Z,54,2007-11-30T00:18:31.331Z,14,(737)-949-2455,(529)-196-9072,SSN,605-59-5746,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Ms,Audrey,Webb,9258,Ash Dr,Downey,Oklahoma,United States,81847,-15.3550,-13.3612,+5:45,Kathmandu,audrey.webb@example.com,1951-08-28T18:01:49.430Z,70,2014-06-18T01:51:17.692Z,7,(470)-130-6668,(837)-042-4587,SSN,141-51-6885,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Ken,Howell,4575,Prospect Rd,Richardson,Maine,United States,48451,31.6087,-123.6222,-3:30,Newfoundland,ken.howell@example.com,1963-11-12T18:50:00.741Z,58,2009-09-20T17:00:22.233Z,12,(520)-465-1292,(441)-261-0072,SSN,635-18-7809,https://randomuser.me/api/portraits/men/62.jpg,https://randomuser.me/api/portraits/med/men/62.jpg,https://randomuser.me/api/portraits/thumb/men/62.jpg,US
