gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Dan,Kuhn,7235,Spring St,Ennis,Utah,United States,64843,-9.4945,53.2275,-9:00,Alaska,dan.kuhn@example.com,1953-02-24T03:23:13.022Z,68,2017-02-26T16:52:25.650Z,4,(315)-700-2537,(723)-634-2512,SSN,461-82-4174,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
male,Mr,Bobby,Long,3754,N Stelling Rd,Providence,Delaware,United States,29498,50.3177,105.6454,-10:00,Hawaii,bobby.long@example.com,1993-10-15T22:57:53.026Z,28,2016-09-19T20:14:05.792Z,5,(886)-954-7626,(701)-891-2724,SSN,536-88-1348,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Phillip,Hall,6321,Prospect Rd,Mcallen,Massachusetts,United States,21287,5.6384,-145.3726,-10:00,Hawaii,phillip.hall@example.com,1963-01-14T16:58:12.474Z,58,2006-04-13T17:06:59.306Z,15,(821)-159-6199,(183)-265-9868,SSN,968-56-5486,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Ms,Lynn,Stone,1734,Thornridge Cir,Lakeland,South Dakota,United States,77969,-82.5568,-117.8325,-3:30,Newfoundland,lynn.stone@example.com,1989-09-20T16:50:16.262Z,32,2002-07-03T00:29:09.699Z,19,(980)-151-2713,(321)-839-1115,SSN,394-31-4583,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Lonnie,Myers,7893,Oak Ridge Ln,Great Falls,Delaware,United States,62792,-24.9503,-25.3240,+5:45,Kathmandu,lonnie.myers@example.com,1949-01-31T07:29:21.585Z,72,2019-03-09T12:46:51.185Z,2,(244)-964-1478,(634)-865-6198,SSN,558-52-6596,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Mrs,Ethel,Morales,9587,Fairview St,Coral Springs,Idaho,United States,35875,52.3255,128.9503,-9:00,Alaska,ethel.morales@example.com,1948-01-05T05:26:40.809Z,73,2016-10-29T23:08:21.599Z,5,(489)-596-4472,(643)-558-7601,SSN,945-83-8071,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Bob,Spencer,2727,Central St,Thousand Oaks,Alaska,United States,99375,-50.1593,148.2585,-7:00,Mountain Time (US & Canada),bob.spencer@example.com,1981-09-13T11:07:27.098Z,40,2017-06-02T15:49:45.013Z,4,(173)-702-4442,(346)-678-8700,SSN,431-79-6009,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
female,Ms,Peggy,Watts,2153,Pecan Acres Ln,Toledo,Georgia,United States,19728,-66.3830,-34.8475,-8:00,Pacific Time (US & Canada),peggy.watts@example.com,1970-03-21T12:25:48.142Z,51,2009-03-07T14:07:57.707Z,12,(072)-682-5145,(907)-967-3333,SSN,242-50-3074,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
female,Ms,Kaylee,Fisher,7075,First Street,Montgomery,North Carolina,United States,86403,-31.4823,39.6137,-7:00,Mountain Time (US & Canada),kaylee.fisher@example.com,1987-10-19T12:32:19.326Z,34,2004-12-28T18:17:59.392Z,17,(161)-975-3566,(711)-286-7380,SSN,231-67-8439,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
female,Mrs,Jacqueline,Ryan,7662,Shady Ln Dr,Arlington,Kansas,United States,25752,-40.0682,101.6206,-2:00,Mid-Atlantic,jacqueline.ryan@example.com,1976-06-06T14:00:18.583Z,45,2011-01-01T00:56:06.415Z,11,(029)-051-8007,(756)-016-5806,SSN,248-88-2751,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
male,Mr,Marvin,Wallace,2576,W Dallas St,Santa Clara,Kentucky,United States,44117,-82.4191,-12.6627,-2:00,Mid-Atlantic,marvin.wallace@example.com,1952-09-29T10:57:42.125Z,69,2006-02-14T07:11:42.393Z,15,(185)-482-0485,(386)-292-1548,SSN,873-04-8993,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
