gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ramon,Sutton,452,Crockett St,Seymour,Maine,United States,67583,-1.9811,-1.9516,-7:00,Mountain Time (US & Canada),ramon.sutton@example.com,1997-02-06T17:49:08.758Z,24,2006-11-23T15:11:50.117Z,15,(113)-034-3389,(192)-714-9649,SSN,177-88-9511,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
male,Mr,Ricky,Terry,6688,White Oak Dr,Worcester,Texas,United States,40698,-88.3906,11.6656,-10:00,Hawaii,ricky.terry@example.com,1968-03-15T11:00:18.709Z,53,2017-09-07T16:51:06.918Z,4,(907)-668-8087,(730)-856-7393,SSN,021-28-4006,https://randomuser.me/api/portraits/men/56.jpg,https://randomuser.me/api/portraits/med/men/56.jpg,https://randomuser.me/api/portraits/thumb/men/56.jpg,US
female,Miss,Beatrice,Byrd,3654,Blossom Hill Rd,Little Rock,Maryland,United States,59657,-22.4064,-148.6741,-8:00,Pacific Time (US & Canada),beatrice.byrd@example.com,1963-11-30T11:28:31.701Z,58,2009-11-09T22:27:48.547Z,12,(476)-620-3963,(021)-660-2906,SSN,109-25-4002,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
male,Mr,Connor,Ellis,7946,E North St,Coral Springs,Vermont,United States,30088,-48.7854,19.5178,-3:30,Newfoundland,connor.ellis@example.com,1980-05-30T19:35:27.286Z,41,2006-04-04T08:47:43.458Z,15,(724)-481-5951,(105)-199-8027,SSN,489-72-2332,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
male,Mr,Alex,Caldwell,2515,Prospect Rd,Mckinney,California,United States,53224,19.3857,20.8432,-7:00,Mountain Time (US & Canada),alex.caldwell@example.com,1952-05-29T23:39:19.650Z,69,2013-04-03T14:37:37.512Z,8,(089)-697-0193,(033)-102-8894,SSN,789-39-7943,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
female,Mrs,Joan,Hernandez,2335,Valley View Ln,Albany,South Carolina,United States,21798,71.1811,-99.6452,-7:00,Mountain Time (US & Canada),joan.hernandez@example.com,1970-11-29T11:30:32.072Z,51,2017-11-02T12:43:40.617Z,4,(594)-798-1959,(530)-770-7870,SSN,997-13-0210,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Ms,Vera,Green,1635,Dogwood Ave,Pasadena,Connecticut,United States,41327,61.7806,-153.1321,+4:30,Kabul,vera.green@example.com,1951-12-11T15:39:23.533Z,70,2016-07-16T05:15:01.496Z,5,(144)-722-2710,(948)-816-3167,SSN,692-77-5447,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
male,Mr,Wesley,Garcia,680,Northaven Rd,Norman,New Mexico,United States,46327,15.8348,64.6861,-3:30,Newfoundland,wesley.garcia@example.com,1969-10-24T11:20:32.406Z,52,2017-09-28T09:41:21.379Z,4,(760)-508-4046,(810)-544-2527,SSN,748-69-0237,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Miss,Alexis,Olson,8119,Groveland Terrace,Mckinney,Minnesota,United States,66808,9.8770,-71.9178,-3:30,Newfoundland,alexis.olson@example.com,1985-04-15T10:35:27.974Z,36,2005-05-13T11:10:13.409Z,16,(223)-420-9063,(082)-374-4799,SSN,440-14-0484,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
female,Ms,Bobbie,Burton,6796,Lakeview St,Roseville,Arkansas,United States,89205,-83.9248,-43.9346,-10:00,Hawaii,bobbie.burton@example.com,1966-03-09T17:18:45.935Z,55,2003-04-27T12:40:31.241Z,18,(970)-790-1358,(114)-220-6120,SSN,575-83-2279,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
