gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Ray,Turner,7123,James St,Athens,Tennessee,United States,13113,87.1596,-121.2773,-8:00,Pacific Time (US & Canada),ray.turner@example.com,1985-04-02T20:24:14.289Z,36,2015-01-17T08:32:06.414Z,6,(827)-853-7940,(499)-444-4290,SSN,517-54-4005,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Andy,Dunn,4215,Hickory Creek Dr,Aurora,North Dakota,United States,10239,72.9488,-127.9824,-10:00,Hawaii,andy.dunn@example.com,1951-07-04T17:00:28.890Z,70,2007-07-03T00:04:40.946Z,14,(206)-678-2761,(227)-629-7122,SSN,349-13-8370,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Luke,Hall,8625,Westheimer Rd,Coral Springs,Wisconsin,United States,80472,2.6809,73.9870,+3:30,Tehran,luke.hall@example.com,1980-05-18T17:51:11.049Z,41,2019-05-31T20:35:48.418Z,2,(726)-329-0273,(941)-446-3474,SSN,499-36-6262,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
female,Ms,Candice,Nguyen,5350,Woodland St,Atlanta,Virginia,United States,79710,25.3272,-140.5450,+5:45,Kathmandu,candice.nguyen@example.com,1971-09-14T07:56:44.312Z,50,2003-01-30T02:35:07.936Z,18,(894)-960-1749,(192)-111-5106,SSN,044-59-3201,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Mrs,Ruby,Hughes,3918,Eason Rd,Spokane,Alaska,United States,11595,-25.6653,179.2731,-9:00,Alaska,ruby.hughes@example.com,1965-02-24T16:50:00.023Z,56,2018-04-08T11:40:08.962Z,3,(646)-317-4959,(805)-911-5078,SSN,515-65-6588,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Mrs,Tiffany,Nelson,7875,W Dallas St,Seattle,Vermont,United States,99154,-48.2475,-1.7937,-7:00,Mountain Time (US & Canada),tiffany.nelson@example.com,1969-06-20T09:25:01.816Z,52,2011-02-25T10:22:50.433Z,10,(386)-578-7861,(037)-330-5626,SSN,990-74-1314,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
male,Mr,Keith,Lucas,4964,Rolling Green Rd,Toledo,New Jersey,United States,46793,-80.0772,-92.1222,-3:30,Newfoundland,keith.lucas@example.com,1971-08-22T01:28:29.358Z,50,2014-03-14T08:38:32.906Z,7,(092)-860-1243,(944)-446-8371,SSN,700-88-1308,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Miss,Ellen,Sullivan,7932,Mcclellan Rd,Centennial,Ohio,United States,47412,53.1492,-66.4845,-3:30,Newfoundland,ellen.sullivan@example.com,1989-01-25T11:58:52.077Z,32,2015-08-14T00:23:01.237Z,6,(248)-833-8789,(886)-362-2043,SSN,302-36-1440,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Mrs,Constance,Daniels,3088,Bruce St,Lowell,New Jersey,United States,57246,24.9439,80.8901,+4:30,Kabul,constance.daniels@example.com,1997-12-04T13:58:40.714Z,24,2012-04-11T21:45:42.777Z,9,(393)-228-2058,(687)-876-2013,SSN,470-53-6355,https://randomuser.me/api/portraits/women/7.jpg,https://randomuser.me/api/portraits/med/women/7.jpg,https://randomuser.me/api/portraits/thumb/women/7.jpg,US
male,Mr,Ian,Lucas,3072,Forest Ln,Huntsville,Idaho,United States,99306,52.2763,-108.1704,-2:00,Mid-Atlantic,ian.lucas@example.com,1959-01-03T14:28:12.848Z,62,2017-05-03T03:43:23.509Z,4,(194)-842-6665,(355)-617-6980,SSN,091-60-3008,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
