gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Gail,Olson,4573,First Street,Mobile,New Jersey,United States,83990,45.3909,28.1971,-3:30,Newfoundland,gail.olson@example.com,1977-08-05T17:40:33.672Z,44,2015-11-01T16:23:11.731Z,6,(105)-513-6901,(896)-995-4661,SSN,152-37-6360,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Miss,Tiffany,Hudson,3176,Lakeview St,Washington,Connecticut,United States,62123,-13.0326,45.9285,-9:00,Alaska,tiffany.hudson@example.com,1969-04-12T17:46:18.958Z,52,2018-08-21T20:51:51.798Z,3,(409)-040-5275,(274)-828-6515,SSN,184-23-7284,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Mrs,Kristin,Douglas,5690,Hamilton Ave,Daly City,Arizona,United States,48061,21.1947,-87.8941,+3:30,Tehran,kristin.douglas@example.com,1956-07-04T08:54:12.070Z,65,2014-05-16T06:03:16.990Z,7,(167)-564-3438,(510)-463-6294,SSN,361-58-6912,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
male,Mr,Brennan,Kennedy,832,W Belt Line Rd,Fayetteville,Kansas,United States,53913,-55.2981,37.1296,+4:30,Kabul,brennan.kennedy@example.com,1954-12-06T06:01:33.979Z,67,2004-04-02T15:08:27.255Z,17,(488)-607-5943,(034)-011-9592,SSN,906-83-4852,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Harold,Howell,9072,N Stelling Rd,Savannah,Tennessee,United States,44127,-55.0093,-132.3505,-2:00,Mid-Atlantic,harold.howell@example.com,1991-03-21T07:40:03.829Z,30,2008-06-25T10:17:02.466Z,13,(182)-316-7958,(627)-418-0762,SSN,396-67-0642,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Ms,Gertrude,Spencer,7977,Hunters Creek Dr,Peoria,Oklahoma,United States,35123,-72.4314,101.7009,-8:00,Pacific Time (US & Canada),gertrude.spencer@example.com,1981-06-19T14:01:58.855Z,40,2012-11-25T03:40:43.177Z,9,(148)-416-8297,(379)-995-3431,SSN,089-88-0827,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Morris,Rivera,7448,Forest Ln,Caldwell,Arizona,United States,76567,-70.0822,-3.8765,+3:30,Tehran,morris.rivera@example.com,1972-03-26T16:57:42.459Z,49,2018-02-24T01:06:46.369Z,3,(179)-191-9581,(794)-683-9344,SSN,457-57-4361,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
male,Mr,Jeremy,Price,6313,W Belt Line Rd,El Cajon,Wyoming,United States,97014,-2.3458,-128.2394,-10:00,Hawaii,jeremy.price@example.com,1997-08-08T20:27:10.528Z,24,2012-07-13T09:16:11.050Z,9,(304)-018-8301,(138)-624-0298,SSN,244-77-7024,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
male,Mr,Victor,Hunter,9776,Hogan St,Dallas,Kentucky,United States,43997,-35.4169,-63.0017,+3:30,Tehran,victor.hunter@example.com,1956-02-25T10:29:29.716Z,65,2007-09-11T05:44:07.199Z,14,(978)-997-2839,(939)-953-2718,SSN,684-30-4839,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
male,Mr,Lawrence,Byrd,9016,Brown Terrace,Lakeland,California,United States,47748,-26.5001,83.7022,-2:00,Mid-Atlantic,lawrence.byrd@example.com,1957-05-30T03:53:27.811Z,64,2017-05-28T12:22:29.824Z,4,(456)-866-8769,(060)-666-9814,SSN,155-72-7468,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg,US
female,Mrs,Julie,Foster,9166,Hogan St,Rialto,Minnesota,United States,24190,-56.2236,-85.5704,-2:00,Mid-Atlantic,julie.foster@example.com,1954-12-06T19:26:17.116Z,67,2019-01-17T08:28:28.390Z,2,(302)-855-5332,(180)-346-1719,SSN,866-62-5894,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
