gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Neil,Welch,3124,Samaritan Dr,Brownsville,Oklahoma,United States,60675,62.6269,-178.9582,-2:00,Mid-Atlantic,neil.welch@example.com,1997-05-31T23:53:27.974Z,24,2016-02-22T09:59:02.060Z,5,(826)-532-1206,(992)-577-1439,SSN,949-73-3948,https://randomuser.me/api/portraits/men/51.jpg,https://randomuser.me/api/portraits/med/men/51.jpg,https://randomuser.me/api/portraits/thumb/men/51.jpg,US
male,Mr,Levi,Little,8395,Dane St,Woodbridge,Louisiana,United States,12856,-39.7650,18.3432,-8:00,Pacific Time (US & Canada),levi.little@example.com,1959-04-25T20:49:01.112Z,62,2009-01-02T16:28:40.558Z,12,(552)-394-4224,(371)-665-4472,SSN,213-89-9268,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
female,Miss,Letitia,Russell,7713,Eason Rd,Indianapolis,Nebraska,United States,53582,-74.3869,65.8505,+5:45,Kathmandu,letitia.russell@example.com,1968-11-04T07:53:35.668Z,53,2014-06-02T20:31:21.205Z,7,(666)-130-9206,(940)-324-4547,SSN,353-24-1879,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
female,Ms,Christy,Stone,623,Ranchview Dr,Bakersfield,Pennsylvania,United States,39718,-33.5923,-22.1932,+3:30,Tehran,christy.stone@example.com,1959-02-25T06:46:11.225Z,62,2011-08-24T01:51:13.951Z,10,(592)-871-2863,(948)-214-5916,SSN,073-06-6894,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Miss,Loretta,Wagner,7521,Hamilton Ave,Ontario,Minnesota,United States,61848,80.3178,-19.9819,-7:00,Mountain Time (US & Canada),loretta.wagner@example.com,1958-08-31T05:13:59.628Z,63,2009-11-02T13:30:53.181Z,12,(883)-250-6796,(099)-000-9776,SSN,336-12-9156,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg,US
female,Mrs,Serenity,May,1797,E Pecan St,Aubrey,Connecticut,United States,26063,87.9092,23.9227,-3:30,Newfoundland,serenity.may@example.com,1994-08-05T13:29:36.481Z,27,2008-07-17T23:27:14.204Z,13,(654)-555-0997,(227)-490-5512,SSN,995-56-9770,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Mrs,Sheila,Fletcher,7422,Photinia Ave,Ann Arbor,Arkansas,United States,99815,2.4933,-7.5955,-9:00,Alaska,sheila.fletcher@example.com,1950-03-08T10:31:27.167Z,71,2014-11-22T11:43:35.198Z,7,(601)-899-8945,(016)-884-1363,SSN,510-87-8535,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
female,Mrs,Nicole,Hudson,3249,Adams St,Chula Vista,Iowa,United States,84225,-61.6942,-20.5922,-3:30,Newfoundland,nicole.hudson@example.com,1998-07-14T17:49:52.549Z,23,2003-07-02T23:35:08.629Z,18,(844)-197-8176,(431)-887-4397,SSN,568-47-0443,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Alberto,Allen,6052,Preston Rd,Moscow,Alabama,United States,59112,-30.7516,85.0707,-8:00,Pacific Time (US & Canada),alberto.allen@example.com,1997-09-06T01:41:14.767Z,24,2012-09-30T14:23:47.107Z,9,(504)-787-9922,(472)-003-5217,SSN,944-69-0746,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Mrs,Michelle,Dixon,1046,N Stelling Rd,Evansville,West Virginia,United States,59551,87.1414,114.6365,-7:00,Mountain Time (US & Canada),michelle.dixon@example.com,1973-10-20T00:54:13.081Z,48,2012-08-18T10:18:34.397Z,9,(299)-460-7761,(218)-875-3721,SSN,374-07-7651,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
