gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Dora,Carter,4658,Locust Rd,Desoto,Washington,United States,11217,21.6620,34.9467,+5:45,Kathmandu,dora.carter@example.com,1956-05-07T02:24:36.402Z,65,2004-01-02T18:24:36.326Z,17,(489)-091-0425,(049)-483-6150,SSN,220-84-0558,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
male,Mr,Don,Gutierrez,7629,Paddock Way,Lousville,Hawaii,United States,99226,-3.5506,-93.4558,-3:30,Newfoundland,don.gutierrez@example.com,1984-05-23T06:16:16.286Z,37,2018-03-23T09:44:21.371Z,3,(895)-892-2650,(862)-262-7336,SSN,450-46-9652,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
female,Miss,Lynn,Matthews,1657,Bruce St,Irvine,South Dakota,United States,50224,22.1236,-14.2303,-8:00,Pacific Time (US & Canada),lynn.matthews@example.com,1954-06-18T05:45:07.093Z,67,2005-09-01T14:10:01.656Z,16,(830)-311-7554,(035)-743-1619,SSN,426-79-0065,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Deann,Clark,6072,College St,Norman,New Hampshire,United States,62439,-5.3441,99.4622,-9:00,Alaska,deann.clark@example.com,1947-12-19T13:07:20.722Z,74,2014-05-24T17:27:23.696Z,7,(858)-811-2124,(789)-294-2086,SSN,268-04-6481,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
male,Mr,Troy,Hudson,8918,Hamilton Ave,Irving,Nebraska,United States,18419,-16.5972,-73.7239,-10:00,Hawaii,troy.hudson@example.com,1962-05-06T17:28:12.528Z,59,2007-05-20T15:32:38.123Z,14,(447)-705-5417,(746)-104-7163,SSN,834-30-9415,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
male,Mr,Darrell,Thomas,1949,Locust Rd,Duncanville,Pennsylvania,United States,34905,71.6733,26.5032,-8:00,Pacific Time (US & Canada),darrell.thomas@example.com,1960-09-05T22:47:56.485Z,61,2017-07-08T10:28:38.913Z,4,(335)-847-6083,(237)-216-1094,SSN,000-16-3067,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Duane,Barnett,7526,Saddle Dr,Broken Arrow,Rhode Island,United States,32830,43.6745,4.5368,+4:30,Kabul,duane.barnett@example.com,1959-08-22T07:33:30.643Z,62,2010-06-25T17:24:46.679Z,11,(259)-231-0980,(639)-594-3230,SSN,479-00-9039,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
male,Mr,Gavin,Gregory,3356,W Gray St,Celina,Illinois,United States,92800,-7.5637,-67.1884,+3:30,Tehran,gavin.gregory@example.com,1949-10-23T08:11:28.764Z,72,2007-08-22T06:48:47.373Z,14,(774)-179-7393,(773)-891-5381,SSN,525-80-4156,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
male,Mr,Dustin,Porter,9164,Nowlin Rd,Odessa,Delaware,United States,41617,-5.9908,-25.6045,+5:45,Kathmandu,dustin.porter@example.com,1998-07-20T20:37:28.269Z,23,2017-08-02T19:52:32.093Z,4,(554)-785-6123,(110)-778-6378,SSN,717-29-0553,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
male,Mr,Roy,Holt,4877,Groveland Terrace,Ontario,Louisiana,United States,33751,31.7461,-48.0870,-2:00,Mid-Atlantic,roy.holt@example.com,1997-03-14T13:41:40.011Z,24,2008-06-19T15:23:27.928Z,13,(711)-356-6555,(130)-667-7864,SSN,562-21-8605,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
female,Mrs,Margie,Cunningham,9056,Mcclellan Rd,Murfreesboro,Mississippi,United States,76852,-61.8916,-33.5968,-7:00,Mountain Time (US & Canada),margie.cunningham@example.com,1983-09-25T08:41:06.172Z,38,2010-10-09T14:56:35.746Z,11,(028)-453-5984,(618)-983-5819,SSN,446-19-4733,https://randomuser.me/api/portraits/women/16.jpg,https://randomuser.me/api/portraits/med/women/16.jpg,https://randomuser.me/api/portraits/thumb/women/16.jpg,US
male,Mr,Pedro,Campbell,8051,Eason Rd,Fountain Valley,Missouri,United States,99531,76.9796,-103.2955,-10:00,Hawaii,pedro.campbell@example.com,1948-07-08T20:41:44.901Z,73,2014-02-16T16:41:23.667Z,7,(204)-343-4383,(995)-493-6582,SSN,196-09-2472,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
male,Mr,Morris,Roberts,3853,Sunset St,Fayetteville,Mississippi,United States,91175,-58.1042,112.4142,+3:30,Tehran,morris.roberts@example.com,1992-08-30T04:25:18.124Z,29,2003-02-05T05:49:21.370Z,18,(693)-928-9885,(642)-651-0082,SSN,951-68-7638,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Ms,Lauren,Gordon,4829,E Sandy Lake Rd,Birmingham,North Dakota,United States,80418,56.7406,-174.5970,-3:30,Newfoundland,lauren.gordon@example.com,1963-04-14T05:21:27.017Z,58,2011-08-12T14:00:21.298Z,10,(632)-842-1332,(493)-832-0814,SSN,912-87-8585,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Miss,Stella,Vasquez,8115,Ranchview Dr,Sacramento,Pennsylvania,United States,82134,-8.8679,-71.6218,-10:00,Hawaii,stella.vasquez@example.com,1985-12-16T03:15:47.333Z,36,2003-01-09T18:31:32.854Z,18,(264)-762-9315,(745)-436-2586,SSN,239-33-6432,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
