gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Cassandra,Diaz,675,Miller Ave,Murrieta,South Carolina,United States,73837,30.3500,-79.3736,-3:30,Newfoundland,cassandra.diaz@example.com,1957-12-07T02:02:25.245Z,64,2014-08-23T17:10:32.505Z,7,(943)-967-7354,(228)-405-5186,SSN,196-98-8854,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
female,Miss,Eleanor,Craig,1604,Saddle Dr,Lakewood,New Jersey,United States,71205,15.2256,-164.1198,-9:00,Alaska,eleanor.craig@example.com,1988-04-02T03:30:44.349Z,33,2004-03-03T18:48:27.414Z,17,(579)-729-2980,(986)-604-5794,SSN,208-46-0803,https://randomuser.me/api/portraits/women/15.jpg,https://randomuser.me/api/portraits/med/women/15.jpg,https://randomuser.me/api/portraits/thumb/women/15.jpg,US
female,Mrs,Jessica,Davis,253,Valwood Pkwy,Tampa,Alabama,United States,23755,45.0908,38.2409,+3:30,Tehran,jessica.davis@example.com,1995-04-25T08:16:13.021Z,26,2009-10-03T04:18:46.855Z,12,(229)-439-2132,(107)-575-5924,SSN,885-48-5899,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
female,Ms,Frances,Phillips,3032,Brown Terrace,Duncanville,South Dakota,United States,61607,-2.9253,173.7647,-2:00,Mid-Atlantic,frances.phillips@example.com,1968-03-04T04:09:11.025Z,53,2016-04-20T02:15:51.722Z,5,(274)-165-0787,(517)-040-3258,SSN,915-13-0917,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
male,Mr,Clinton,Long,9692,Sunset St,Berkeley,Indiana,United States,45947,-45.7839,148.8903,-2:00,Mid-Atlantic,clinton.long@example.com,1995-03-14T02:02:19.385Z,26,2017-05-12T16:06:02.783Z,4,(944)-521-7868,(587)-152-0375,SSN,470-35-9747,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Ruben,Robinson,3532,College St,Lakeland,Idaho,United States,33982,35.7038,-170.5243,+4:30,Kabul,ruben.robinson@example.com,1984-06-29T09:17:20.323Z,37,2003-06-23T01:21:31.043Z,18,(431)-333-7580,(329)-453-8093,SSN,422-50-9346,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
male,Mr,Ken,Adams,7602,Forest Ln,Los Lunas,Hawaii,United States,65880,-45.2241,-67.6199,+5:45,Kathmandu,ken.adams@example.com,1956-12-29T04:56:01.391Z,65,2008-02-16T03:10:32.055Z,13,(730)-032-4936,(222)-521-6561,SSN,612-86-8794,https://randomuser.me/api/portraits/men/90.jpg,https://randomuser.me/api/portraits/med/men/90.jpg,https://randomuser.me/api/portraits/thumb/men/90.jpg,US
male,Mr,Karl,Tucker,8750,Valley View Ln,Nashville,Idaho,United States,71531,-17.8224,-34.3001,-10:00,Hawaii,karl.tucker@example.com,1973-07-16T10:25:50.312Z,48,2013-08-07T05:39:07.475Z,8,(694)-609-2813,(557)-363-1501,SSN,497-43-6096,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Miss,Stacy,Rodriguez,8990,Railroad St,Fairfield,Montana,United States,72460,48.3421,-78.0315,-7:00,Mountain Time (US & Canada),stacy.rodriguez@example.com,1962-11-11T21:40:23.079Z,59,2011-05-15T04:52:17.687Z,10,(217)-700-6021,(680)-693-6623,SSN,453-08-6802,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Ms,Bessie,Johnson,3486,Frances Ct,Altoona,Louisiana,United States,26494,39.6766,-141.9449,-7:00,Mountain Time (US & Canada),bessie.johnson@example.com,1988-02-25T06:01:07.379Z,33,2010-07-19T07:01:18.173Z,11,(352)-243-4498,(587)-308-0270,SSN,667-10-3153,https://randomuser.me/api/portraits/women/1.jpg,https://randomuser.me/api/portraits/med/women/1.jpg,https://randomuser.me/api/portraits/thumb/women/1.jpg,US
