gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Bernard,Martinez,988,E Pecan St,Raleigh,Illinois,United States,66687,36.8529,-74.2469,+3:30,Tehran,bernard.martinez@example.com,1990-04-18T02:29:42.456Z,31,2019-04-17T16:50:07.165Z,2,(938)-963-0345,(779)-475-9443,SSN,086-32-4940,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Travis,Miller,9572,Ranchview Dr,Steilacoom,Hawaii,United States,29663,-74.8627,19.0245,-10:00,Hawaii,travis.miller@example.com,1957-12-04T07:04:51.669Z,64,2004-10-25T12:22:04.015Z,17,(643)-575-4665,(156)-361-6445,SSN,244-90-4577,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
male,Mr,Adrian,Burton,3196,Hogan St,Yonkers,Illinois,United States,13599,37.4971,82.8360,-3:30,Newfoundland,adrian.burton@example.com,1954-08-04T11:28:38.198Z,67,2012-07-07T10:01:53.063Z,9,(211)-094-3179,(312)-728-6272,SSN,389-01-3387,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
female,Miss,Ashley,Wagner,7539,Brown Terrace,Denver,New York,United States,11528,18.3909,-16.9195,+3:30,Tehran,ashley.wagner@example.com,1949-05-20T07:21:17.715Z,72,2002-06-04T01:44:47.306Z,19,(641)-237-9118,(330)-944-1183,SSN,211-21-0674,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
male,Mr,Gavin,Phillips,3954,White Oak Dr,Concord,Mississippi,United States,53765,-31.1004,-64.9525,+5:45,Kathmandu,gavin.phillips@example.com,1953-06-05T05:00:35.162Z,68,2007-11-13T21:59:26.061Z,14,(454)-668-7809,(253)-553-9663,SSN,694-09-5833,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Miss,Ann,Ramos,2372,Oak Ridge Ln,Lexington,Maryland,United States,76602,32.9337,179.7058,-7:00,Mountain Time (US & Canada),ann.ramos@example.com,1968-02-10T06:47:43.451Z,53,2013-04-25T13:37:01.288Z,8,(204)-689-7875,(787)-748-3982,SSN,443-48-7827,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
female,Mrs,Amy,Harrison,986,Royal Ln,Vallejo,Missouri,United States,71127,45.7030,-158.6810,+5:45,Kathmandu,amy.harrison@example.com,1995-10-06T01:00:48.271Z,26,2018-09-01T21:20:12.335Z,3,(755)-506-4249,(436)-360-4290,SSN,221-53-4550,https://randomuser.me/api/portraits/women/39.jpg,https://randomuser.me/api/portraits/med/women/39.jpg,https://randomuser.me/api/portraits/thumb/women/39.jpg,US
female,Mrs,Judy,Barrett,668,Thornridge Cir,Ennis,Vermont,United States,76675,-47.3260,157.2650,-9:00,Alaska,judy.barrett@example.com,1950-09-20T01:28:30.783Z,71,2011-04-11T18:34:47.147Z,10,(508)-404-3444,(737)-820-6839,SSN,302-81-8993,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,Levi,Romero,8353,Brown Terrace,York,California,United States,68745,14.7563,122.6536,-9:00,Alaska,levi.romero@example.com,1970-09-18T01:00:16.011Z,51,2009-11-12T15:10:35.719Z,12,(377)-714-4219,(990)-951-3879,SSN,527-77-2677,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
female,Ms,Genesis,Foster,3649,Plum St,Ironville,New Mexico,United States,64240,-21.0945,94.5081,-8:00,Pacific Time (US & Canada),genesis.foster@example.com,1978-01-20T07:49:07.902Z,43,2017-01-19T00:29:41.832Z,4,(729)-194-3155,(004)-533-7405,SSN,215-98-8115,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
female,Mrs,Regina,Palmer,1250,Marsh Ln,Broken Arrow,Rhode Island,United States,47694,-57.8471,148.7434,-7:00,Mountain Time (US & Canada),regina.palmer@example.com,1991-01-02T10:15:25.650Z,30,2003-09-08T22:07:09.087Z,18,(520)-904-6993,(848)-991-6325,SSN,023-16-8838,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
