gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Alexis,Rodriquez,2354,Fairview St,Flint,North Dakota,United States,32882,-74.0626,143.7487,+4:30,Kabul,alexis.rodriquez@example.com,1986-07-19T00:30:38.075Z,35,2004-08-31T01:21:41.612Z,17,(926)-686-8676,(144)-428-1791,SSN,364-95-5177,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Miss,Taylor,Reynolds,9598,Dane St,Jersey City,Maryland,United States,55892,79.9928,-122.7297,-10:00,Hawaii,taylor.reynolds@example.com,1946-08-11T00:07:00.448Z,75,2011-11-17T06:04:35.898Z,10,(686)-429-8721,(533)-074-8404,SSN,154-60-6548,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg,US
male,Mr,Willard,Ruiz,7760,Smokey Ln,Ontario,Arkansas,United States,76097,73.8017,46.3795,+5:45,Kathmandu,willard.ruiz@example.com,1962-04-01T03:05:15.059Z,59,2018-03-19T12:47:37.217Z,3,(285)-469-6076,(247)-395-8946,SSN,748-46-6084,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Miss,Julia,Walker,7042,Marsh Ln,Garland,Utah,United States,50099,-87.9908,3.1826,-9:00,Alaska,julia.walker@example.com,1950-08-27T21:48:18.085Z,71,2008-10-21T13:30:47.677Z,13,(754)-240-1635,(023)-720-0162,SSN,815-16-7837,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Ms,Bonnie,Young,4146,Hillcrest Rd,Hialeah,Maine,United States,19275,-64.1837,148.2170,-7:00,Mountain Time (US & Canada),bonnie.young@example.com,1949-07-22T09:41:23.972Z,72,2017-06-04T17:03:48.176Z,4,(655)-031-5681,(041)-380-7454,SSN,541-05-6434,https://randomuser.me/api/portraits/women/47.jpg,https://randomuser.me/api/portraits/med/women/47.jpg,https://randomuser.me/api/portraits/thumb/women/47.jpg,US
male,Mr,Norman,Curtis,9332,Locust Rd,El Paso,Kansas,United States,83208,8.3417,-115.9381,-10:00,Hawaii,norman.curtis@example.com,1967-05-14T16:50:09.124Z,54,2009-10-19T23:36:31.867Z,12,(384)-524-4757,(806)-734-1688,SSN,724-93-8615,https://randomuser.me/api/portraits/men/95.jpg,https://randomuser.me/api/portraits/med/men/95.jpg,https://randomuser.me/api/portraits/thumb/men/95.jpg,US
female,Miss,Frances,Powell,2823,Forest Ln,Elgin,Texas,United States,65477,-63.2433,-123.7016,-2:00,Mid-Atlantic,frances.powell@example.com,1985-02-05T08:12:55.347Z,36,2016-07-12T13:24:39.391Z,5,(373)-469-1585,(479)-135-0123,SSN,237-29-4119,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
female,Miss,Michele,Hamilton,912,Northaven Rd,West Palm Beach,Nebraska,United States,68910,-54.5219,-30.7430,-8:00,Pacific Time (US & Canada),michele.hamilton@example.com,1988-02-19T21:51:35.532Z,33,2018-09-24T14:49:59.568Z,3,(024)-598-7933,(538)-905-8815,SSN,056-60-6392,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg,US
female,Ms,Zoey,Henry,6632,Royal Ln,Shreveport,Colorado,United States,43908,-37.7112,-127.5378,+3:30,Tehran,zoey.henry@example.com,1984-07-04T19:30:14.570Z,37,2018-05-23T11:10:52.292Z,3,(017)-071-7655,(792)-851-1275,SSN,191-75-2563,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
female,Mrs,Martha,Wood,7178,Bollinger Rd,Jersey City,Oklahoma,United States,52394,66.1601,-51.8708,-9:00,Alaska,martha.wood@example.com,1973-03-15T08:40:48.196Z,48,2017-08-28T23:18:39.546Z,4,(565)-897-5917,(552)-469-1566,SSN,135-08-1242,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg,US
male,Mr,Sergio,Lucas,3643,Edwards Rd,Kansas City,Arkansas,United States,94580,-19.2059,-114.9076,+3:30,Tehran,sergio.lucas@example.com,1978-07-13T23:11:26.406Z,43,2019-03-30T02:10:51.299Z,2,(693)-213-4632,(046)-536-7953,SSN,476-08-0122,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Ms,Gina,Gonzales,1640,Pecan Acres Ln,Santa Clarita,Alaska,United States,92703,-35.8318,-9.8401,-2:00,Mid-Atlantic,gina.gonzales@example.com,1973-12-24T22:20:43.559Z,48,2011-10-19T19:25:54.929Z,10,(701)-915-6462,(481)-059-4518,SSN,509-27-8356,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Mrs,Marsha,Fernandez,5572,Cherry St,Duncanville,Oklahoma,United States,78946,89.7623,39.6461,-9:00,Alaska,marsha.fernandez@example.com,1955-07-09T02:52:45.295Z,66,2014-06-28T23:20:39.656Z,7,(907)-875-3793,(378)-809-0087,SSN,440-66-7562,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Mrs,Jennifer,Sanchez,2679,Westheimer Rd,Steilacoom,Maryland,United States,16846,-3.7052,-126.8468,+4:30,Kabul,jennifer.sanchez@example.com,1955-07-26T11:19:23.644Z,66,2013-11-19T01:50:10.035Z,8,(612)-060-2881,(248)-721-1245,SSN,374-22-2550,https://randomuser.me/api/portraits/women/28.jpg,https://randomuser.me/api/portraits/med/women/28.jpg,https://randomuser.me/api/portraits/thumb/women/28.jpg,US
male,Mr,Leo,May,2564,Samaritan Dr,Santa Clara,Wisconsin,United States,68727,9.8644,153.4749,-7:00,Mountain Time (US & Canada),leo.may@example.com,1970-09-15T05:07:28.586Z,51,2013-02-22T03:02:05.104Z,8,(008)-263-1964,(285)-695-8772,SSN,623-31-0328,https://randomuser.me/api/portraits/men/84.jpg,https://randomuser.me/api/portraits/med/men/84.jpg,https://randomuser.me/api/portraits/thumb/men/84.jpg,US
male,Mr,Jimmy,Flores,5780,E North St,Houston,Tennessee,United States,89661,-83.1155,84.9187,+5:45,Kathmandu,jimmy.flores@example.com,1986-08-07T07:12:57.494Z,35,2017-06-22T00:31:03.569Z,4,(591)-929-2279,(930)-575-9183,SSN,016-58-0384,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg,US
female,Miss,Juanita,Ward,1939,Spring Hill Rd,Roseville,New Mexico,United States,10765,-81.0697,-16.3259,-9:00,Alaska,juanita.ward@example.com,1973-08-10T05:05:12.870Z,48,2011-01-13T20:51:03.339Z,10,(463)-950-3643,(008)-794-2974,SSN,376-05-5584,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
male,Mr,Jimmy,Hughes,8748,Karen Dr,Vallejo,Oklahoma,United States,22411,-43.0109,102.2701,+4:30,Kabul,jimmy.hughes@example.com,1990-04-15T01:23:13.229Z,31,2010-07-04T05:08:13.741Z,11,(050)-654-7225,(242)-916-9036,SSN,450-00-7795,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
