gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Vernon,Watson,2424,Saddle Dr,Vancouver,Colorado,United States,22083,-56.8626,-30.3134,-7:00,Mountain Time (US & Canada),vernon.watson@example.com,1963-02-16T00:29:59.471Z,58,2013-07-07T20:59:59.520Z,8,(243)-562-6129,(945)-205-6234,SSN,937-16-4453,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Wayne,Little,3798,Bollinger Rd,Pearland,Louisiana,United States,91561,-54.6312,108.7427,-9:00,Alaska,wayne.little@example.com,1993-06-07T12:57:40.902Z,28,2006-05-03T19:43:52.653Z,15,(431)-510-1519,(846)-178-7396,SSN,002-82-7417,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,US
female,Mrs,Josephine,Ramos,621,Sunset St,The Colony,Nebraska,United States,35476,-32.3067,154.5709,-3:30,Newfoundland,josephine.ramos@example.com,1988-03-11T00:11:22.691Z,33,2013-03-08T01:15:41.402Z,8,(314)-740-4053,(981)-015-1193,SSN,784-68-2387,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
male,Mr,Seth,Terry,3963,Brown Terrace,Provo,Nevada,United States,21874,-70.5117,5.6979,-2:00,Mid-Atlantic,seth.terry@example.com,1959-11-03T05:51:50.905Z,62,2006-10-24T17:16:19.922Z,15,(968)-962-7761,(963)-489-2532,SSN,681-08-7192,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
female,Miss,Ellen,Holmes,635,Bollinger Rd,Broken Arrow,Indiana,United States,29197,-55.5304,48.1426,-9:00,Alaska,ellen.holmes@example.com,1973-08-08T19:52:02.164Z,48,2010-02-07T11:31:09.228Z,11,(576)-611-6514,(552)-798-9057,SSN,283-61-9727,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
female,Miss,Sheila,Jackson,1549,Marsh Ln,Gresham,Iowa,United States,68520,7.5086,-78.0905,+5:45,Kathmandu,sheila.jackson@example.com,1997-10-23T19:25:57.892Z,24,2013-01-24T03:54:02.124Z,8,(514)-613-6664,(298)-790-9495,SSN,654-47-2755,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
female,Ms,Alexa,Russell,4205,Preston Rd,North Charleston,Virginia,United States,98500,36.3007,-23.1633,-9:00,Alaska,alexa.russell@example.com,1944-10-28T03:13:11.696Z,77,2015-03-15T02:40:08.673Z,6,(357)-825-5785,(432)-429-4021,SSN,446-51-5201,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
female,Miss,Esther,Gonzalez,2779,Hillcrest Rd,Chicago,Arkansas,United States,82573,36.2667,74.0555,-3:30,Newfoundland,esther.gonzalez@example.com,1952-04-19T20:22:17.224Z,69,2015-11-10T19:12:31.894Z,6,(391)-776-8216,(366)-205-7117,SSN,487-08-0545,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Miss,Erica,Stanley,4001,Oak Lawn Ave,Clarksville,Vermont,United States,45477,88.8551,-106.3576,-10:00,Hawaii,erica.stanley@example.com,1946-01-07T04:51:25.515Z,75,2014-07-02T01:20:31.812Z,7,(391)-679-5995,(328)-171-8982,SSN,744-58-9948,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg,US
female,Ms,Janice,Perkins,3929,Bruce St,Cape Fear,Colorado,United States,28080,81.2625,-0.1325,-7:00,Mountain Time (US & Canada),janice.perkins@example.com,1960-01-05T23:16:01.808Z,61,2017-11-26T14:07:20.540Z,4,(946)-490-1214,(163)-855-2473,SSN,515-98-7625,https://randomuser.me/api/portraits/women/13.jpg,https://randomuser.me/api/portraits/med/women/13.jpg,https://randomuser.me/api/portraits/thumb/women/13.jpg,US
