gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Mason,Bailey,1849,Wycliff Ave,El Paso,Nevada,United States,46670,85.0006,-4.1517,+5:45,Kathmandu,mason.bailey@example.com,1992-04-20T03:28:43.085Z,29,2016-06-20T10:53:45.053Z,5,(306)-779-7370,(575)-151-2234,SSN,232-76-8353,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Russell,Hayes,4776,Adams St,Medford,Alaska,United States,32288,73.9845,-74.2872,-7:00,Mountain Time (US & Canada),russell.hayes@example.com,1952-08-20T04:56:45.476Z,69,2012-09-09T05:58:50.465Z,9,(400)-001-9404,(611)-561-5208,SSN,651-29-9143,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,US
male,Mr,Franklin,Baker,2234,Valley View Ln,Thousand Oaks,Mississippi,United States,81151,70.7497,-133.1381,+5:45,Kathmandu,franklin.baker@example.com,1949-05-19T10:47:16.628Z,72,2005-07-03T13:33:04.181Z,16,(242)-854-1490,(258)-073-5560,SSN,728-46-0271,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
male,Mr,Lee,Mitchelle,5796,Frances Ct,Roanoke,South Dakota,United States,66320,17.9999,119.9567,-3:30,Newfoundland,lee.mitchelle@example.com,1974-08-07T04:27:08.945Z,47,2008-10-11T04:16:07.033Z,13,(337)-457-2735,(973)-937-9978,SSN,570-09-9296,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg,US
female,Mrs,Tina,Carpenter,5491,Mcclellan Rd,Charlotte,Washington,United States,10371,-38.8020,-151.9741,+3:30,Tehran,tina.carpenter@example.com,1965-08-20T01:36:26.196Z,56,2012-02-19T17:59:52.776Z,9,(631)-645-1497,(050)-584-2743,SSN,860-65-5770,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
male,Mr,Pat,Beck,7614,N Stelling Rd,Rio Rancho,Oregon,United States,66344,-89.0333,-121.6276,+3:30,Tehran,pat.beck@example.com,1967-11-04T23:03:51.336Z,54,2008-06-17T17:45:48.762Z,13,(402)-774-4458,(049)-051-1197,SSN,110-09-8867,https://randomuser.me/api/portraits/men/93.jpg,https://randomuser.me/api/portraits/med/men/93.jpg,https://randomuser.me/api/portraits/thumb/men/93.jpg,US
female,Ms,Charlotte,Robertson,7834,Spring Hill Rd,Dayton,North Dakota,United States,17258,73.9216,94.0660,-2:00,Mid-Atlantic,charlotte.robertson@example.com,1961-03-15T14:33:23.001Z,60,2009-11-01T09:27:21.809Z,12,(991)-725-1129,(915)-743-0940,SSN,701-82-2980,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Miss,Vickie,Jacobs,8228,Washington Ave,Durham,Tennessee,United States,24357,27.4323,3.2612,-9:00,Alaska,vickie.jacobs@example.com,1983-12-08T00:33:09.913Z,38,2016-05-17T08:25:49.869Z,5,(042)-333-7443,(888)-001-9612,SSN,527-90-1704,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Ms,Jean,Ramirez,1895,Cackson St,Stamford,Alaska,United States,87170,-87.0860,146.3630,-9:00,Alaska,jean.ramirez@example.com,1980-01-27T12:06:32.667Z,41,2018-01-28T19:10:56.320Z,3,(599)-215-1804,(494)-676-4830,SSN,734-86-9983,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
female,Mrs,Florence,Robertson,569,E Pecan St,Edgewood,New York,United States,67821,-27.0883,-133.1070,-3:30,Newfoundland,florence.robertson@example.com,1983-06-12T14:38:08.261Z,38,2017-01-28T15:37:40.379Z,4,(951)-153-7174,(785)-861-8310,SSN,229-80-0986,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
