gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Marion,Vasquez,3679,Parker Rd,Utica,Iowa,United States,11450,-43.9581,101.8649,-9:00,Alaska,marion.vasquez@example.com,1947-11-26T23:36:56.855Z,74,2016-03-26T12:30:17.276Z,5,(836)-432-7090,(747)-787-0349,SSN,422-78-9512,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
male,Mr,Eric,Lawson,9696,Spring St,Flint,New Mexico,United States,43072,-69.3043,179.3283,+4:30,Kabul,eric.lawson@example.com,1945-09-22T06:36:09.017Z,76,2008-11-29T02:31:57.970Z,13,(819)-135-8361,(665)-424-8235,SSN,725-27-4466,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
male,Mr,Kelly,Davidson,8329,Daisy Dr,Peoria,Kentucky,United States,22370,83.8043,44.4260,-7:00,Mountain Time (US & Canada),kelly.davidson@example.com,1996-03-27T04:06:06.203Z,25,2018-10-05T17:52:57.681Z,3,(773)-789-5005,(937)-101-3530,SSN,890-10-0375,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
male,Mr,Kurt,Mckinney,4289,Mockingbird Ln,Roseville,Kansas,United States,49776,-65.7757,150.4779,-2:00,Mid-Atlantic,kurt.mckinney@example.com,1994-09-27T06:28:17.018Z,27,2006-08-21T17:32:08.717Z,15,(691)-225-6231,(759)-477-6140,SSN,281-35-0132,https://randomuser.me/api/portraits/men/53.jpg,https://randomuser.me/api/portraits/med/men/53.jpg,https://randomuser.me/api/portraits/thumb/men/53.jpg,US
female,Miss,Peyton,Morrison,7994,James St,Steilacoom,Maine,United States,45465,-36.5047,159.9578,+4:30,Kabul,peyton.morrison@example.com,1950-05-04T22:16:28.631Z,71,2015-11-18T10:27:12.820Z,6,(293)-237-6352,(619)-944-9885,SSN,967-45-7067,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
female,Mrs,Stacy,Stanley,6696,Fincher Rd,Bernalillo,Nevada,United States,13705,-69.4030,90.6330,-9:00,Alaska,stacy.stanley@example.com,1957-10-25T10:10:58.696Z,64,2018-02-04T13:05:13.695Z,3,(240)-468-6932,(398)-241-7851,SSN,726-36-4879,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
male,Mr,Randall,Dunn,2336,Cherry St,Eureka,Alaska,United States,51291,88.8603,162.1832,-8:00,Pacific Time (US & Canada),randall.dunn@example.com,1974-04-20T08:28:08.854Z,47,2003-04-21T19:31:10.736Z,18,(426)-521-6088,(223)-286-1088,SSN,399-58-2223,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
female,Miss,Veronica,Shelton,6053,Fairview St,Fairfield,Connecticut,United States,13308,1.2354,11.5554,+4:30,Kabul,veronica.shelton@example.com,1976-03-26T04:12:11.731Z,45,2003-06-01T14:42:53.451Z,18,(230)-282-7587,(629)-403-6738,SSN,065-73-0372,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
male,Mr,Brent,Marshall,3420,Cherry St,San Antonio,Georgia,United States,72295,-65.2468,-26.8835,+5:45,Kathmandu,brent.marshall@example.com,1963-04-08T03:54:22.353Z,58,2006-05-10T03:33:18.129Z,15,(293)-652-8367,(338)-230-8499,SSN,707-60-4176,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Mrs,Gail,Steeves ,5361,Lone Wolf Trail,Ontario,Ohio,United States,90128,64.5993,-50.3502,-7:00,Mountain Time (US & Canada),gail.steeves@example.com,1981-11-22T09:39:29.315Z,40,2009-10-16T16:41:49.294Z,12,(836)-030-0328,(069)-826-9390,SSN,267-51-4183,https://randomuser.me/api/portraits/women/19.jpg,https://randomuser.me/api/portraits/med/women/19.jpg,https://randomuser.me/api/portraits/thumb/women/19.jpg,US
