gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Clinton,Sanders,3228,Country Club Rd,Abilene,Arizona,United States,13277,3.5365,-97.3217,-9:00,Alaska,clinton.sanders@example.com,1953-09-19T11:19:48.331Z,68,2016-12-01T08:25:17.564Z,5,(955)-793-8946,(268)-830-8407,SSN,338-75-1725,https://randomuser.me/api/portraits/men/92.jpg,https://randomuser.me/api/portraits/med/men/92.jpg,https://randomuser.me/api/portraits/thumb/men/92.jpg,US
male,Mr,Lewis,Castro,5641,N Stelling Rd,Reno,West Virginia,United States,44336,72.1324,47.6593,-10:00,Hawaii,lewis.castro@example.com,1969-04-15T19:50:18.769Z,52,2015-12-18T20:00:38.937Z,6,(557)-793-0999,(626)-117-3776,SSN,741-83-2780,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Ms,Mary,Marshall,412,E Sandy Lake Rd,Chula Vista,Idaho,United States,74260,34.1961,17.8791,-10:00,Hawaii,mary.marshall@example.com,1945-08-13T14:16:10.142Z,76,2014-02-24T14:41:40.420Z,7,(475)-620-1560,(193)-217-7528,SSN,812-66-2418,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
male,Mr,Charles,Howell,1715,Camden Ave,Fremont,Kansas,United States,22644,4.2360,80.5239,-10:00,Hawaii,charles.howell@example.com,1987-03-08T08:29:45.753Z,34,2012-12-05T12:13:09.853Z,9,(284)-703-8203,(183)-369-7793,SSN,225-51-1000,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
male,Mr,Christopher,Gomez,2489,Spring St,Seattle,Missouri,United States,28557,-28.8155,-143.7512,+4:30,Kabul,christopher.gomez@example.com,1967-06-13T22:41:04.086Z,54,2015-05-01T08:51:53.505Z,6,(577)-179-0215,(171)-752-0715,SSN,589-55-7675,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
female,Mrs,June,George,4100,Karen Dr,Greeley,Connecticut,United States,75437,40.2531,-25.4709,+4:30,Kabul,june.george@example.com,1982-10-21T15:09:34.606Z,39,2008-08-21T10:29:57.444Z,13,(937)-255-2141,(259)-113-0732,SSN,563-76-4305,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Mrs,Wanda,Nichols,116,White Oak Dr,Charlotte,Illinois,United States,87950,32.6237,44.3582,-3:30,Newfoundland,wanda.nichols@example.com,1952-04-25T18:46:27.671Z,69,2004-06-07T08:55:10.076Z,17,(632)-765-1867,(657)-411-7143,SSN,881-15-2886,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
female,Mrs,Connie,Ramos,4634,E Center St,Centennial,New Hampshire,United States,83800,-62.0198,-25.4295,+5:45,Kathmandu,connie.ramos@example.com,1973-09-30T21:29:22.351Z,48,2009-05-07T05:10:45.845Z,12,(135)-090-5333,(032)-539-6504,SSN,066-59-4767,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
female,Miss,Tiffany,Martinez,7796,Lakeshore Rd,Antioch,New York,United States,20390,-60.9012,110.4118,+4:30,Kabul,tiffany.martinez@example.com,1970-01-09T19:48:07.751Z,51,2010-02-05T19:15:35.995Z,11,(903)-019-8045,(473)-416-7826,SSN,410-85-0191,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
male,Mr,Seth,Morris,6787,Mockingbird Hill,Evansville,Arizona,United States,93715,86.7250,-50.4534,-8:00,Pacific Time (US & Canada),seth.morris@example.com,1949-04-26T21:56:57.160Z,72,2017-09-12T11:49:26.301Z,4,(502)-486-3345,(696)-574-1356,SSN,848-38-4520,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
female,Mrs,Mia,Hunter,511,Mcgowen St,Corona,Texas,United States,40488,3.9546,95.4437,+4:30,Kabul,mia.hunter@example.com,1957-06-06T00:58:43.144Z,64,2006-06-30T13:58:03.475Z,15,(132)-769-4009,(651)-226-8687,SSN,418-66-6071,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
male,Mr,Robert,Henry,9656,Edwards Rd,Erie,Wisconsin,United States,69890,-22.2341,-65.1442,+5:45,Kathmandu,robert.henry@example.com,1994-03-16T02:57:16.356Z,27,2015-09-22T14:07:50.665Z,6,(391)-643-9253,(861)-841-7107,SSN,876-14-9683,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Miss,Louise,Wood,6995,Sunset St,Grand Prairie,Massachusetts,United States,68389,67.8924,90.7416,-9:00,Alaska,louise.wood@example.com,1978-09-02T17:27:08.227Z,43,2010-10-22T20:41:24.572Z,11,(554)-741-7320,(154)-127-7008,SSN,880-80-4317,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
male,Mr,Clifford,Mendoza,2021,Robinson Rd,Fullerton,Vermont,United States,39344,68.0908,-19.0832,+3:30,Tehran,clifford.mendoza@example.com,1960-11-06T18:31:26.242Z,61,2003-03-08T19:49:11.313Z,18,(388)-255-5708,(059)-709-4157,SSN,382-87-5540,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Ms,Carla,Elliott,5179,Parker Rd,St. Louis,Illinois,United States,78721,-6.1167,139.8159,-8:00,Pacific Time (US & Canada),carla.elliott@example.com,1952-01-17T06:55:57.218Z,69,2014-08-16T16:04:09.476Z,7,(225)-907-0873,(751)-273-6178,SSN,991-72-1588,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
male,Mr,Angel,Dixon,5094,Ranchview Dr,Burbank,Alaska,United States,72382,20.4770,98.4503,+3:30,Tehran,angel.dixon@example.com,1986-09-13T08:19:45.278Z,35,2015-06-01T13:44:59.697Z,6,(128)-693-9614,(501)-482-5184,SSN,508-18-2835,https://randomuser.me/api/portraits/men/43.jpg,https://randomuser.me/api/portraits/med/men/43.jpg,https://randomuser.me/api/portraits/thumb/men/43.jpg,US
female,Ms,Ashley,Gibson,5829,Hogan St,Nampa,Vermont,United States,80611,-15.6407,-94.4036,-10:00,Hawaii,ashley.gibson@example.com,1990-02-10T20:03:17.189Z,31,2018-02-05T18:36:57.071Z,3,(528)-217-6542,(282)-003-1004,SSN,503-49-6087,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Mrs,Priscilla,Caldwell,4559,Smokey Ln,Yonkers,Pennsylvania,United States,85468,56.0177,-93.6098,-8:00,Pacific Time (US & Canada),priscilla.caldwell@example.com,1997-04-14T17:25:41.258Z,24,2009-04-11T00:44:03.655Z,12,(823)-386-8517,(057)-256-5579,SSN,615-93-3958,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,US
female,Mrs,Maureen,Young,537,Washington Ave,Green Bay,Missouri,United States,84514,44.1341,-119.6009,-3:30,Newfoundland,maureen.young@example.com,1983-03-03T18:55:53.806Z,38,2004-12-06T08:31:28.205Z,17,(703)-599-1059,(854)-762-3264,SSN,384-21-7334,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,George,Murphy,8459,Karen Dr,Huntington Beach,Rhode Island,United States,69838,4.4913,168.4089,-8:00,Pacific Time (US & Canada),george.murphy@example.com,1995-04-16T13:10:29.646Z,26,2014-05-05T03:20:24.150Z,7,(901)-476-0808,(866)-427-6034,SSN,907-47-9053,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
