gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Adrian,Ramirez,6962,Valwood Pkwy,Syracuse,Georgia,United States,53835,7.0616,-25.1760,-10:00,Hawaii,adrian.ramirez@example.com,1975-11-06T08:21:38.062Z,46,2013-12-07T19:25:17.989Z,8,(258)-806-6712,(729)-363-9299,SSN,248-11-1535,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
male,Mr,Ray,Hernandez,8380,Lovers Ln,Port St. Lucie,Minnesota,United States,44120,-18.7088,34.9288,-9:00,Alaska,ray.hernandez@example.com,1964-02-14T23:03:24.251Z,57,2011-01-20T05:35:50.554Z,10,(378)-924-4816,(293)-273-7362,SSN,978-00-8339,https://randomuser.me/api/portraits/men/44.jpg,https://randomuser.me/api/portraits/med/men/44.jpg,https://randomuser.me/api/portraits/thumb/men/44.jpg,US
male,Mr,Chris,Stanley,8069,Fairview St,Columbia,Louisiana,United States,58657,-38.7779,-13.5972,-2:00,Mid-Atlantic,chris.stanley@example.com,1957-12-06T07:35:43.857Z,64,2013-08-17T12:00:02.028Z,8,(829)-136-0730,(096)-898-4365,SSN,520-74-1752,https://randomuser.me/api/portraits/men/91.jpg,https://randomuser.me/api/portraits/med/men/91.jpg,https://randomuser.me/api/portraits/thumb/men/91.jpg,US
male,Mr,Terry,Carter,2619,Fincher Rd,Wilmington,North Dakota,United States,88363,-79.7933,-178.8140,-2:00,Mid-Atlantic,terry.carter@example.com,1978-06-22T23:38:26.230Z,43,2016-05-01T00:22:29.715Z,5,(327)-698-4991,(178)-931-8817,SSN,502-48-7950,https://randomuser.me/api/portraits/men/30.jpg,https://randomuser.me/api/portraits/med/men/30.jpg,https://randomuser.me/api/portraits/thumb/men/30.jpg,US
male,Mr,Miguel,Davidson,1952,W Dallas St,Altoona,New York,United States,94700,35.9913,-89.6197,-10:00,Hawaii,miguel.davidson@example.com,1946-12-21T20:14:10.623Z,75,2018-05-06T03:38:00.221Z,3,(113)-522-5675,(468)-718-6586,SSN,739-45-1735,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
male,Mr,Fred,Rivera,1026,Brown Terrace,Ventura,Oklahoma,United States,78488,9.2878,-91.6224,+5:45,Kathmandu,fred.rivera@example.com,1988-01-12T19:49:17.454Z,33,2002-03-31T15:45:30.820Z,19,(541)-873-4687,(505)-310-2257,SSN,779-39-3889,https://randomuser.me/api/portraits/men/0.jpg,https://randomuser.me/api/portraits/med/men/0.jpg,https://randomuser.me/api/portraits/thumb/men/0.jpg,US
female,Ms,Veronica,Lawrence,3534,Lone Wolf Trail,Eugene,Maryland,United States,50912,-64.8714,-58.3380,-9:00,Alaska,veronica.lawrence@example.com,1948-12-24T09:03:11.519Z,73,2003-09-23T17:38:53.673Z,18,(763)-711-5867,(230)-558-2434,SSN,820-01-6732,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Miss,Tamara,Simpson,7448,Ranchview Dr,Stanley,Idaho,United States,76849,85.5268,10.8581,-7:00,Mountain Time (US & Canada),tamara.simpson@example.com,1964-02-02T00:13:35.684Z,57,2013-01-13T16:26:43.463Z,8,(141)-057-0875,(193)-676-8799,SSN,189-05-8710,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
female,Mrs,Wanda,Gardner,734,Miller Ave,Milwaukee,Nebraska,United States,81630,-45.5914,7.1965,-7:00,Mountain Time (US & Canada),wanda.gardner@example.com,1955-10-18T14:26:02.182Z,66,2009-08-15T02:19:59.643Z,12,(701)-529-1450,(852)-496-7798,SSN,359-43-9466,https://randomuser.me/api/portraits/women/59.jpg,https://randomuser.me/api/portraits/med/women/59.jpg,https://randomuser.me/api/portraits/thumb/women/59.jpg,US
female,Mrs,Ana,Williamson,8161,Spring St,Hialeah,Idaho,United States,78977,-8.9864,-33.1197,-2:00,Mid-Atlantic,ana.williamson@example.com,1977-08-17T13:47:54.120Z,44,2006-07-21T16:49:08.395Z,15,(860)-514-5636,(242)-303-0099,SSN,526-98-2424,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
