gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Sherri,Graham,8094,Preston Rd,Fort Collins,Pennsylvania,United States,99570,62.7209,122.1786,-2:00,Mid-Atlantic,sherri.graham@example.com,1978-12-25T08:09:21.631Z,43,2012-11-28T15:30:55.935Z,9,(565)-577-8013,(051)-536-9865,SSN,893-16-1447,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Julian,Crawford,9663,Mockingbird Ln,Red Bluff,Colorado,United States,88507,-87.0210,-112.6251,+3:30,Tehran,julian.crawford@example.com,1955-01-29T07:57:12.174Z,66,2010-03-20T23:19:00.082Z,11,(707)-888-1744,(293)-235-7966,SSN,853-60-6382,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
male,Mr,Oscar,Jones,6963,Harrison Ct,Evansville,Iowa,United States,41410,-43.3508,19.5433,-3:30,Newfoundland,oscar.jones@example.com,1981-02-27T02:02:32.649Z,40,2013-05-11T07:21:34.974Z,8,(655)-436-6284,(759)-546-9206,SSN,022-72-0461,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Ms,Georgia,Martinez,2239,Country Club Rd,Greensboro,New Hampshire,United States,56926,-1.8127,-89.0562,+3:30,Tehran,georgia.martinez@example.com,1979-06-20T01:18:08.444Z,42,2007-11-04T15:31:59.714Z,14,(937)-800-5401,(406)-797-2433,SSN,141-48-9172,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Jimmy,Daniels,1347,Fairview St,Minneapolis,North Dakota,United States,16569,79.2776,-155.5074,-9:00,Alaska,jimmy.daniels@example.com,1962-09-05T12:58:44.956Z,59,2004-07-06T19:50:49.284Z,17,(304)-235-8428,(958)-934-1586,SSN,190-18-0406,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Miss,Tracy,Perkins,4371,Fairview St,Little Rock,Rhode Island,United States,96711,-34.4868,-48.3236,-2:00,Mid-Atlantic,tracy.perkins@example.com,1995-03-16T20:18:14.358Z,26,2004-08-07T06:28:26.578Z,17,(506)-797-8481,(446)-243-0640,SSN,202-54-1898,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
female,Miss,Gloria,Douglas,1330,Oak Lawn Ave,Springfield,Indiana,United States,45037,-76.1297,91.1755,-2:00,Mid-Atlantic,gloria.douglas@example.com,1989-12-29T02:30:10.658Z,32,2003-06-11T19:45:33.167Z,18,(224)-753-6357,(749)-391-4282,SSN,347-92-6589,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
female,Ms,Mary,Patterson,3919,White Oak Dr,Grand Prairie,Maine,United States,33076,-55.7485,-125.5992,+4:30,Kabul,mary.patterson@example.com,1946-10-15T21:15:25.786Z,75,2006-12-05T15:01:15.623Z,15,(439)-309-6945,(290)-572-0765,SSN,302-24-0037,https://randomuser.me/api/portraits/women/4.jpg,https://randomuser.me/api/portraits/med/women/4.jpg,https://randomuser.me/api/portraits/thumb/women/4.jpg,US
male,Mr,Aaron,Lewis,283,Rolling Green Rd,Santa Maria,South Dakota,United States,41126,-0.4317,-175.2347,-2:00,Mid-Atlantic,aaron.lewis@example.com,1965-01-12T09:37:22.914Z,56,2003-09-06T21:28:27.024Z,18,(142)-287-3497,(940)-913-1060,SSN,204-73-7407,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Ivan,Garcia,6003,Country Club Rd,Tyler,California,United States,48188,22.5242,-31.2599,-8:00,Pacific Time (US & Canada),ivan.garcia@example.com,1949-01-16T05:06:33.517Z,72,2004-07-19T12:29:21.949Z,17,(872)-426-1355,(260)-779-7433,SSN,347-13-0564,https://randomuser.me/api/portraits/men/9.jpg,https://randomuser.me/api/portraits/med/men/9.jpg,https://randomuser.me/api/portraits/thumb/men/9.jpg,US
female,Mrs,Elsie,Prescott,3194,Locust Rd,Hollywood,Mississippi,United States,55210,65.9292,-158.0842,+4:30,Kabul,elsie.prescott@example.com,1975-03-22T04:46:06.040Z,46,2013-03-11T16:39:28.403Z,8,(142)-846-0751,(198)-110-3235,SSN,838-89-1224,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg,US
male,Mr,Warren,Parker,1710,W Sherman Dr,Ventura,Connecticut,United States,53069,-48.0615,-1.6812,-2:00,Mid-Atlantic,warren.parker@example.com,1952-02-11T19:00:44.806Z,69,2013-05-23T20:01:56.439Z,8,(351)-230-0689,(841)-005-1589,SSN,686-37-7126,https://randomuser.me/api/portraits/men/14.jpg,https://randomuser.me/api/portraits/med/men/14.jpg,https://randomuser.me/api/portraits/thumb/men/14.jpg,US
male,Mr,Andre,Long,7472,Edwards Rd,Farmers Branch,New Mexico,United States,31835,-44.4959,-148.4550,-8:00,Pacific Time (US & Canada),andre.long@example.com,1964-02-21T02:25:13.388Z,57,2003-03-13T14:03:06.999Z,18,(681)-814-5999,(220)-448-4237,SSN,845-78-1394,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
male,Mr,Franklin,Peters,8249,E Sandy Lake Rd,Rancho Cucamonga,Florida,United States,38820,-0.4022,-100.8603,-10:00,Hawaii,franklin.peters@example.com,1960-01-26T06:12:50.679Z,61,2017-07-31T11:50:03.477Z,4,(865)-347-2831,(436)-512-3633,SSN,830-06-4882,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Miss,Terra,Craig,5223,Frances Ct,North Las Vegas,Utah,United States,79553,66.6156,-41.9499,-2:00,Mid-Atlantic,terra.craig@example.com,1991-01-12T23:09:25.136Z,30,2003-01-09T02:05:39.771Z,18,(795)-630-9056,(926)-573-3981,SSN,579-65-9682,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
