gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Nevaeh,Hudson,2880,Frances Ct,Buffalo,Rhode Island,United States,23461,58.8713,-123.5768,-3:30,Newfoundland,nevaeh.hudson@example.com,1949-03-04T23:13:53.661Z,72,2010-11-08T22:53:21.753Z,11,(430)-162-1415,(953)-033-9668,SSN,545-36-7288,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Johnny,Wheeler,7676,Robinson Rd,Omaha,Connecticut,United States,78371,-86.5152,-74.3339,-10:00,Hawaii,johnny.wheeler@example.com,1952-12-19T00:21:47.046Z,69,2018-06-05T14:31:00.452Z,3,(605)-411-6197,(794)-373-8066,SSN,736-99-0701,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Ms,Cherly,Brown,490,Pecan Acres Ln,Birmingham,Indiana,United States,48131,5.2891,-27.3903,+5:45,Kathmandu,cherly.brown@example.com,1959-01-19T23:36:15.342Z,62,2014-04-25T11:54:50.009Z,7,(839)-968-0575,(406)-645-3098,SSN,385-51-4097,https://randomuser.me/api/portraits/women/93.jpg,https://randomuser.me/api/portraits/med/women/93.jpg,https://randomuser.me/api/portraits/thumb/women/93.jpg,US
male,Mr,Lloyd,Fernandez,600,Spring St,Great Falls,Washington,United States,50854,9.6761,-35.1966,-3:30,Newfoundland,lloyd.fernandez@example.com,1991-05-02T14:09:41.496Z,30,2006-08-26T16:10:20.334Z,15,(117)-735-1226,(429)-698-7545,SSN,298-27-7951,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Mrs,Katherine,Medina,4805,Lovers Ln,Tampa,Illinois,United States,55555,-0.3330,-86.8849,-9:00,Alaska,katherine.medina@example.com,1967-04-05T13:12:17.943Z,54,2010-02-01T16:26:21.977Z,11,(826)-740-3465,(745)-004-1183,SSN,673-83-7742,https://randomuser.me/api/portraits/women/43.jpg,https://randomuser.me/api/portraits/med/women/43.jpg,https://randomuser.me/api/portraits/thumb/women/43.jpg,US
male,Mr,Alan,Garza,6568,Plum St,Las Vegas,Connecticut,United States,13114,-60.8801,-162.8471,+3:30,Tehran,alan.garza@example.com,1960-11-27T21:32:29.098Z,61,2004-11-29T04:58:58.153Z,17,(021)-556-6577,(987)-993-4668,SSN,345-75-4006,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Jeff,Franklin,8583,College St,Flowermound,Maine,United States,26059,62.1087,-47.2692,-8:00,Pacific Time (US & Canada),jeff.franklin@example.com,1985-08-31T23:54:06.814Z,36,2004-03-09T17:18:39.850Z,17,(233)-202-5949,(772)-299-4365,SSN,778-41-1466,https://randomuser.me/api/portraits/men/58.jpg,https://randomuser.me/api/portraits/med/men/58.jpg,https://randomuser.me/api/portraits/thumb/men/58.jpg,US
male,Mr,Milton,Griffin,6108,Wycliff Ave,Pasadena,Iowa,United States,79646,32.5081,-103.1649,+3:30,Tehran,milton.griffin@example.com,1969-04-06T16:43:25.122Z,52,2012-08-31T16:45:40.023Z,9,(100)-614-9359,(802)-461-5847,SSN,912-13-3983,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Mrs,Naomi,Douglas,1179,Lovers Ln,Denton,Michigan,United States,52386,-84.0300,-156.6300,+5:45,Kathmandu,naomi.douglas@example.com,1970-06-10T20:59:11.483Z,51,2018-08-19T21:27:48.355Z,3,(416)-435-9049,(084)-707-2265,SSN,785-58-6900,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
female,Mrs,Nina,Fuller,6687,Lovers Ln,Utica,Delaware,United States,77912,-59.1814,161.0563,-8:00,Pacific Time (US & Canada),nina.fuller@example.com,1971-07-03T17:33:29.430Z,50,2003-08-14T19:34:57.241Z,18,(112)-138-8837,(706)-418-3471,SSN,085-57-6403,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
