gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Devon,Castillo,4929,Dogwood Ave,Denton,Delaware,United States,15563,-51.0368,-69.3180,-9:00,Alaska,devon.castillo@example.com,1978-06-30T09:44:00.756Z,43,2018-06-29T02:43:58.321Z,3,(405)-547-0186,(588)-075-9601,SSN,233-98-8605,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg,US
female,Ms,Jennifer,Peters,432,Spring St,Tempe,New Hampshire,United States,91582,21.4914,-69.5775,-7:00,Mountain Time (US & Canada),jennifer.peters@example.com,1990-07-04T17:54:09.666Z,31,2006-02-10T05:25:23.394Z,15,(093)-634-9156,(537)-109-7648,SSN,721-96-8975,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Leo,Washington,7676,Rolling Green Rd,Hialeah,Alabama,United States,21304,8.7503,110.8945,-2:00,Mid-Atlantic,leo.washington@example.com,1996-12-11T15:04:00.096Z,25,2007-02-02T17:04:37.799Z,14,(669)-846-5132,(453)-832-7908,SSN,959-09-2118,https://randomuser.me/api/portraits/men/68.jpg,https://randomuser.me/api/portraits/med/men/68.jpg,https://randomuser.me/api/portraits/thumb/men/68.jpg,US
female,Mrs,Sally,Miller,4249,Cherry St,Paterson,Idaho,United States,14280,-29.1949,77.5147,-2:00,Mid-Atlantic,sally.miller@example.com,1946-11-25T00:14:23.470Z,75,2011-10-21T22:21:48.368Z,10,(961)-199-1628,(545)-462-8313,SSN,594-99-0171,https://randomuser.me/api/portraits/women/57.jpg,https://randomuser.me/api/portraits/med/women/57.jpg,https://randomuser.me/api/portraits/thumb/women/57.jpg,US
female,Ms,Penny,Evans,9387,College St,Lansing,Alaska,United States,55146,-31.0980,-172.7096,-8:00,Pacific Time (US & Canada),penny.evans@example.com,1954-10-23T17:20:01.245Z,67,2009-10-13T08:17:06.868Z,12,(952)-547-0620,(884)-345-2648,SSN,253-78-0848,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
female,Miss,Zoey,Allen,951,Ash Dr,Caldwell,Ohio,United States,68820,57.2008,71.4155,-9:00,Alaska,zoey.allen@example.com,1971-04-17T12:49:47.952Z,50,2013-10-30T04:20:33.177Z,8,(506)-179-7055,(545)-060-0890,SSN,044-41-0149,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Clayton,Fowler,6486,Ranchview Dr,Round Rock,Colorado,United States,85633,-42.2599,-134.2080,+3:30,Tehran,clayton.fowler@example.com,1974-09-29T19:41:43.520Z,47,2012-12-31T05:26:59.205Z,9,(614)-543-1272,(543)-930-5401,SSN,886-29-1854,https://randomuser.me/api/portraits/men/82.jpg,https://randomuser.me/api/portraits/med/men/82.jpg,https://randomuser.me/api/portraits/thumb/men/82.jpg,US
female,Mrs,Emma,Wright,9357,Mockingbird Hill,Simi Valley,South Dakota,United States,83794,-79.1506,-6.4326,-9:00,Alaska,emma.wright@example.com,1997-03-01T10:57:39.486Z,24,2015-12-25T12:38:43.226Z,6,(690)-523-5443,(697)-783-8162,SSN,539-09-0283,https://randomuser.me/api/portraits/women/73.jpg,https://randomuser.me/api/portraits/med/women/73.jpg,https://randomuser.me/api/portraits/thumb/women/73.jpg,US
female,Miss,Daisy,Mccoy,3530,Brown Terrace,Yakima,Nevada,United States,40204,82.7411,18.2666,+4:30,Kabul,daisy.mccoy@example.com,1966-09-05T01:40:10.847Z,55,2014-11-27T04:58:20.573Z,7,(253)-912-5384,(554)-255-0512,SSN,488-16-8957,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
female,Mrs,Harper,Garcia,2008,Parker Rd,Kansas City,Connecticut,United States,19312,55.6440,11.6525,-2:00,Mid-Atlantic,harper.garcia@example.com,1959-03-26T02:11:13.856Z,62,2016-03-07T02:02:29.552Z,5,(257)-372-4618,(044)-401-3376,SSN,993-96-8898,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Miss,Shannon,Henry,266,Cackson St,Garland,Pennsylvania,United States,40757,84.9997,155.0312,-8:00,Pacific Time (US & Canada),shannon.henry@example.com,1981-06-29T16:17:01.917Z,40,2016-01-16T09:43:17.063Z,5,(495)-215-5649,(252)-942-6931,SSN,966-72-0794,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
female,Miss,Natalie,Wallace,3986,E Center St,Victorville,Oregon,United States,99163,-47.9457,-66.9111,+5:45,Kathmandu,natalie.wallace@example.com,1945-05-08T20:10:46.347Z,76,2012-08-24T03:14:51.508Z,9,(730)-050-2070,(772)-720-8579,SSN,505-46-4053,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
male,Mr,Hugh,Barrett,8315,Adams St,Fairfield,Oregon,United States,52375,53.5194,-92.5911,+4:30,Kabul,hugh.barrett@example.com,1967-06-07T01:39:30.551Z,54,2016-06-25T05:27:08.174Z,5,(876)-490-8510,(785)-121-0240,SSN,211-53-5971,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
