gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Michael,Mitchell,8834,Avondale Ave,Rialto,Maryland,United States,16094,-1.3864,-39.8158,-8:00,Pacific Time (US & Canada),michael.mitchell@example.com,1949-04-12T22:39:57.953Z,72,2019-08-29T15:06:54.670Z,2,(704)-028-6168,(419)-274-9610,SSN,828-81-9658,https://randomuser.me/api/portraits/men/18.jpg,https://randomuser.me/api/portraits/med/men/18.jpg,https://randomuser.me/api/portraits/thumb/men/18.jpg,US
male,Mr,Dennis,Fox,2724,Marsh Ln,Bridgeport,Kansas,United States,59888,12.8326,141.0545,+4:30,Kabul,dennis.fox@example.com,1986-02-22T20:12:45.306Z,35,2013-09-29T05:06:21.795Z,8,(492)-904-3489,(380)-268-5932,SSN,859-63-7378,https://randomuser.me/api/portraits/men/76.jpg,https://randomuser.me/api/portraits/med/men/76.jpg,https://randomuser.me/api/portraits/thumb/men/76.jpg,US
male,Mr,Jason,Obrien,5606,Daisy Dr,Elk Grove,Mississippi,United States,23018,-35.5018,-50.7890,+5:45,Kathmandu,jason.obrien@example.com,1946-09-09T12:08:33.066Z,75,2010-10-25T04:59:25.617Z,11,(026)-976-8608,(112)-138-8090,SSN,395-56-6518,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
male,Mr,Kevin,Chambers,2323,Lovers Ln,Lancaster,Georgia,United States,59565,-9.6289,5.8287,-10:00,Hawaii,kevin.chambers@example.com,1976-09-24T06:42:56.911Z,45,2017-09-30T00:03:02.589Z,4,(779)-160-4732,(218)-510-4376,SSN,347-91-5241,https://randomuser.me/api/portraits/men/26.jpg,https://randomuser.me/api/portraits/med/men/26.jpg,https://randomuser.me/api/portraits/thumb/men/26.jpg,US
female,Mrs,June,Jimenez,4777,Spring St,Newport News,Tennessee,United States,63853,76.2621,105.7020,+5:45,Kathmandu,june.jimenez@example.com,1949-06-15T09:21:34.370Z,72,2004-01-23T21:46:22.424Z,17,(381)-477-3404,(432)-911-3493,SSN,555-92-8068,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
male,Mr,Devon,Collins,744,Harrison Ct,Chattanooga,Florida,United States,88072,18.1912,-145.1121,+4:30,Kabul,devon.collins@example.com,1972-06-27T08:26:15.952Z,49,2015-04-29T08:47:05.026Z,6,(505)-145-6848,(130)-680-3192,SSN,038-25-5809,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
female,Miss,Carole,Welch,5203,Cackson St,Forney,California,United States,41101,-14.0067,-139.9230,-3:30,Newfoundland,carole.welch@example.com,1956-12-24T17:20:12.346Z,65,2002-12-14T16:33:20.287Z,19,(661)-637-4313,(833)-164-8946,SSN,711-45-0164,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg,US
female,Mrs,Amanda,Alexander,4256,Cackson St,Mcallen,Pennsylvania,United States,86433,-42.6725,-135.0935,+3:30,Tehran,amanda.alexander@example.com,1969-01-26T01:03:15.713Z,52,2010-11-04T23:33:01.155Z,11,(441)-142-1209,(834)-570-7163,SSN,562-05-0221,https://randomuser.me/api/portraits/women/34.jpg,https://randomuser.me/api/portraits/med/women/34.jpg,https://randomuser.me/api/portraits/thumb/women/34.jpg,US
female,Mrs,Bonnie,Hill,1381,Daisy Dr,Cleveland,Oklahoma,United States,57206,66.8033,-37.8441,+4:30,Kabul,bonnie.hill@example.com,1988-11-13T09:04:21.778Z,33,2018-10-20T14:05:12.503Z,3,(625)-891-3979,(352)-538-7422,SSN,231-92-0434,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Nathaniel,Ramos,4965,Eason Rd,Westminster,Nebraska,United States,98832,-62.7721,-139.6279,-9:00,Alaska,nathaniel.ramos@example.com,1987-07-21T08:09:32.773Z,34,2012-04-18T17:29:08.007Z,9,(785)-120-0628,(742)-543-8823,SSN,956-57-5031,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,US
