gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Kyle,Stanley,6115,College St,Mcallen,Utah,United States,91092,46.2138,99.2996,+3:30,Tehran,kyle.stanley@example.com,1962-01-09T21:30:16.041Z,59,2015-04-17T14:17:53.354Z,6,(485)-784-8753,(406)-511-3007,SSN,306-57-2307,https://randomuser.me/api/portraits/men/48.jpg,https://randomuser.me/api/portraits/med/men/48.jpg,https://randomuser.me/api/portraits/thumb/men/48.jpg,US
female,Mrs,Megan,Morrison,5352,Washington Ave,Elgin,Vermont,United States,57383,61.2418,-129.2687,-10:00,Hawaii,megan.morrison@example.com,1960-09-24T15:42:03.277Z,61,2013-09-23T02:05:00.688Z,8,(591)-894-1276,(450)-161-6051,SSN,871-37-5001,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
female,Ms,Isabella,Morrison,6384,Lovers Ln,Cleveland,Oregon,United States,38950,25.1066,-68.9122,-8:00,Pacific Time (US & Canada),isabella.morrison@example.com,1977-07-21T00:38:15.236Z,44,2010-06-02T19:06:00.765Z,11,(566)-041-2595,(699)-623-6621,SSN,175-02-2488,https://randomuser.me/api/portraits/women/83.jpg,https://randomuser.me/api/portraits/med/women/83.jpg,https://randomuser.me/api/portraits/thumb/women/83.jpg,US
female,Mrs,Isabella,Carpenter,1223,Robinson Rd,Green Bay,Rhode Island,United States,78818,88.1198,52.0715,+4:30,Kabul,isabella.carpenter@example.com,1993-09-29T20:19:02.890Z,28,2002-08-15T05:28:34.393Z,19,(995)-512-8174,(878)-211-4133,SSN,464-06-2848,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg,US
male,Mr,Enrique,Green,9988,Robinson Rd,Coral Springs,Connecticut,United States,91829,25.9305,113.0825,-3:30,Newfoundland,enrique.green@example.com,1992-06-29T14:59:16.776Z,29,2008-06-05T19:06:21.053Z,13,(896)-550-7208,(873)-963-2898,SSN,469-18-6057,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
male,Mr,Brad,Crawford,6886,E North St,Brownsville,Rhode Island,United States,49240,49.4738,137.6887,+4:30,Kabul,brad.crawford@example.com,1977-11-04T13:52:31.757Z,44,2005-07-11T21:14:58.113Z,16,(505)-661-5719,(643)-274-8454,SSN,111-03-0304,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Ms,Michelle,Morris,6579,Shady Ln Dr,Mckinney,Arkansas,United States,19124,-29.8323,1.2549,-9:00,Alaska,michelle.morris@example.com,1992-10-24T04:08:14.008Z,29,2012-03-30T08:07:04.027Z,9,(477)-986-1145,(531)-785-3082,SSN,215-60-0587,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg,US
female,Ms,Sherri,Hicks,7665,Karen Dr,Palmdale,Ohio,United States,37576,-73.4932,45.6869,-8:00,Pacific Time (US & Canada),sherri.hicks@example.com,1980-10-09T11:58:27.944Z,41,2018-11-13T08:28:17.505Z,3,(874)-332-4221,(162)-461-1183,SSN,807-47-3671,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
female,Miss,Jo,Rogers,1832,Spring Hill Rd,Kansas City,Georgia,United States,97933,58.2551,-31.1662,+5:45,Kathmandu,jo.rogers@example.com,1980-12-13T21:41:03.843Z,41,2002-05-14T10:51:22.860Z,19,(471)-284-0255,(582)-809-1964,SSN,144-40-8584,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
female,Miss,Danielle,Bailey,1215,Poplar Dr,Inglewood,New Mexico,United States,26825,14.3984,54.5819,-8:00,Pacific Time (US & Canada),danielle.bailey@example.com,1984-05-23T05:44:04.102Z,37,2002-09-30T23:55:54.502Z,19,(704)-943-5132,(602)-670-2729,SSN,386-35-4243,https://randomuser.me/api/portraits/women/42.jpg,https://randomuser.me/api/portraits/med/women/42.jpg,https://randomuser.me/api/portraits/thumb/women/42.jpg,US
