gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Jimmy,Fleming,6358,Dane St,Omaha,Indiana,United States,21733,-38.0025,-34.4507,-2:00,Mid-Atlantic,jimmy.fleming@example.com,1960-01-09T20:53:43.984Z,61,2017-05-11T17:34:43.390Z,4,(122)-641-1853,(073)-321-8624,SSN,290-68-7720,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
female,Miss,Erica,Lewis,116,Hogan St,Lancaster,Connecticut,United States,51726,55.3133,-145.4748,+4:30,Kabul,erica.lewis@example.com,1973-09-18T08:58:53.647Z,48,2004-11-29T18:37:22.236Z,17,(353)-037-4813,(989)-925-7126,SSN,454-75-6338,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
male,Mr,Wade,Horton,6404,Photinia Ave,Shiloh,Tennessee,United States,30488,28.3037,53.1108,-9:00,Alaska,wade.horton@example.com,1948-01-14T04:53:28.747Z,73,2006-12-13T23:50:00.225Z,15,(879)-826-0873,(085)-294-7795,SSN,634-99-7356,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
male,Mr,Duane,Vasquez,4279,Edwards Rd,San Diego,Delaware,United States,30060,-18.0867,6.2156,-3:30,Newfoundland,duane.vasquez@example.com,1992-04-19T10:23:14.490Z,29,2009-11-15T19:18:10.141Z,12,(886)-901-3802,(470)-310-6644,SSN,233-05-6828,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
male,Mr,Erik,Flores,2057,White Oak Dr,Everett,Alabama,United States,98380,41.3366,1.5122,+4:30,Kabul,erik.flores@example.com,1980-11-14T00:13:25.568Z,41,2009-07-18T14:14:10.731Z,12,(123)-504-2973,(751)-462-8741,SSN,675-48-1430,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Morris,Coleman,8769,Spring Hill Rd,Dayton,Colorado,United States,44468,-29.8015,28.8552,-8:00,Pacific Time (US & Canada),morris.coleman@example.com,1946-01-03T10:02:36.076Z,75,2003-03-10T02:01:04.204Z,18,(539)-939-6161,(738)-359-4601,SSN,432-08-3342,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
male,Mr,Jonathan,Wells,3372,Cherry St,Murfreesboro,Kentucky,United States,86404,21.5528,-11.5107,-7:00,Mountain Time (US & Canada),jonathan.wells@example.com,1968-12-21T00:53:50.712Z,53,2019-02-12T21:22:16.347Z,2,(550)-632-5003,(611)-566-8702,SSN,674-44-8627,https://randomuser.me/api/portraits/men/50.jpg,https://randomuser.me/api/portraits/med/men/50.jpg,https://randomuser.me/api/portraits/thumb/men/50.jpg,US
female,Ms,Sarah,Frazier,4302,Fincher Rd,Mesa,Alabama,United States,52428,-73.3966,-126.3272,+3:30,Tehran,sarah.frazier@example.com,1950-02-13T03:05:05.854Z,71,2005-01-06T19:38:40.267Z,16,(779)-194-4755,(503)-517-2327,SSN,706-30-0278,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg,US
female,Ms,Joyce,Gomez,5390,James St,Altoona,Ohio,United States,92281,-6.5794,67.7511,+5:45,Kathmandu,joyce.gomez@example.com,1982-01-14T02:42:24.243Z,39,2002-06-22T20:51:59.051Z,19,(542)-120-6849,(449)-617-9314,SSN,526-82-0279,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
female,Ms,Genesis,Howard,5125,Oak Ridge Ln,Escondido,Washington,United States,34127,-76.4169,-51.2925,-3:30,Newfoundland,genesis.howard@example.com,1969-12-31T09:34:46.677Z,52,2010-05-31T13:03:52.718Z,11,(807)-196-3341,(854)-898-5279,SSN,835-25-2471,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
