gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Clifford,Burton,3392,E Sandy Lake Rd,Chesapeake,Wisconsin,United States,29283,32.6447,-110.8970,-9:00,Alaska,clifford.burton@example.com,1997-07-15T01:49:49.601Z,24,2002-04-18T21:33:32.276Z,19,(586)-964-2598,(857)-932-1360,SSN,951-84-0526,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
female,Miss,Eva,Holland,7695,Washington Ave,South Bend,Nebraska,United States,19863,43.9682,-150.9578,+4:30,Kabul,eva.holland@example.com,1993-09-04T04:47:42.057Z,28,2003-09-25T20:00:36.668Z,18,(763)-730-7590,(246)-924-3325,SSN,404-60-5114,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Tommy,Henry,778,Spring Hill Rd,Dallas,Virginia,United States,96837,-88.5015,-64.4564,-3:30,Newfoundland,tommy.henry@example.com,1971-06-03T15:10:40.726Z,50,2006-09-18T01:38:50.444Z,15,(592)-051-1759,(434)-445-7786,SSN,017-37-0403,https://randomuser.me/api/portraits/men/25.jpg,https://randomuser.me/api/portraits/med/men/25.jpg,https://randomuser.me/api/portraits/thumb/men/25.jpg,US
female,Ms,Gloria,Roberts,7133,Plum St,Miami,Rhode Island,United States,21825,40.1984,117.4813,-7:00,Mountain Time (US & Canada),gloria.roberts@example.com,1983-03-09T15:39:28.016Z,38,2008-06-18T14:53:19.472Z,13,(178)-915-6893,(838)-821-2425,SSN,377-26-5409,https://randomuser.me/api/portraits/women/92.jpg,https://randomuser.me/api/portraits/med/women/92.jpg,https://randomuser.me/api/portraits/thumb/women/92.jpg,US
male,Mr,Vincent,Green,8583,Nowlin Rd,Bellevue,Maine,United States,54438,47.6884,-17.8720,-10:00,Hawaii,vincent.green@example.com,1965-07-08T11:04:31.478Z,56,2014-06-03T22:55:08.814Z,7,(624)-622-9449,(890)-004-6115,SSN,057-93-4171,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
male,Mr,Harry,Anderson,3600,Elgin St,Brownsville,New Hampshire,United States,36879,83.2422,-83.3374,-7:00,Mountain Time (US & Canada),harry.anderson@example.com,1978-05-27T07:06:39.372Z,43,2014-08-27T23:41:02.540Z,7,(704)-705-5219,(536)-192-7231,SSN,780-31-0849,https://randomuser.me/api/portraits/men/29.jpg,https://randomuser.me/api/portraits/med/men/29.jpg,https://randomuser.me/api/portraits/thumb/men/29.jpg,US
male,Mr,Charlie,Jensen,15,Lakeview St,Thousand Oaks,Wisconsin,United States,89114,71.6146,-143.0718,+4:30,Kabul,charlie.jensen@example.com,1994-09-28T04:48:09.151Z,27,2012-01-10T16:28:45.240Z,9,(197)-099-2304,(856)-717-0675,SSN,021-72-4113,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
male,Mr,Connor,Peters,5404,Spring St,Atlanta,Arizona,United States,39604,48.2399,158.7310,+5:45,Kathmandu,connor.peters@example.com,1947-10-20T00:23:58.146Z,74,2003-10-22T07:49:30.687Z,18,(408)-446-3136,(148)-701-2348,SSN,460-53-5287,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Patrick,Murray,4369,Prospect Rd,Augusta,Maine,United States,67375,-67.9083,-129.5644,-2:00,Mid-Atlantic,patrick.murray@example.com,1972-04-02T08:19:05.436Z,49,2015-06-23T01:14:49.609Z,6,(541)-023-7077,(785)-892-1299,SSN,598-62-8764,https://randomuser.me/api/portraits/men/99.jpg,https://randomuser.me/api/portraits/med/men/99.jpg,https://randomuser.me/api/portraits/thumb/men/99.jpg,US
female,Miss,Kathryn,Lopez,6144,Timber Wolf Trail,Birmingham,North Dakota,United States,84392,-64.5164,94.0140,-8:00,Pacific Time (US & Canada),kathryn.lopez@example.com,1994-08-04T01:38:55.125Z,27,2018-12-08T11:45:37.965Z,3,(309)-247-0071,(261)-398-0865,SSN,702-80-0585,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
male,Mr,Derek,Stanley,5716,Photinia Ave,Detroit,Alabama,United States,42975,18.1591,167.6024,+4:30,Kabul,derek.stanley@example.com,1954-07-03T08:50:31.003Z,67,2005-12-01T23:48:37.114Z,16,(725)-426-3613,(731)-595-6353,SSN,638-47-4286,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
