gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Lily,Horton,6603,Harrison Ct,Carlsbad,Colorado,United States,17902,81.5825,27.5212,-9:00,Alaska,lily.horton@example.com,1984-04-16T01:54:05.022Z,37,2014-04-27T12:14:23.685Z,7,(778)-462-9958,(349)-657-2045,SSN,970-56-5391,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
male,Mr,Dave,Andrews,2179,Preston Rd,Nashville,Kansas,United States,59013,-8.9476,55.1964,+3:30,Tehran,dave.andrews@example.com,1980-12-26T16:20:46.085Z,41,2015-06-20T08:58:18.494Z,6,(032)-992-5934,(158)-260-5340,SSN,746-94-5820,https://randomuser.me/api/portraits/men/42.jpg,https://randomuser.me/api/portraits/med/men/42.jpg,https://randomuser.me/api/portraits/thumb/men/42.jpg,US
female,Ms,Marian,Hoffman,908,Sunset St,Addison,Massachusetts,United States,39197,75.9168,77.8835,+5:45,Kathmandu,marian.hoffman@example.com,1974-07-03T00:40:47.984Z,47,2002-12-29T11:14:00.661Z,19,(685)-448-4560,(939)-561-5897,SSN,701-19-4173,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,US
female,Ms,Suzanne,Gordon,2541,Country Club Rd,Anchorage,Ohio,United States,62322,-36.7471,119.8567,+5:45,Kathmandu,suzanne.gordon@example.com,1961-09-17T08:00:44.908Z,60,2015-05-21T22:16:56.554Z,6,(826)-492-4481,(863)-082-2000,SSN,227-63-1019,https://randomuser.me/api/portraits/women/2.jpg,https://randomuser.me/api/portraits/med/women/2.jpg,https://randomuser.me/api/portraits/thumb/women/2.jpg,US
female,Mrs,Ella,Oliver,4070,Hickory Creek Dr,Bueblo,Mississippi,United States,75797,-86.4867,25.1330,+3:30,Tehran,ella.oliver@example.com,1950-12-26T23:05:09.790Z,71,2009-12-24T00:07:43.236Z,12,(414)-543-7375,(830)-753-0421,SSN,804-20-9051,https://randomuser.me/api/portraits/women/56.jpg,https://randomuser.me/api/portraits/med/women/56.jpg,https://randomuser.me/api/portraits/thumb/women/56.jpg,US
male,Mr,Cody,Henry,6092,Rolling Green Rd,Orlando,Alaska,United States,76447,12.3860,173.3252,-8:00,Pacific Time (US & Canada),cody.henry@example.com,1980-01-05T07:28:23.299Z,41,2011-11-25T16:27:19.605Z,10,(241)-231-8305,(191)-807-2273,SSN,439-11-8467,https://randomuser.me/api/portraits/men/2.jpg,https://randomuser.me/api/portraits/med/men/2.jpg,https://randomuser.me/api/portraits/thumb/men/2.jpg,US
female,Ms,Christy,Hunter,3089,Miller Ave,Princeton,Louisiana,United States,13531,28.6268,122.4798,-9:00,Alaska,christy.hunter@example.com,1980-03-20T15:45:41.447Z,41,2015-02-25T19:32:06.558Z,6,(434)-016-7557,(443)-416-3929,SSN,377-22-7026,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,US
female,Ms,Vickie,Scott,3199,Marsh Ln,Gilbert,New Hampshire,United States,85301,44.7216,95.7418,-2:00,Mid-Atlantic,vickie.scott@example.com,1978-08-18T17:47:58.483Z,43,2008-03-10T21:42:39.269Z,13,(699)-424-5953,(735)-876-9389,SSN,361-18-1176,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg,US
female,Ms,Linda,Stanley,9621,Fairview St,Fort Collins,Mississippi,United States,31713,-11.2145,-74.0528,-9:00,Alaska,linda.stanley@example.com,1956-06-14T19:17:04.404Z,65,2006-11-02T17:36:59.136Z,15,(943)-099-5931,(752)-159-8134,SSN,186-25-6097,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg,US
male,Mr,Connor,Murphy,1444,Hickory Creek Dr,Green Bay,Tennessee,United States,11835,-0.4639,1.3856,+3:30,Tehran,connor.murphy@example.com,1975-02-22T15:17:08.878Z,46,2011-10-28T19:20:42.411Z,10,(276)-265-4183,(955)-122-1368,SSN,555-49-2116,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
