gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Lance,Warren,6112,Valwood Pkwy,Bueblo,Montana,United States,69773,85.8640,-147.7872,-10:00,Hawaii,lance.warren@example.com,1996-03-09T01:43:48.693Z,25,2002-08-10T00:41:14.459Z,19,(713)-805-2797,(880)-996-1289,SSN,859-17-7217,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,US
female,Miss,Taylor,Bradley,3508,Spring St,Ontario,Washington,United States,67432,-35.9148,-133.7184,-8:00,Pacific Time (US & Canada),taylor.bradley@example.com,1991-09-12T11:49:42.848Z,30,2004-12-12T12:32:55.220Z,17,(680)-213-9057,(481)-118-1446,SSN,469-50-3644,https://randomuser.me/api/portraits/women/76.jpg,https://randomuser.me/api/portraits/med/women/76.jpg,https://randomuser.me/api/portraits/thumb/women/76.jpg,US
male,Mr,Seth,Wright,3141,Eason Rd,Des Moines,Wyoming,United States,95905,-13.6239,168.1434,+5:45,Kathmandu,seth.wright@example.com,1969-05-17T21:48:35.875Z,52,2013-01-28T13:05:43.814Z,8,(856)-788-2372,(964)-058-6762,SSN,713-72-2894,https://randomuser.me/api/portraits/men/5.jpg,https://randomuser.me/api/portraits/med/men/5.jpg,https://randomuser.me/api/portraits/thumb/men/5.jpg,US
female,Ms,Lois,Garza,794,E Little York Rd,Wichita Falls,Illinois,United States,52141,48.1675,173.3248,+3:30,Tehran,lois.garza@example.com,1959-02-26T22:38:55.959Z,62,2006-12-07T16:47:25.421Z,15,(462)-969-3102,(388)-098-2776,SSN,315-99-2725,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
male,Mr,Alvin,Price,4614,W Sherman Dr,Wichita Falls,South Dakota,United States,86842,15.5220,-176.3626,+4:30,Kabul,alvin.price@example.com,1965-03-28T18:33:04.897Z,56,2011-11-15T11:10:45.014Z,10,(904)-146-8597,(441)-313-5464,SSN,954-09-8358,https://randomuser.me/api/portraits/men/39.jpg,https://randomuser.me/api/portraits/med/men/39.jpg,https://randomuser.me/api/portraits/thumb/men/39.jpg,US
male,Mr,Julian,Nichols,6225,Poplar Dr,Detroit,Michigan,United States,61941,25.9508,112.8009,-7:00,Mountain Time (US & Canada),julian.nichols@example.com,1956-06-06T13:37:40.358Z,65,2017-07-05T22:57:57.033Z,4,(615)-655-9381,(252)-851-5069,SSN,860-06-5871,https://randomuser.me/api/portraits/men/57.jpg,https://randomuser.me/api/portraits/med/men/57.jpg,https://randomuser.me/api/portraits/thumb/men/57.jpg,US
female,Mrs,Hailey,Nichols,7639,Nowlin Rd,Pompano Beach,Tennessee,United States,61225,-30.3619,-10.5903,-9:00,Alaska,hailey.nichols@example.com,1959-05-29T13:16:31.039Z,62,2012-08-20T07:03:22.145Z,9,(762)-062-3393,(973)-427-6837,SSN,038-20-1468,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg,US
male,Mr,Soham,Wright,4063,Wheeler Ridge Dr,El Cajon,Arkansas,United States,74628,89.2145,48.9262,-8:00,Pacific Time (US & Canada),soham.wright@example.com,1959-07-04T10:25:03.057Z,62,2015-07-07T19:39:23.449Z,6,(510)-512-7052,(858)-737-9405,SSN,006-35-1690,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Mrs,Noelle,Green,3700,W Pecan St,Ann Arbor,Colorado,United States,28988,13.8958,-7.3280,-7:00,Mountain Time (US & Canada),noelle.green@example.com,1984-11-19T05:41:41.472Z,37,2013-07-19T16:38:42.606Z,8,(246)-426-5466,(234)-553-5258,SSN,668-08-9396,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
male,Mr,Raymond,Barnett,8930,Central St,Simi Valley,Colorado,United States,62114,57.0821,-84.7024,-10:00,Hawaii,raymond.barnett@example.com,1979-01-29T13:56:43.089Z,42,2002-07-16T20:18:53.979Z,19,(678)-510-5687,(516)-137-4836,SSN,136-23-4075,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
female,Mrs,Jamie,Fields,8473,Northaven Rd,Norwalk,New Hampshire,United States,88055,33.5142,135.3765,+5:45,Kathmandu,jamie.fields@example.com,1985-06-18T08:20:51.390Z,36,2009-09-15T13:03:06.794Z,12,(639)-602-2935,(608)-846-7203,SSN,582-90-4380,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
female,Mrs,Kristen,Austin,6221,Shady Ln Dr,Fontana,South Dakota,United States,70160,-16.8744,166.9042,+3:30,Tehran,kristen.austin@example.com,1947-01-11T10:08:02.092Z,74,2009-04-14T06:21:27.763Z,12,(783)-994-6055,(421)-921-6202,SSN,262-79-9199,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg,US
