gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Mrs,Marsha,White,2755,Thornridge Cir,Broken Arrow,New Jersey,United States,50794,55.4726,6.6749,+3:30,Tehran,marsha.white@example.com,1987-04-05T01:55:03.261Z,34,2004-02-22T09:02:47.059Z,17,(326)-712-6371,(996)-771-6809,SSN,202-97-5030,https://randomuser.me/api/portraits/women/53.jpg,https://randomuser.me/api/portraits/med/women/53.jpg,https://randomuser.me/api/portraits/thumb/women/53.jpg,US
male,Mr,Travis,Day,6685,Spring St,Everett,Maryland,United States,24408,51.8176,-173.6973,-9:00,Alaska,travis.day@example.com,1946-12-22T07:55:11.500Z,75,2006-02-25T11:18:37.687Z,15,(680)-393-7329,(317)-247-3203,SSN,213-47-0905,https://randomuser.me/api/portraits/men/15.jpg,https://randomuser.me/api/portraits/med/men/15.jpg,https://randomuser.me/api/portraits/thumb/men/15.jpg,US
female,Mrs,June,James,7433,Hogan St,West Palm Beach,Ohio,United States,34103,-5.1746,-174.3241,+4:30,Kabul,june.james@example.com,1951-03-07T04:00:27.819Z,70,2014-03-07T06:25:28.991Z,7,(931)-696-6542,(940)-670-7277,SSN,691-37-9439,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
male,Mr,Christian,Jackson,7882,Poplar Dr,Toledo,Utah,United States,47455,32.9235,-149.1804,-10:00,Hawaii,christian.jackson@example.com,1976-03-07T16:28:44.692Z,45,2007-09-08T12:31:28.399Z,14,(623)-744-4935,(691)-482-9123,SSN,579-63-6870,https://randomuser.me/api/portraits/men/11.jpg,https://randomuser.me/api/portraits/med/men/11.jpg,https://randomuser.me/api/portraits/thumb/men/11.jpg,US
male,Mr,Don,Hernandez,3773,Homestead Rd,Oxnard,New Hampshire,United States,45949,-40.1893,-77.7600,+3:30,Tehran,don.hernandez@example.com,1962-10-15T07:34:12.041Z,59,2019-08-19T16:46:11.089Z,2,(058)-032-4071,(515)-904-0096,SSN,293-03-6773,https://randomuser.me/api/portraits/men/79.jpg,https://randomuser.me/api/portraits/med/men/79.jpg,https://randomuser.me/api/portraits/thumb/men/79.jpg,US
female,Ms,Kim,Robinson,325,Country Club Rd,Lexington,North Carolina,United States,66488,42.0794,-106.9376,-2:00,Mid-Atlantic,kim.robinson@example.com,1985-10-31T22:47:03.357Z,36,2010-04-09T08:15:19.151Z,11,(979)-733-8477,(241)-224-9498,SSN,389-10-0608,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
male,Mr,Walter,Moore,3505,Fairview St,Saginaw,Kentucky,United States,75832,-2.2833,-63.3156,-2:00,Mid-Atlantic,walter.moore@example.com,1975-09-27T19:59:15.852Z,46,2008-05-27T13:16:40.721Z,13,(424)-057-0766,(450)-388-0080,SSN,224-99-5411,https://randomuser.me/api/portraits/men/21.jpg,https://randomuser.me/api/portraits/med/men/21.jpg,https://randomuser.me/api/portraits/thumb/men/21.jpg,US
male,Mr,Willard,Reyes,6049,Rolling Green Rd,Huntington Beach,Washington,United States,19501,30.4534,-98.0669,-7:00,Mountain Time (US & Canada),willard.reyes@example.com,1949-07-04T07:22:47.465Z,72,2018-05-08T13:00:42.333Z,3,(228)-599-1300,(384)-043-4165,SSN,428-36-1189,https://randomuser.me/api/portraits/men/12.jpg,https://randomuser.me/api/portraits/med/men/12.jpg,https://randomuser.me/api/portraits/thumb/men/12.jpg,US
female,Miss,Laurie,Scott,7414,Bollinger Rd,Waco,Rhode Island,United States,27357,57.1155,145.8949,-8:00,Pacific Time (US & Canada),laurie.scott@example.com,1973-12-25T13:42:08.031Z,48,2002-12-04T02:53:47.418Z,19,(906)-548-5107,(240)-968-3145,SSN,843-45-2693,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
male,Mr,Jorge,Austin,1927,Timber Wolf Trail,Syracuse,Washington,United States,93492,46.9503,-29.4323,+3:30,Tehran,jorge.austin@example.com,1982-05-23T02:22:33.825Z,39,2009-04-21T11:51:55.911Z,12,(316)-427-9925,(023)-593-3043,SSN,772-92-9533,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
