gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Sergio,Miller,3418,Hillcrest Rd,Montgomery,Mississippi,United States,63157,44.2265,-130.3740,+5:45,Kathmandu,sergio.miller@example.com,1952-03-05T13:14:26.805Z,69,2015-12-21T23:59:14.493Z,6,(890)-408-4416,(068)-115-4613,SSN,584-68-2285,https://randomuser.me/api/portraits/men/46.jpg,https://randomuser.me/api/portraits/med/men/46.jpg,https://randomuser.me/api/portraits/thumb/men/46.jpg,US
male,Mr,Guy,Payne,5901,Valwood Pkwy,Irving,Alabama,United States,68583,37.6599,49.7628,-9:00,Alaska,guy.payne@example.com,1952-03-15T12:15:39.399Z,69,2009-12-24T03:26:13.234Z,12,(262)-084-4654,(365)-383-9733,SSN,478-63-5082,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Ross,Wade,5898,Ash Dr,Fresno,Minnesota,United States,89878,-68.6450,-4.3775,-7:00,Mountain Time (US & Canada),ross.wade@example.com,1970-07-30T02:52:53.822Z,51,2009-05-13T03:21:30.717Z,12,(500)-680-2547,(772)-886-6607,SSN,547-46-5976,https://randomuser.me/api/portraits/men/24.jpg,https://randomuser.me/api/portraits/med/men/24.jpg,https://randomuser.me/api/portraits/thumb/men/24.jpg,US
female,Ms,Diana,Welch,6524,Central St,Abilene,Washington,United States,32311,-57.5857,-34.8517,-3:30,Newfoundland,diana.welch@example.com,1971-09-30T11:30:41.937Z,50,2005-04-15T13:58:20.258Z,16,(660)-820-4576,(723)-930-8867,SSN,459-13-7597,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
male,Mr,Edgar,Walker,8528,First Street,Grand Rapids,Kentucky,United States,76043,75.9235,-147.8071,-7:00,Mountain Time (US & Canada),edgar.walker@example.com,1995-03-15T06:39:26.015Z,26,2009-07-11T23:53:30.816Z,12,(878)-643-5620,(575)-705-7383,SSN,918-11-4818,https://randomuser.me/api/portraits/men/41.jpg,https://randomuser.me/api/portraits/med/men/41.jpg,https://randomuser.me/api/portraits/thumb/men/41.jpg,US
female,Ms,Rosa,Day,5697,Adams St,Elk Grove,Texas,United States,85361,58.8321,-160.2543,-7:00,Mountain Time (US & Canada),rosa.day@example.com,1991-09-27T00:11:38.296Z,30,2012-10-03T02:24:31.813Z,9,(933)-374-1898,(800)-489-4834,SSN,168-15-3603,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg,US
female,Ms,Jo,Warren,2434,W Campbell Ave,Lancaster,Virginia,United States,87257,-89.8449,157.1399,+5:45,Kathmandu,jo.warren@example.com,1982-05-12T09:50:08.797Z,39,2017-04-13T04:32:30.352Z,4,(860)-028-5816,(836)-309-9200,SSN,442-09-9448,https://randomuser.me/api/portraits/women/8.jpg,https://randomuser.me/api/portraits/med/women/8.jpg,https://randomuser.me/api/portraits/thumb/women/8.jpg,US
female,Ms,Carolyn,Torres,6858,W Dallas St,Virginia Beach,California,United States,40501,-3.5506,-139.4818,+3:30,Tehran,carolyn.torres@example.com,1977-08-23T04:22:29.102Z,44,2004-06-02T12:41:43.114Z,17,(656)-777-6727,(321)-048-6540,SSN,128-28-1453,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Miss,Kathy,Murphy,1707,Fairview St,Billings,Maine,United States,46686,18.2885,-94.4329,-7:00,Mountain Time (US & Canada),kathy.murphy@example.com,1980-09-07T13:44:32.528Z,41,2007-09-08T18:23:07.556Z,14,(630)-455-6444,(170)-549-0674,SSN,013-94-0317,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg,US
female,Miss,Misty,Brewer,5286,E Sandy Lake Rd,Modesto,Florida,United States,47726,-71.4777,-77.1420,-2:00,Mid-Atlantic,misty.brewer@example.com,1967-04-01T11:29:30.738Z,54,2017-11-08T03:30:30.958Z,4,(154)-248-4144,(996)-711-5228,SSN,678-76-8297,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Miss,Joan,Wallace,8037,Blossom Hill Rd,Augusta,Vermont,United States,41500,16.5436,20.7632,-3:30,Newfoundland,joan.wallace@example.com,1969-04-09T08:51:11.107Z,52,2007-08-13T00:10:56.574Z,14,(062)-923-2405,(731)-495-0999,SSN,751-73-4016,https://randomuser.me/api/portraits/women/36.jpg,https://randomuser.me/api/portraits/med/women/36.jpg,https://randomuser.me/api/portraits/thumb/women/36.jpg,US
male,Mr,Louis,Turner,6323,W Gray St,Charleston,North Dakota,United States,66781,67.3619,-175.8010,-2:00,Mid-Atlantic,louis.turner@example.com,1961-01-30T21:53:28.290Z,60,2002-10-17T19:41:27.334Z,19,(536)-915-9654,(856)-355-6280,SSN,861-92-6000,https://randomuser.me/api/portraits/men/78.jpg,https://randomuser.me/api/portraits/med/men/78.jpg,https://randomuser.me/api/portraits/thumb/men/78.jpg,US
