gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Suzanne,Griffin,3246,Valwood Pkwy,Frisco,Rhode Island,United States,23429,-86.8673,-41.2998,-9:00,Alaska,suzanne.griffin@example.com,1966-06-19T12:45:18.494Z,55,2010-10-07T17:02:23.148Z,11,(806)-159-2418,(488)-840-3305,SSN,571-79-9134,https://randomuser.me/api/portraits/women/51.jpg,https://randomuser.me/api/portraits/med/women/51.jpg,https://randomuser.me/api/portraits/thumb/women/51.jpg,US
female,Miss,Naomi,Hughes,6683,Spring St,Salt Lake City,Louisiana,United States,11334,-17.4159,-4.2971,-7:00,Mountain Time (US & Canada),naomi.hughes@example.com,1980-10-10T15:15:58.371Z,41,2006-01-07T11:39:43.883Z,15,(044)-883-2654,(049)-502-4516,SSN,200-85-1190,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg,US
female,Miss,Priscilla,Romero,1894,W Dallas St,Pomona,New Mexico,United States,38357,-26.0072,-88.0562,-3:30,Newfoundland,priscilla.romero@example.com,1950-01-16T17:05:15.766Z,71,2004-07-12T05:30:16.701Z,17,(570)-371-9998,(063)-958-5202,SSN,557-20-6439,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
female,Mrs,Amber,Gonzales,9301,Oak Lawn Ave,Aurora,South Dakota,United States,14031,-32.9838,-155.0548,+4:30,Kabul,amber.gonzales@example.com,1961-07-12T15:57:45.955Z,60,2015-08-11T08:42:59.303Z,6,(702)-593-4933,(688)-366-3416,SSN,171-18-5905,https://randomuser.me/api/portraits/women/70.jpg,https://randomuser.me/api/portraits/med/women/70.jpg,https://randomuser.me/api/portraits/thumb/women/70.jpg,US
female,Ms,Sherry,Foster,455,First Street,Visalia,Indiana,United States,65666,-63.2136,7.1481,-10:00,Hawaii,sherry.foster@example.com,1954-10-11T14:06:32.449Z,67,2015-05-27T12:09:39.931Z,6,(167)-473-1807,(947)-675-6075,SSN,646-11-2859,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg,US
female,Ms,Vivan,Peck,1282,Eason Rd,Rancho Cucamonga,Nebraska,United States,35921,-73.5355,85.7714,-10:00,Hawaii,vivan.peck@example.com,1980-12-31T02:16:31.885Z,41,2009-03-05T07:30:13.374Z,12,(572)-470-2936,(687)-966-9703,SSN,282-42-8518,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg,US
male,Mr,Harold,Sullivan,3020,Poplar Dr,Cedar Hill,Colorado,United States,77285,-89.0406,40.1992,+3:30,Tehran,harold.sullivan@example.com,1992-03-14T04:26:20.503Z,29,2005-07-02T15:54:16.386Z,16,(648)-984-0287,(189)-282-7947,SSN,524-02-3964,https://randomuser.me/api/portraits/men/45.jpg,https://randomuser.me/api/portraits/med/men/45.jpg,https://randomuser.me/api/portraits/thumb/men/45.jpg,US
female,Ms,Paula,Barnett,2119,Cherry St,Albany,Kentucky,United States,61264,-52.1437,-63.7241,+5:45,Kathmandu,paula.barnett@example.com,1947-05-02T14:56:11.750Z,74,2014-02-10T07:40:44.718Z,7,(649)-171-9196,(533)-093-9098,SSN,136-11-1829,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Mrs,Jenny,Mitchelle,9618,W Dallas St,Waterbury,Connecticut,United States,14205,63.5769,159.2221,-10:00,Hawaii,jenny.mitchelle@example.com,1998-01-23T00:43:04.383Z,23,2017-06-19T19:27:34.300Z,4,(260)-814-4341,(163)-249-6714,SSN,286-02-7677,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,US
female,Miss,Frances,Flores,5362,Miller Ave,St. Petersburg,New Mexico,United States,71727,-81.9768,20.4843,-2:00,Mid-Atlantic,frances.flores@example.com,1996-11-16T05:13:14.861Z,25,2002-04-23T17:41:01.323Z,19,(211)-235-3005,(524)-550-5255,SSN,592-75-6747,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
