gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Marc,Wood,3517,Harrison Ct,Temecula,Rhode Island,United States,39274,39.6883,-124.9382,+4:30,Kabul,marc.wood@example.com,1982-05-10T12:01:10.395Z,39,2019-09-19T13:32:29.528Z,2,(393)-066-7252,(170)-679-1220,SSN,524-73-1774,https://randomuser.me/api/portraits/men/54.jpg,https://randomuser.me/api/portraits/med/men/54.jpg,https://randomuser.me/api/portraits/thumb/men/54.jpg,US
female,Mrs,Debra,Powell,9707,First Street,Newark,Utah,United States,88791,49.3163,75.8200,-7:00,Mountain Time (US & Canada),debra.powell@example.com,1946-11-16T17:11:14.792Z,75,2002-11-30T00:40:35.554Z,19,(375)-862-5320,(013)-648-2285,SSN,613-30-2243,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg,US
female,Miss,Nellie,Mitchell,8603,Thornridge Cir,San Bernardino,Wyoming,United States,86201,-31.4574,-151.0288,-2:00,Mid-Atlantic,nellie.mitchell@example.com,1972-07-24T14:48:46.481Z,49,2019-03-13T03:49:44.522Z,2,(891)-965-5342,(594)-833-6204,SSN,492-64-0338,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,US
male,Mr,John,Dunn,342,Valwood Pkwy,South Bend,Maryland,United States,40236,50.4176,123.1401,-3:30,Newfoundland,john.dunn@example.com,1977-07-29T00:20:00.153Z,44,2012-09-06T10:29:10.457Z,9,(571)-951-0182,(384)-010-6685,SSN,338-32-1711,https://randomuser.me/api/portraits/men/94.jpg,https://randomuser.me/api/portraits/med/men/94.jpg,https://randomuser.me/api/portraits/thumb/men/94.jpg,US
male,Mr,Juan,Lucas,2085,Hamilton Ave,Pompano Beach,New Hampshire,United States,31720,69.6394,167.4633,+4:30,Kabul,juan.lucas@example.com,1954-03-29T10:54:13.346Z,67,2013-01-20T05:14:31.324Z,8,(312)-640-3035,(603)-663-2866,SSN,750-41-6886,https://randomuser.me/api/portraits/men/97.jpg,https://randomuser.me/api/portraits/med/men/97.jpg,https://randomuser.me/api/portraits/thumb/men/97.jpg,US
male,Mr,Nathan,Byrd,166,Lakeshore Rd,San Antonio,Kansas,United States,26358,-69.7163,-129.4884,-9:00,Alaska,nathan.byrd@example.com,1974-11-22T00:38:34.425Z,47,2018-12-30T05:53:50.886Z,3,(818)-639-6963,(345)-359-4408,SSN,402-94-8899,https://randomuser.me/api/portraits/men/17.jpg,https://randomuser.me/api/portraits/med/men/17.jpg,https://randomuser.me/api/portraits/thumb/men/17.jpg,US
female,Mrs,Sofia,Daniels,3368,Thornridge Cir,Tacoma,Virginia,United States,62717,-87.5528,-47.0111,-2:00,Mid-Atlantic,sofia.daniels@example.com,1972-03-15T09:04:42.246Z,49,2018-02-06T09:58:50.914Z,3,(706)-611-6465,(451)-326-8327,SSN,761-02-9620,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
male,Mr,Connor,Arnold,4158,Hogan St,Santa Ana,Pennsylvania,United States,94045,-8.7083,-107.6203,+4:30,Kabul,connor.arnold@example.com,1990-01-15T02:50:05.243Z,31,2002-04-15T14:32:01.853Z,19,(038)-934-5628,(382)-815-4467,SSN,089-04-4481,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Julian,Newman,7550,Ranchview Dr,Iowa Park,Maryland,United States,74575,-26.7817,-170.3332,+4:30,Kabul,julian.newman@example.com,1955-10-24T16:02:09.415Z,66,2004-03-21T15:28:34.334Z,17,(237)-842-4554,(367)-898-8053,SSN,851-07-6478,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
male,Mr,Ron,Beck,762,White Oak Dr,Toledo,South Dakota,United States,25422,34.8248,149.9710,+4:30,Kabul,ron.beck@example.com,1970-08-24T22:32:53.931Z,51,2015-07-30T21:53:59.637Z,6,(843)-742-0828,(217)-028-7099,SSN,359-98-2271,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
female,Miss,Vickie,May,5351,Samaritan Dr,Vallejo,North Carolina,United States,52022,-74.5125,-157.6584,-2:00,Mid-Atlantic,vickie.may@example.com,1978-06-28T07:19:36.039Z,43,2011-03-03T23:22:52.011Z,10,(304)-596-4765,(588)-523-6625,SSN,168-26-6793,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
female,Miss,Sheila,Freeman,7135,Robinson Rd,Waterbury,Nevada,United States,88831,1.8308,-166.5686,+3:30,Tehran,sheila.freeman@example.com,1959-01-18T06:44:25.025Z,62,2018-06-17T10:33:44.460Z,3,(652)-624-6523,(490)-419-9862,SSN,363-53-7050,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
female,Mrs,Hannah,Craig,6352,Preston Rd,Boulder,Idaho,United States,63075,82.4126,-117.8672,-8:00,Pacific Time (US & Canada),hannah.craig@example.com,1949-02-04T23:58:34.532Z,72,2008-03-29T11:35:48.091Z,13,(855)-498-6901,(577)-666-5802,SSN,987-99-2880,https://randomuser.me/api/portraits/women/71.jpg,https://randomuser.me/api/portraits/med/women/71.jpg,https://randomuser.me/api/portraits/thumb/women/71.jpg,US
male,Mr,Roberto,Henry,9206,Saddle Dr,Anaheim,Arkansas,United States,65709,28.1886,-22.2252,-9:00,Alaska,roberto.henry@example.com,1968-01-16T09:36:42.417Z,53,2017-02-06T18:03:16.222Z,4,(875)-962-1976,(604)-095-1939,SSN,541-25-5523,https://randomuser.me/api/portraits/men/70.jpg,https://randomuser.me/api/portraits/med/men/70.jpg,https://randomuser.me/api/portraits/thumb/men/70.jpg,US
female,Ms,Beatrice,Lopez,7784,W Sherman Dr,Dayton,New York,United States,94138,-53.4260,116.6990,-2:00,Mid-Atlantic,beatrice.lopez@example.com,1962-05-03T03:34:18.413Z,59,2004-12-31T19:11:15.551Z,17,(862)-997-9692,(361)-959-9197,SSN,119-99-4092,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
female,Mrs,Loretta,Evans,1095,Locust Rd,Port St. Lucie,New Jersey,United States,15076,15.6187,-125.8487,+5:45,Kathmandu,loretta.evans@example.com,1974-09-11T07:41:32.031Z,47,2006-09-18T22:33:10.938Z,15,(895)-293-5018,(523)-270-5616,SSN,642-58-2285,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,US
female,Miss,April,Banks,9092,Daisy Dr,Tacoma,Delaware,United States,19714,-6.3306,-151.6411,-9:00,Alaska,april.banks@example.com,1963-08-08T20:43:17.838Z,58,2003-08-18T15:13:35.954Z,18,(707)-677-2212,(883)-541-8426,SSN,306-92-2603,https://randomuser.me/api/portraits/women/96.jpg,https://randomuser.me/api/portraits/med/women/96.jpg,https://randomuser.me/api/portraits/thumb/women/96.jpg,US
