gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Kylie,Hudson,5524,Fairview St,Lansing,Alaska,United States,74945,50.3755,10.8894,+3:30,Tehran,kylie.hudson@example.com,1993-12-13T14:24:13.485Z,28,2010-06-11T07:47:08.048Z,11,(637)-452-7574,(879)-173-4889,SSN,847-13-0186,https://randomuser.me/api/portraits/women/94.jpg,https://randomuser.me/api/portraits/med/women/94.jpg,https://randomuser.me/api/portraits/thumb/women/94.jpg,US
female,Miss,Bernice,Mills,2065,E Pecan St,New York,North Dakota,United States,51392,-2.8707,137.5644,+4:30,Kabul,bernice.mills@example.com,1991-09-19T04:20:12.409Z,30,2012-12-13T22:50:14.175Z,9,(849)-762-3226,(379)-716-7271,SSN,255-95-6167,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
female,Ms,Maureen,Rogers,3779,Oak Ridge Ln,Oxnard,South Carolina,United States,77300,-37.4790,-14.0004,-7:00,Mountain Time (US & Canada),maureen.rogers@example.com,1948-11-08T19:29:21.124Z,73,2018-09-09T18:25:32.188Z,3,(098)-209-5117,(588)-620-1272,SSN,855-84-6384,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,US
male,Mr,Allan,Kennedy,4703,Washington Ave,Saint Paul,Delaware,United States,50303,18.3023,-147.0528,-7:00,Mountain Time (US & Canada),allan.kennedy@example.com,1991-11-24T12:05:13.064Z,30,2004-09-26T03:05:41.286Z,17,(650)-680-8893,(735)-276-5181,SSN,484-08-1514,https://randomuser.me/api/portraits/men/16.jpg,https://randomuser.me/api/portraits/med/men/16.jpg,https://randomuser.me/api/portraits/thumb/men/16.jpg,US
female,Mrs,Dianne,Montgomery,3884,Miller Ave,Phoenix,Michigan,United States,31626,-11.4318,-92.0261,+3:30,Tehran,dianne.montgomery@example.com,1997-07-05T22:00:05.009Z,24,2007-12-22T14:37:30.983Z,14,(744)-960-7455,(216)-204-4345,SSN,687-46-6528,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Frank,Harper,6516,Smokey Ln,Murfreesboro,Alabama,United States,24104,-30.5422,-127.3652,-3:30,Newfoundland,frank.harper@example.com,1951-08-16T06:24:33.341Z,70,2007-01-28T15:18:34.276Z,14,(520)-144-0952,(598)-937-3019,SSN,780-69-1220,https://randomuser.me/api/portraits/men/63.jpg,https://randomuser.me/api/portraits/med/men/63.jpg,https://randomuser.me/api/portraits/thumb/men/63.jpg,US
male,Mr,Morris,Taylor,6857,E Sandy Lake Rd,Elizabeth,New York,United States,23858,72.2761,-78.9350,-2:00,Mid-Atlantic,morris.taylor@example.com,1972-07-04T11:15:23.639Z,49,2004-02-21T14:56:06.506Z,17,(162)-668-1065,(054)-142-1516,SSN,655-36-1578,https://randomuser.me/api/portraits/men/85.jpg,https://randomuser.me/api/portraits/med/men/85.jpg,https://randomuser.me/api/portraits/thumb/men/85.jpg,US
male,Mr,Everett,Gregory,4645,N Stelling Rd,Addison,New Jersey,United States,38152,21.6690,111.0794,-8:00,Pacific Time (US & Canada),everett.gregory@example.com,1995-05-12T19:58:53.008Z,26,2019-03-18T01:15:23.773Z,2,(928)-341-5199,(555)-529-7202,SSN,531-04-5900,https://randomuser.me/api/portraits/men/65.jpg,https://randomuser.me/api/portraits/med/men/65.jpg,https://randomuser.me/api/portraits/thumb/men/65.jpg,US
male,Mr,Daniel,Rhodes,8510,Depaul Dr,Santa Clara,Idaho,United States,55066,-80.7121,-7.9420,+5:45,Kathmandu,daniel.rhodes@example.com,1996-02-15T17:10:43.643Z,25,2015-08-24T20:49:06.817Z,6,(634)-676-7355,(389)-506-4316,SSN,783-04-9048,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
male,Mr,Lawrence,Gardner,129,First Street,Albany,Wyoming,United States,48968,-60.5023,-125.1714,+5:45,Kathmandu,lawrence.gardner@example.com,1961-02-19T04:46:41.574Z,60,2003-11-25T18:28:54.961Z,18,(257)-937-7061,(198)-298-7056,SSN,376-62-8104,https://randomuser.me/api/portraits/men/7.jpg,https://randomuser.me/api/portraits/med/men/7.jpg,https://randomuser.me/api/portraits/thumb/men/7.jpg,US
female,Ms,Jennifer,Morrison,4330,E Pecan St,Salt Lake City,Oregon,United States,47721,-48.1184,-155.4737,-8:00,Pacific Time (US & Canada),jennifer.morrison@example.com,1991-11-20T21:23:50.160Z,30,2016-04-28T20:03:17.193Z,5,(456)-999-6021,(679)-105-7070,SSN,269-11-4222,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg,US
