gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
male,Mr,Brandon,Garcia,4935,Avondale Ave,Princeton,California,United States,31386,-55.5413,-93.1610,+4:30,Kabul,brandon.garcia@example.com,1973-08-09T06:11:24.808Z,48,2014-05-28T03:31:10.504Z,7,(933)-054-6373,(783)-205-7149,SSN,364-20-2623,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Miss,Tara,Gutierrez,1630,Thornridge Cir,Ontario,Montana,United States,28581,17.9257,-122.8895,+5:45,Kathmandu,tara.gutierrez@example.com,1954-02-15T18:38:36.119Z,67,2003-05-03T14:43:57.971Z,18,(935)-666-7447,(489)-682-7669,SSN,327-03-4858,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,US
female,Mrs,Tina,James,4847,Karen Dr,Utica,Delaware,United States,76721,-62.4865,-177.5806,-9:00,Alaska,tina.james@example.com,1966-09-20T16:44:57.865Z,55,2017-04-25T07:54:19.832Z,4,(219)-487-1339,(847)-413-4178,SSN,124-83-0696,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg,US
male,Mr,Dale,Watson,7530,Sunset St,Anna,Maryland,United States,96888,-15.0938,-142.5504,-9:00,Alaska,dale.watson@example.com,1974-09-20T12:25:26.477Z,47,2003-05-25T10:34:50.330Z,18,(734)-960-7588,(461)-041-8695,SSN,083-65-7747,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Mrs,Erin,Olson,4718,Paddock Way,Gainesville,West Virginia,United States,37083,-27.7037,-105.2318,-10:00,Hawaii,erin.olson@example.com,1958-09-24T15:30:54.390Z,63,2017-11-03T13:23:57.178Z,4,(136)-675-2984,(083)-926-7004,SSN,118-93-9356,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Ms,Celina,Carlson,6144,Shady Ln Dr,Medford,North Dakota,United States,74676,-66.1724,91.0978,-2:00,Mid-Atlantic,celina.carlson@example.com,1958-02-11T06:11:56.046Z,63,2019-05-10T09:39:08.074Z,2,(760)-173-1598,(061)-645-4223,SSN,818-38-8256,https://randomuser.me/api/portraits/women/87.jpg,https://randomuser.me/api/portraits/med/women/87.jpg,https://randomuser.me/api/portraits/thumb/women/87.jpg,US
female,Miss,Lucille,Jackson,3030,Cackson St,Plano,Kentucky,United States,64035,6.0157,-63.4734,-10:00,Hawaii,lucille.jackson@example.com,1944-12-07T22:21:24.900Z,77,2002-04-20T17:54:44.456Z,19,(928)-317-7398,(064)-275-7956,SSN,459-08-7238,https://randomuser.me/api/portraits/women/61.jpg,https://randomuser.me/api/portraits/med/women/61.jpg,https://randomuser.me/api/portraits/thumb/women/61.jpg,US
male,Mr,Cameron,Smith,8346,Wycliff Ave,Naperville,Missouri,United States,36182,-21.5038,47.0353,+3:30,Tehran,cameron.smith@example.com,1990-08-19T16:56:21.659Z,31,2016-02-26T01:25:16.294Z,5,(500)-203-3772,(611)-079-8470,SSN,273-20-8106,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,US
female,Mrs,Pamela,Obrien,8036,First Street,Bakersfield,Idaho,United States,63915,5.0576,-18.3349,-8:00,Pacific Time (US & Canada),pamela.obrien@example.com,1980-06-01T02:24:15.957Z,41,2007-03-20T06:28:56.148Z,14,(422)-563-0722,(296)-260-1763,SSN,243-47-6719,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg,US
female,Mrs,Erin,Lucas,5578,Harrison Ct,Worcester,Texas,United States,38893,-75.3957,31.6970,-3:30,Newfoundland,erin.lucas@example.com,1954-10-31T09:49:04.700Z,67,2014-09-19T05:37:20.647Z,7,(830)-864-1985,(305)-246-2146,SSN,566-13-9719,https://randomuser.me/api/portraits/women/3.jpg,https://randomuser.me/api/portraits/med/women/3.jpg,https://randomuser.me/api/portraits/thumb/women/3.jpg,US
