gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Lillian,Frazier,3836,W Dallas St,Tacoma,New Hampshire,United States,45557,64.5938,168.0241,-8:00,Pacific Time (US & Canada),lillian.frazier@example.com,1962-05-04T17:16:20.332Z,59,2006-06-06T01:14:55.864Z,15,(638)-850-1983,(517)-831-9148,SSN,858-94-6307,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
female,Ms,Yvonne,Reynolds,7302,Washington Ave,Ontario,Idaho,United States,60354,58.9289,152.7438,-7:00,Mountain Time (US & Canada),yvonne.reynolds@example.com,1945-03-04T21:28:10.880Z,76,2010-07-21T13:27:51.595Z,11,(407)-128-1788,(525)-096-8511,SSN,991-58-3107,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Miss,Hilda,Fox,9046,Edwards Rd,Dallas,Virginia,United States,88964,-75.2947,124.7637,-7:00,Mountain Time (US & Canada),hilda.fox@example.com,1979-04-22T22:29:18.631Z,42,2014-08-09T00:44:50.687Z,7,(670)-319-0655,(867)-136-6247,SSN,839-92-0368,https://randomuser.me/api/portraits/women/49.jpg,https://randomuser.me/api/portraits/med/women/49.jpg,https://randomuser.me/api/portraits/thumb/women/49.jpg,US
male,Mr,Ritthy,Rogers,8884,Mockingbird Ln,Rochmond,South Dakota,United States,24638,-80.2565,-176.5173,-2:00,Mid-Atlantic,ritthy.rogers@example.com,1976-10-29T17:49:08.223Z,45,2017-12-02T12:23:05.926Z,4,(148)-413-9379,(643)-579-8044,SSN,821-49-9747,https://randomuser.me/api/portraits/men/47.jpg,https://randomuser.me/api/portraits/med/men/47.jpg,https://randomuser.me/api/portraits/thumb/men/47.jpg,US
male,Mr,Howard,Wood,2477,Homestead Rd,Virginia Beach,Tennessee,United States,85390,86.7309,140.4426,-7:00,Mountain Time (US & Canada),howard.wood@example.com,1978-02-01T17:19:31.719Z,43,2002-11-24T06:49:18.455Z,19,(632)-487-0757,(527)-496-9174,SSN,931-04-0326,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,US
male,Mr,Bernard,Walters,658,Stevens Creek Blvd,Buffalo,New Hampshire,United States,44793,-84.0447,130.7448,+3:30,Tehran,bernard.walters@example.com,1959-01-30T15:58:24.266Z,62,2007-11-30T09:28:50.267Z,14,(919)-064-2093,(156)-255-0194,SSN,233-99-5564,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
male,Mr,Louis,Hart,8840,Spring St,Yonkers,New York,United States,72519,74.9274,122.1410,-8:00,Pacific Time (US & Canada),louis.hart@example.com,1984-04-29T14:40:47.320Z,37,2007-09-21T00:58:13.907Z,14,(987)-390-9725,(783)-763-1867,SSN,153-64-6434,https://randomuser.me/api/portraits/men/13.jpg,https://randomuser.me/api/portraits/med/men/13.jpg,https://randomuser.me/api/portraits/thumb/men/13.jpg,US
female,Miss,Beverley,Jones,5061,Hamilton Ave,Oakland,New York,United States,23683,14.7632,-33.0548,+3:30,Tehran,beverley.jones@example.com,1973-09-13T18:22:15.593Z,48,2006-09-05T19:04:11.892Z,15,(103)-384-6683,(361)-655-6069,SSN,596-84-8897,https://randomuser.me/api/portraits/women/80.jpg,https://randomuser.me/api/portraits/med/women/80.jpg,https://randomuser.me/api/portraits/thumb/women/80.jpg,US
female,Mrs,Aubree,Evans,7503,N Stelling Rd,Moscow,Wyoming,United States,93815,77.4061,75.4827,+5:45,Kathmandu,aubree.evans@example.com,1955-07-20T20:10:57.504Z,66,2010-04-30T19:08:34.862Z,11,(977)-472-3614,(645)-040-6247,SSN,818-82-6656,https://randomuser.me/api/portraits/women/31.jpg,https://randomuser.me/api/portraits/med/women/31.jpg,https://randomuser.me/api/portraits/thumb/women/31.jpg,US
female,Mrs,Dora,Schmidt,2172,Photinia Ave,Baltimore,North Dakota,United States,10197,35.0398,-167.8392,+4:30,Kabul,dora.schmidt@example.com,1983-06-21T01:14:13.759Z,38,2016-12-21T06:04:51.459Z,5,(246)-517-2513,(944)-368-1234,SSN,222-53-2427,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg,US
male,Mr,Franklin,Long,7107,Mcgowen St,Davenport,Kansas,United States,21470,-25.2268,-101.1593,-9:00,Alaska,franklin.long@example.com,1955-07-21T02:12:46.652Z,66,2005-09-16T19:35:49.752Z,16,(982)-602-9439,(550)-473-2532,SSN,580-80-7988,https://randomuser.me/api/portraits/men/35.jpg,https://randomuser.me/api/portraits/med/men/35.jpg,https://randomuser.me/api/portraits/thumb/men/35.jpg,US
female,Mrs,Wendy,Duncan,1258,Thornridge Cir,Fort Worth,Texas,United States,89202,80.9222,175.2653,+5:45,Kathmandu,wendy.duncan@example.com,1980-07-01T03:51:52.402Z,41,2003-07-07T11:06:08.849Z,18,(114)-214-6135,(777)-101-3308,SSN,861-94-8756,https://randomuser.me/api/portraits/women/63.jpg,https://randomuser.me/api/portraits/med/women/63.jpg,https://randomuser.me/api/portraits/thumb/women/63.jpg,US
male,Mr,Tracy,Wade,1622,Ranchview Dr,Spokane,Utah,United States,21116,1.3540,124.3910,+4:30,Kabul,tracy.wade@example.com,1970-06-22T18:57:21.093Z,51,2014-11-13T10:21:27.193Z,7,(191)-716-7142,(043)-815-6776,SSN,443-96-7884,https://randomuser.me/api/portraits/men/96.jpg,https://randomuser.me/api/portraits/med/men/96.jpg,https://randomuser.me/api/portraits/thumb/men/96.jpg,US
male,Mr,Oscar,Harper,1853,Lovers Ln,Montgomery,Michigan,United States,54211,84.2276,167.6775,-10:00,Hawaii,oscar.harper@example.com,1949-07-08T08:55:59.904Z,72,2018-07-03T16:16:54.090Z,3,(384)-927-6120,(496)-752-5228,SSN,408-34-9817,https://randomuser.me/api/portraits/men/19.jpg,https://randomuser.me/api/portraits/med/men/19.jpg,https://randomuser.me/api/portraits/thumb/men/19.jpg,US
