gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Ms,Lorraine,Williams,7536,Hickory Creek Dr,Bellevue,Georgia,United States,27517,78.9409,89.0202,-3:30,Newfoundland,lorraine.williams@example.com,1990-09-03T01:40:24.953Z,31,2017-11-14T08:29:45.915Z,4,(021)-335-7651,(159)-366-9149,SSN,525-19-0111,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg,US
female,Miss,Bessie,Gutierrez,9950,Taylor St,Santa Ana,Montana,United States,91125,-52.8765,-17.2483,-2:00,Mid-Atlantic,bessie.gutierrez@example.com,1971-03-12T00:01:45.130Z,50,2019-08-15T20:45:54.311Z,2,(285)-531-0654,(122)-955-4229,SSN,818-66-4676,https://randomuser.me/api/portraits/women/18.jpg,https://randomuser.me/api/portraits/med/women/18.jpg,https://randomuser.me/api/portraits/thumb/women/18.jpg,US
male,Mr,Keith,Cole,5225,Woodland St,Cincinnati,Rhode Island,United States,78206,-30.3101,91.5565,-10:00,Hawaii,keith.cole@example.com,1953-12-21T11:22:27.606Z,68,2016-12-10T06:14:41.519Z,5,(742)-479-0303,(392)-403-9843,SSN,522-47-0856,https://randomuser.me/api/portraits/men/60.jpg,https://randomuser.me/api/portraits/med/men/60.jpg,https://randomuser.me/api/portraits/thumb/men/60.jpg,US
female,Ms,Tracy,Henderson,5865,Rolling Green Rd,Everett,Alabama,United States,27115,13.4741,-150.3172,-7:00,Mountain Time (US & Canada),tracy.henderson@example.com,1974-01-15T21:32:06.485Z,47,2005-07-16T19:19:24.255Z,16,(161)-072-8002,(361)-330-4258,SSN,352-97-8128,https://randomuser.me/api/portraits/women/79.jpg,https://randomuser.me/api/portraits/med/women/79.jpg,https://randomuser.me/api/portraits/thumb/women/79.jpg,US
female,Ms,Brianna,White,3360,James St,Bozeman,Illinois,United States,18912,-13.6509,27.3157,-9:00,Alaska,brianna.white@example.com,1990-08-02T16:58:31.103Z,31,2018-10-11T01:21:12.538Z,3,(853)-870-7173,(681)-639-2125,SSN,670-16-5129,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,US
female,Mrs,Gwendolyn,Fowler,9786,Avondale Ave,Fayetteville,Indiana,United States,20231,67.2649,-42.9012,+5:45,Kathmandu,gwendolyn.fowler@example.com,1948-12-27T13:38:23.969Z,73,2016-05-10T03:57:16.895Z,5,(254)-871-2800,(809)-239-9149,SSN,715-49-1761,https://randomuser.me/api/portraits/women/89.jpg,https://randomuser.me/api/portraits/med/women/89.jpg,https://randomuser.me/api/portraits/thumb/women/89.jpg,US
male,Mr,Matthew,Rivera,4906,Ranchview Dr,Albuquerque,Alabama,United States,84306,53.9453,80.2380,+5:45,Kathmandu,matthew.rivera@example.com,1975-06-19T13:00:11.496Z,46,2017-10-25T19:41:10.986Z,4,(648)-096-6995,(526)-026-4939,SSN,098-98-9148,https://randomuser.me/api/portraits/men/71.jpg,https://randomuser.me/api/portraits/med/men/71.jpg,https://randomuser.me/api/portraits/thumb/men/71.jpg,US
female,Miss,Nina,Brooks,3974,Lakeshore Rd,Mcallen,Minnesota,United States,29091,25.4478,15.9089,-9:00,Alaska,nina.brooks@example.com,1984-10-18T07:28:56.412Z,37,2016-04-05T12:58:23.818Z,5,(289)-014-6767,(150)-826-6227,SSN,979-72-2999,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,US
female,Ms,Jo,Elliott,3964,Pecan Acres Ln,Cupertino,Iowa,United States,34006,64.6384,145.8970,-2:00,Mid-Atlantic,jo.elliott@example.com,1997-10-26T21:36:39.959Z,24,2018-08-17T16:21:12.214Z,3,(232)-397-8634,(040)-421-1686,SSN,435-44-1100,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,US
male,Mr,Lucas,Porter,1003,Brown Terrace,Desoto,Vermont,United States,93446,17.9798,124.0687,-3:30,Newfoundland,lucas.porter@example.com,1991-08-30T08:01:40.611Z,30,2010-11-27T19:51:26.115Z,11,(805)-600-1206,(050)-124-1243,SSN,567-29-1268,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,US
female,Miss,Arianna,Henry,8061,Oak Lawn Ave,Knoxville,Washington,United States,68148,-13.7450,-168.0984,-2:00,Mid-Atlantic,arianna.henry@example.com,1992-10-11T06:38:14.762Z,29,2008-03-10T09:32:06.726Z,13,(754)-736-1763,(994)-670-5680,SSN,741-63-1319,https://randomuser.me/api/portraits/women/72.jpg,https://randomuser.me/api/portraits/med/women/72.jpg,https://randomuser.me/api/portraits/thumb/women/72.jpg,US
male,Mr,Vernon,Griffin,5709,Saddle Dr,Cary,Kentucky,United States,47653,3.8781,164.4997,-3:30,Newfoundland,vernon.griffin@example.com,1996-11-25T10:06:13.864Z,25,2008-02-04T15:01:57.244Z,13,(498)-238-3516,(155)-921-8438,SSN,903-98-3810,https://randomuser.me/api/portraits/men/64.jpg,https://randomuser.me/api/portraits/med/men/64.jpg,https://randomuser.me/api/portraits/thumb/men/64.jpg,US
female,Mrs,Holly,West,7213,Saddle Dr,Redding,Pennsylvania,United States,92952,-20.8088,25.0555,+3:30,Tehran,holly.west@example.com,1958-02-11T20:03:06.349Z,63,2005-05-25T03:10:15.690Z,16,(257)-059-8782,(338)-082-1909,SSN,308-79-0643,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg,US
male,Mr,Rafael,Little,2799,W Gray St,Madison,Vermont,United States,77972,-23.3558,72.6936,+5:45,Kathmandu,rafael.little@example.com,1975-11-23T13:59:03.004Z,46,2003-04-24T01:36:23.596Z,18,(915)-822-5981,(891)-626-4603,SSN,507-47-1728,https://randomuser.me/api/portraits/men/77.jpg,https://randomuser.me/api/portraits/med/men/77.jpg,https://randomuser.me/api/portraits/thumb/men/77.jpg,US
male,Mr,Jacob,Byrd,2091,Bruce St,Louisville,Ohio,United States,73747,-24.7464,-143.0112,+4:30,Kabul,jacob.byrd@example.com,1970-03-23T22:49:24.680Z,51,2016-08-04T15:03:30.027Z,5,(485)-015-1504,(846)-280-6427,SSN,597-79-4739,https://randomuser.me/api/portraits/men/73.jpg,https://randomuser.me/api/portraits/med/men/73.jpg,https://randomuser.me/api/portraits/thumb/men/73.jpg,US
female,Ms,Anna,Newman,2506,Woodland St,Fountain Valley,Vermont,United States,38675,-50.8148,-33.9241,+4:30,Kabul,anna.newman@example.com,1989-01-15T02:17:56.156Z,32,2006-01-11T01:30:08.458Z,15,(416)-834-1769,(814)-528-6544,SSN,839-39-7068,https://randomuser.me/api/portraits/women/40.jpg,https://randomuser.me/api/portraits/med/women/40.jpg,https://randomuser.me/api/portraits/thumb/women/40.jpg,US
