gender,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,email,dob.date,dob.age,registered.date,registered.age,phone,cell,id.name,id.value,picture.large,picture.medium,picture.thumbnail,nat
female,Miss,Robin,Gilbert,7875,Hillcrest Rd,Midland,California,United States,18489,0.4556,31.4746,-2:00,Mid-Atlantic,robin.gilbert@example.com,1991-07-21T04:05:26.653Z,30,2009-11-28T02:10:55.691Z,12,(568)-364-5450,(124)-255-9615,SSN,815-50-2748,https://randomuser.me/api/portraits/women/33.jpg,https://randomuser.me/api/portraits/med/women/33.jpg,https://randomuser.me/api/portraits/thumb/women/33.jpg,US
male,Mr,Glen,Hamilton,4176,Pecan Acres Ln,Riverside,South Carolina,United States,95555,1.9398,43.7254,+3:30,Tehran,glen.hamilton@example.com,1978-03-06T23:48:39.830Z,43,2010-07-25T04:41:02.820Z,11,(911)-572-7553,(092)-003-3814,SSN,946-18-9125,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,US
female,Miss,Jo,Gregory,4253,Ranchview Dr,Elgin,Indiana,United States,92395,54.8130,-163.8778,-9:00,Alaska,jo.gregory@example.com,1994-10-12T13:53:54.215Z,27,2005-02-16T13:02:34.664Z,16,(704)-440-4585,(495)-847-4449,SSN,858-43-7250,https://randomuser.me/api/portraits/women/6.jpg,https://randomuser.me/api/portraits/med/women/6.jpg,https://randomuser.me/api/portraits/thumb/women/6.jpg,US
male,Mr,Zack,Gray,1303,Adams St,Wichita Falls,Texas,United States,35367,-29.5188,-155.2539,+3:30,Tehran,zack.gray@example.com,1948-05-10T19:29:24.734Z,73,2016-03-26T10:40:48.058Z,5,(482)-855-1294,(212)-156-4146,SSN,903-31-6945,https://randomuser.me/api/portraits/men/49.jpg,https://randomuser.me/api/portraits/med/men/49.jpg,https://randomuser.me/api/portraits/thumb/men/49.jpg,US
female,Mrs,Rose,Barnes,2916,Sunset St,Knoxville,Kentucky,United States,32178,78.1995,58.3182,-2:00,Mid-Atlantic,rose.barnes@example.com,1948-06-24T17:48:55.173Z,73,2003-10-06T18:47:45.154Z,18,(775)-168-3406,(533)-374-6739,SSN,018-10-4003,https://randomuser.me/api/portraits/women/32.jpg,https://randomuser.me/api/portraits/med/women/32.jpg,https://randomuser.me/api/portraits/thumb/women/32.jpg,US
male,Mr,Keith,Sanders,570,Green Rd,Edgewood,Hawaii,United States,41835,52.9450,-9.7521,-9:00,Alaska,keith.sanders@example.com,1975-07-30T03:09:05.047Z,46,2015-04-16T02:52:12.084Z,6,(010)-513-5861,(119)-683-8667,SSN,463-50-9264,https://randomuser.me/api/portraits/men/6.jpg,https://randomuser.me/api/portraits/med/men/6.jpg,https://randomuser.me/api/portraits/thumb/men/6.jpg,US
male,Mr,Dale,Rodriguez,7045,Crockett St,Atlanta,Idaho,United States,56774,75.8725,0.4325,-3:30,Newfoundland,dale.rodriguez@example.com,1990-05-31T07:58:59.563Z,31,2009-01-14T00:52:28.541Z,12,(773)-805-7338,(480)-930-9950,SSN,926-22-7961,https://randomuser.me/api/portraits/men/33.jpg,https://randomuser.me/api/portraits/med/men/33.jpg,https://randomuser.me/api/portraits/thumb/men/33.jpg,US
male,Mr,Chester,Palmer,3363,Wycliff Ave,San Mateo,Kentucky,United States,20260,75.0435,171.4766,-3:30,Newfoundland,chester.palmer@example.com,1990-02-20T03:23:52.996Z,31,2013-12-29T21:25:32.951Z,8,(130)-518-8451,(056)-219-0850,SSN,306-39-9838,https://randomuser.me/api/portraits/men/98.jpg,https://randomuser.me/api/portraits/med/men/98.jpg,https://randomuser.me/api/portraits/thumb/men/98.jpg,US
female,Mrs,Pauline,Watson,6464,Stevens Creek Blvd,Boise,Virginia,United States,69307,46.0938,-6.8539,-2:00,Mid-Atlantic,pauline.watson@example.com,1985-07-29T14:49:32.467Z,36,2011-05-25T22:02:52.418Z,10,(220)-480-2793,(506)-444-6840,SSN,111-15-2249,https://randomuser.me/api/portraits/women/46.jpg,https://randomuser.me/api/portraits/med/women/46.jpg,https://randomuser.me/api/portraits/thumb/women/46.jpg,US
female,Mrs,Christy,Ramos,8919,Samaritan Dr,Waterbury,New York,United States,26769,-26.2243,-175.9339,+5:45,Kathmandu,christy.ramos@example.com,1965-08-21T21:01:54.633Z,56,2010-06-11T09:42:10.213Z,11,(550)-328-6195,(817)-525-5542,SSN,830-53-3973,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg,US
female,Miss,Felecia,Wilson,2820,Robinson Rd,Mckinney,New Hampshire,United States,65324,4.6580,84.8187,+4:30,Kabul,felecia.wilson@example.com,1972-11-07T13:29:17.256Z,49,2018-05-25T19:32:13.465Z,3,(976)-732-2278,(454)-597-9277,SSN,900-79-8071,https://randomuser.me/api/portraits/women/20.jpg,https://randomuser.me/api/portraits/med/women/20.jpg,https://randomuser.me/api/portraits/thumb/women/20.jpg,US
